Sample_Name	UncertaintyAdjustmentFactor	SamplingYear
C2-Boulder1	1.0107696123	2012
C2-Boulder2	1.0242316440	2012
UpLy-12-10	1.0155939505	2012
LoLy-11-08	1.0248463378	2011
TM14-01	1.0183297086	2014
TM14-02	1.0179939863	2014
TM14-03	1.0220827174	2014
TM14-04	1.0148380245	2014
TM14-05	1.0239768992	2014
TM14-06	1.0179435087	2014
TM14-07	1.0180166769	2014
TM14-11	1.0213251574	2014
TM14-12	1.0178196672	2014
TM14-13	1.0218595871	2014
TM14-15	1.0155635146	2014
TM14-16	1.0218387426	2014
TM14-17	1.0196459455	2014
TM14-18	1.0176517394	2014
LyCy-1	1.0000000000	2007
LyCy-3	1.0000000000	2007
LyCy-4	1.0000000000	2007
LyCy-5	1.0000000000	2007
