Years_B2008	d18O_VPDB
11367	-6.276
11496	-6.295
11619	-6.388
11736	-7.289
11848	-7.907
11955	-7.648
12057	-7.997
12154	-8.224
12247	-8.285
12335	-8.034
12419	-7.306
12499	-8.472
12575	-8.53
12647	-8.477
12715	-8.738
12781	-8.834
12842	-8.333
12901	-7.403
12956	-6.89
13009	-6.78
13059	-6.549
13106	-7.023
13151	-7.205
13193	-7.152
13234	-6.889
13271	-6.737
13307	-6.409
13341	-6.643
13373	-6.488
13404	-6.542
13432	-6.394
13459	-6.341
13485	-6.391
13509	-6.422
13532	-6.537
13554	-6.895
13574	-6.78
13594	-6.517
13612	-6.435
13630	-6.286
13647	-6.247
13662	-6.21
13678	-6.16
13692	-6.486
13706	-6.223
13719	-6.839
13732	-6.725
13744	-6.627
13756	-6.674
13768	-6.668
13779	-6.696
13790	-6.712
13800	-6.717
13811	-6.694
13821	-6.679
13831	-6.4
13841	-6.309
13851	-6.431
13860	-6.388
13870	-6.212
13880	-6.184
13890	-5.963
13900	-6.052
13910	-6.227
13920	-6.219
13930	-5.961
13940	-6.132
13950	-5.796
13961	-5.767
13971	-6.205
13982	-6.231
13993	-5.96
14004	-5.881
14015	-5.864
14027	-5.957
14039	-6.037
14051	-6.253
14063	-6.3
14075	-6.285
14088	-6.164
14101	-6.128
14114	-6.168
14127	-6.217
14141	-6.324
14154	-6.396
14168	-6.552
14182	-6.81
14197	-6.908
14212	-7.059
14226	-6.957
14241	-6.826
14257	-6.702
14272	-6.427
14288	-6.294
14304	-6.134
14320	-6.043
14336	-6.148
14352	-5.971
14369	-5.887
14385	-6.024
14402	-6.138
14419	-5.709
14436	-5.822
14454	-5.886
14471	-5.676
14488	-5.811
14506	-5.806
14524	-5.775
14541	-5.795
14559	-5.626
14577	-5.612
14595	-5.641
14613	-5.939
14631	-6.009
14649	-6.506
14668	-6.725
14686	-6.761
14704	-6.977
14722	-6.993
14740	-6.794
14759	-6.362
14777	-6.419
14795	-5.983
14813	-5.625
14832	-5.499
14850	-5.546
14868	-5.694
14886	-5.851
14904	-6.112
14922	-6.32
14940	-6.474
14958	-6.474
14976	-7.124
14994	-7.319
15012	-7.748
15030	-7.839
15047	-8.343
15065	-8.918
15083	-9.272
15100	-9.505
15118	-9.677
15135	-9.49
15152	-11.272
15170	-9.393
15187	-9.594
15204	-8.79
15221	-8.611
15239	-8.639
15256	-8.656
15273	-8.435
15290	-8.677
15307	-8.539
15324	-8.887
15341	-8.582
15358	-8.51
15375	-8.134
15392	-7.85
15409	-7.423
15426	-7.317
15443	-7.355
15460	-7.805
15477	-7.743
15495	-7.694
15512	-7.405
15529	-7.362
15547	-8.506
15564	-7.392
15582	-7.613
15600	-7.413
15618	-7.393
15636	-9.143
15654	-7.2
15673	-7.467
15691	-7.444
15710	-7.237
15729	-6.937
15748	-7.246
15768	-7.706
15788	-7.602
15808	-7.444
15828	-7.202
15848	-6.869
15869	-7.398
15890	-7.336
15912	-7.426
15934	-6.936
15956	-7.056
15978	-7.243
16001	-6.948
16025	-6.783
16049	-6.959
16073	-8.012
16098	-6.888
16123	-6.782
16148	-7.574
16174	-7.338
16201	-7.209
16228	-7.237
16256	-6.652
16284	-6.565
16313	-7.383
16342	-7.565
16372	-7.922
16402	-7.89
16434	-8.167
16465	-8.266
16497	-8.819
16530	-9.001
16564	-9.257
16598	-9.147
16633	-9.29
16668	-8.826
16705	-8.683
16741	-8.916
16779	-8.874
16817	-9.079
16856	-9.22
16896	-9.39
16936	-9.684
16977	-9.093
17018	-8.72
17061	-8.18
17103	-7.855
17147	-7.797
17191	-7.579
17236	-7.367
17282	-7.53
17338	-8.065
17446	-9.116
17541	-9.655
17624	-9.67
17698	-9.45
17762	-8.903
17820	-8.336
17871	-8.263
17916	-8.751
17957	-9.692
17995	-9.359
18029	-9.038
18062	-8.57
18093	-8.6
18123	-8.008
18153	-8.389
18183	-8.468
18214	-8.172
18245	-7.796
18278	-7.184
18313	-7.054
18349	-6.938
18387	-7.017
18427	-7.54
18469	-8.227
18514	-8.011
18560	-7.088
18609	-7.365
18661	-6.57
18714	-6.529
18770	-6.855
18828	-6.835
18888	-7.266
18950	-7.486
19014	-7.493
19079	-7.437
19146	-7.276
19214	-7.114
19283	-7.107
19353	-7.609
19424	-8.348
19496	-8.476
19568	-7.793
19640	-7.398
19712	-7.358
19784	-7.671
19855	-7.968
19927	-8.335
19997	-8.542
20066	-7.98
20135	-7.587
20202	-7.183
20268	-6.921
20333	-6.89
20396	-6.978
20457	-7.323
20517	-7.157
20575	-7.171
20630	-7.215
20684	-7.113
20736	-7.181
20786	-7.74
20833	-7.802
20879	-8.286
20923	-8.135
20964	-9.032
21004	-9.66
21041	-9.816
21077	-8.931
21111	-8.35
21144	-7.774
21175	-8.027
21204	-8.41
21233	-8.622
21260	-8.74
21286	-8.515
21312	-8.189
21337	-7.878
21362	-7.615
21386	-7.817
21411	-8.144
21436	-8.762
21462	-9.298
21488	-9.165
21516	-9.245
21545	-9.12
21576	-9.108
21608	-9.369
21643	-9.652
21680	-10.234
21720	-10.087
21763	-10.534
21809	-9.844
21858	-10.017
21912	-9.915
21969	-9.806
22030	-9.769
22096	-9.19
22166	-8.536
22241	-8.549
22321	-8.741
22406	-8.937
22497	-9.189
22592	-9.816
22693	-9.931
22799	-10.272
22911	-9.977
23028	-10.723
23151	-10.197
23278	-9.486
23411	-9.642
23549	-9.127
23691	-9.151
23837	-9.468
23988	-9.202
24143	-9.308
24300	-10.008
24461	-9.798
24623	-9.298
24787	-9.165
24952	-9.062
25117	-9.281
25281	-9.37
25444	-9.179
25604	-9.101
25760	-9.175
25911	-8.882
25944	-9.72
25977	-10.227
26010	-10.81
26043	-10.411
26076	-9.95
26109	-9.957
26142	-10.121
26260	-10.259
26270	-10.626
26283	-10.438
26300	-10.479
26320	-9.893
26343	-9.872
26370	-9.562
26399	-9.504
26431	-9.474
26466	-9.31
26504	-9.306
26544	-8.374
26586	-8.12
26631	-8.367
26678	-8.433
26726	-8.477
26777	-8.188
26830	-8.17
26885	-8.173
26941	-8.249
26999	-8.351
27058	-8.642
27119	-8.721
27181	-8.835
27244	-8.416
27309	-8.768
27375	-8.897
27441	-9.181
27509	-9.119
27577	-9.158
27647	-8.99
27717	-9.017
27787	-9.052
27859	-9.23
27931	-8.983
28003	-10.311
28076	-10.011
28149	-9.784
28222	-9.61
28296	-9.494
28370	-9.377
28444	-9.239
28518	-9.589
28592	-9.182
28666	-9.195
28740	-9.089
28814	-8.841
28887	-8.521
28961	-8.53
29034	-8.304
29107	-8.593
29180	-9.234
29252	-8.925
29324	-9.302
29396	-9.695
29467	-9.351
29538	-9.674
29608	-9.601
29677	-9.631
29746	-10.165
29815	-10.036
29883	-9.899
29950	-10.332
30017	-10.737
30082	-10.677
30148	-10.609
30212	-10.566
30276	-10.596
30339	-10.547
30401	-10.538
30462	-10.55
30523	-9.155
30583	-9.004
30641	-9.254
30700	-9.178
30757	-9.119
30813	-9.549
30869	-9.575
30923	-9.969
30977	-9.531
31030	-9.195
31082	-8.654
31133	-8.838
31183	-8.408
31232	-8.158
31281	-7.744
31328	-7.451
31375	-7.226
31420	-7.055
31465	-7.071
31509	-7.214
31551	-7.686
31593	-7.666
31634	-8.253
31675	-8.616
31714	-9.232
31752	-8.902
31790	-8.491
31826	-8.365
31862	-7.914
31897	-7.665
31931	-7.147
31964	-7.163
31996	-7.834
32028	-8.709
32059	-9.39
32088	-9.984
32118	-10.532
32146	-10.343
32173	-10.311
32200	-10.305
32226	-9.863
32251	-9.93
32276	-9.862
32300	-10.14
32323	-9.638
32345	-9.469
32367	-9.468
32388	-9.257
32408	-9.661
32428	-9.679
32447	-9.283
32466	-9.8
32483	-9.394
32501	-9.302
32518	-8.867
32534	-8.732
32550	-8.583
32565	-8.463
32579	-8.441
32594	-8.583
32607	-8.015
32621	-8.261
32634	-8.209
32646	-8.278
32658	-8.356
32670	-8.358
32681	-8.597
32692	-8.987
32703	-8.786
32713	-9.15
32723	-8.899
32733	-9.238
32742	-9.112
32751	-9.178
32760	-9.216
32769	-9.174
32778	-8.507
32786	-8.068
32794	-8.014
32802	-8.023
32810	-7.882
32818	-7.71
32825	-7.792
32833	-7.334
32841	-7.617
32848	-7.938
32855	-7.575
32863	-7.54
32870	-7.476
32877	-7.513
32885	-7.339
32892	-7.098
32900	-7.038
32907	-7.046
32915	-7.048
32922	-7.538
32930	-7.416
32938	-7.822
32946	-7.9
32954	-8.037
32962	-8.403
32971	-8.737
32979	-8.499
32988	-8.45
32997	-8.455
33006	-8.023
33016	-7.919
33025	-8.285
33035	-7.852
33045	-8.86
33056	-7.814
33066	-8.354
33077	-8.597
33088	-8.523
33100	-9.218
33111	-9.15
33123	-8.479
33136	-9.631
33148	-8.645
33161	-10.042
33175	-10.092
33188	-10.383
33202	-10.343
33217	-10.509
33231	-11.01
33246	-11.019
33262	-10.67
33277	-10.3
33293	-10.171
33310	-10.208
33327	-10.106
33344	-10.064
33361	-9.275
33379	-9.015
33397	-8.937
33416	-8.815
33435	-8.833
33454	-8.679
33474	-8.547
33494	-8.511
33514	-8.228
33535	-8.327
33556	-8.499
33577	-8.37
33599	-8.524
33621	-8.688
33643	-8.364
33666	-8.094
33689	-7.935
33712	-7.732
