Date	SWE_Inches
1960-02-01	6.7
1960-03-01	17.9
1960-04-01	20.6
1960-05-01	0
1961-02-01	10.8
1961-03-01	11.9
1961-04-01	16.2
1961-05-01	0
1962-02-01	13.4
1962-04-01	41.4
1962-05-01	24.2
1963-02-01	6.9
1963-03-01	11.5
1963-04-01	20.4
1963-05-01	31.3
1964-02-01	13.2
1964-03-01	12.4
1964-04-01	14.5
1964-05-01	8.7
1965-02-01	27.7
1965-03-01	26.6
1965-04-01	26.8
1965-05-01	22
1966-02-01	23
1966-03-01	25.9
1966-04-01	25
1966-05-01	0
1967-02-01	28.1
1967-03-01	27.4
1967-04-01	36.5
1967-05-01	51.2
1968-02-01	13.3
1968-03-01	14.8
1968-04-01	18
1968-05-01	2.7
1969-02-01	42.8
1969-03-01	68
1969-04-01	69.3
1969-06-01	
1970-02-01	19
1970-03-01	24.5
1970-04-01	23.6
1970-05-01	17.6
1971-02-01	25.8
1971-03-01	25.7
1971-04-01	26.8
1971-05-01	15.8
1972-02-01	20.1
1972-03-01	19.9
1972-04-01	13.4
1972-05-01	10.1
1973-02-01	22.4
1973-03-01	32.2
1973-04-01	39.2
1973-05-01	26.8
1974-02-01	23.8
1974-03-01	24.4
1974-04-01	37
1974-05-01	27.7
1975-02-01	12.7
1975-03-01	23.5
1975-04-01	36.2
1975-05-01	39.8
1976-02-01	3.4
1976-03-01	8
1976-04-01	10.2
1976-05-01	3
1976-06-01	
1977-02-01	3.6
1977-03-01	6.3
1978-03-01	
1978-04-01	52.6
1979-02-01	16.1
1979-03-01	27.2
1979-05-01	26.9
1980-02-01	22
1980-03-01	38.1
1980-04-01	44.6
1980-05-01	35
1981-02-01	14.4
1981-03-01	16
1981-04-01	24
1982-01-01	0
1982-02-01	27.4
1982-04-01	
1983-03-01	
1983-04-01	65.5
1984-02-01	21.6
1984-03-01	26.6
1984-04-01	26.1
1984-05-01	18
1985-02-01	16.9
1985-03-01	17.3
1985-04-01	26.6
1986-02-01	18
1986-03-01	42
1986-04-01	45.7
1986-05-01	32.2
1987-02-01	4.9
1987-03-01	14.1
1987-04-01	17.5
1987-05-01	0
1988-02-01	19.5
1988-03-01	18.8
1988-04-01	13.6
1988-05-01	6.2
1989-02-01	14.6
1989-03-01	17.7
1989-04-01	21.8
1989-05-01	0
1990-01-01	
1990-02-01	11
1990-03-01	15.6
1990-04-01	15.2
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	0
1991-02-01	5.6
1991-03-01	7.3
1991-04-01	24.4
1991-05-01	19.4
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	10.8
1992-03-01	18.9
1992-04-01	19.3
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	32.2
1993-03-01	44.1
1993-04-01	49.2
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	7.5
1994-03-01	14.5
1994-04-01	16.3
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	35.5
1995-03-01	34.7
1995-04-01	52.8
1995-05-01	53.9
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	16.4
1996-03-01	
1996-04-01	31.3
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	37.1
1997-03-01	36.2
1997-04-01	33
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	45.7
1998-04-01	48.1
1998-05-01	58.7
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	17.7
1999-03-01	28
1999-04-01	23
1999-05-01	31.1
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	14.6
2000-03-01	31.5
2000-04-01	29.8
2000-05-01	21.3
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	18.5
2001-04-01	18.2
2001-05-01	18.2
2001-06-01	
2002-01-01	
2002-02-01	20.2
2002-03-01	21.6
2002-04-01	25.1
