Date	SWE_Inches
1947-04-01	4.7
1948-04-01	14.6
1949-04-01	29.4
1950-04-01	19.8
1951-04-01	2.6
1952-04-01	58.2
1953-04-01	22.3
1954-04-01	20.7
1955-04-01	13.8
1956-04-01	18
1957-04-01	12.7
1958-04-01	33.4
1959-04-01	7.8
1960-04-01	8.1
1961-04-01	3.2
1962-04-01	32.8
1963-04-01	4.3
1964-04-01	11.4
1965-04-01	15.5
1966-04-01	4.2
1967-04-01	19.5
1968-04-01	7
1969-04-01	42.2
1969-05-01	
1970-04-01	4.1
1971-04-01	10.5
1972-04-01	1.4
1973-04-01	32.7
1974-04-01	18.4
1975-04-01	31.7
1976-04-01	2.7
1977-04-01	2.9
1978-04-01	29.7
1979-03-01	0
1979-04-01	24.6
1980-04-01	19.6
1981-04-01	15
1982-01-01	0
1982-02-01	0
1982-04-01	23
1983-04-01	47.8
1984-01-01	0
1984-02-01	0
1984-04-01	2.2
1985-04-01	17.1
1986-03-01	14.8
1986-04-01	10.7
1986-05-01	0
1987-02-01	5.1
1987-03-01	7.5
1987-04-01	6.1
1987-05-01	0
1988-02-01	11.2
1988-03-01	7.4
1988-04-01	0
1988-05-01	0
1989-02-01	11.3
1989-03-01	12.6
1989-04-01	9.1
1989-05-01	0
1990-01-01	
1990-02-01	5
1990-03-01	10.1
1990-04-01	2.8
1990-05-01	0
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	1.2
1991-03-01	0.6
1991-04-01	17.3
1991-05-01	3.7
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	5.8
1992-03-01	13.6
1992-04-01	10.1
1992-05-01	0
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	28.1
1993-03-01	36.4
1993-04-01	36.1
1993-05-01	8.7
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	4.3
1994-03-01	14.1
1994-04-01	4.1
1994-05-01	1.7
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	20.7
1995-03-01	22.8
1995-04-01	29.9
1995-05-01	16.8
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	13.8
1996-03-01	15.1
1996-04-01	14.7
1996-05-01	0
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	20.2
1997-03-01	15.8
1997-04-01	5.5
1997-05-01	0
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	15.4
1998-03-01	37
1998-04-01	31.2
1998-05-01	24.6
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	21.4
1999-03-01	19.7
1999-04-01	16.1
1999-05-01	7.2
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	3.4
2000-03-01	16.3
2000-04-01	13.2
2000-05-01	0
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	8
2001-03-01	18.6
2001-04-01	10.8
2001-05-01	5.4
2001-06-01	
2002-01-01	
2002-02-01	13.2
2002-03-01	11.5
2002-04-01	26.4
2002-05-01	0.8
2002-06-01	
2003-01-01	
2003-02-01	12.2
2003-03-01	11.8
2003-04-01	6
2003-05-01	8
2003-06-01	
2004-01-01	
2004-02-01	18
2004-03-01	21.2
2004-04-01	9.1
2004-05-01	0
2004-06-01	
2005-01-01	
2005-02-01	26.1
2005-03-01	28.6
2005-04-01	32
2005-05-01	18.5
2005-06-01	
2006-01-01	
2006-02-01	9.5
2006-03-01	10.5
2006-04-01	18.5
2006-05-01	9.1
2006-06-01	
2007-01-01	
2007-02-01	5.6
2007-03-01	11.3
2007-04-01	2
2007-05-01	0
2007-06-01	
2008-01-01	
2008-02-01	16.1
2008-03-01	24.7
2008-04-01	17
2008-05-01	2.3
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
