Date	SWE_Inches
1930-04-01	18.3
1931-05-01	
1932-02-01	
1932-03-01	
1932-04-01	34.9
1932-05-01	
1933-03-01	
1933-04-01	29.3
1934-02-01	
1934-03-01	
1934-04-01	13.9
1935-03-01	
1935-04-01	37.9
1935-05-01	37.3
1936-03-01	
1936-04-01	38.4
1936-05-01	25.1
1937-03-01	
1937-04-01	38.4
1938-04-01	45.3
1939-04-01	17.8
1940-03-01	
1940-04-01	22.5
1940-05-01	9
1941-01-01	
1941-02-01	
1941-03-01	
1941-04-01	31.9
1941-05-01	28.9
1942-01-01	
1942-02-01	
1942-03-01	
1942-04-01	32.7
1942-05-01	28.2
1943-01-01	
1943-02-01	
1943-03-01	
1943-04-01	24.3
1943-05-01	3.4
1944-01-01	
1944-02-01	
1944-03-01	
1944-04-01	23.1
1944-05-01	19.4
1945-01-01	
1945-02-01	
1945-03-01	
1945-04-01	33.2
1945-05-01	14.8
1946-01-01	
1946-02-01	
1946-03-01	
1946-04-01	28.8
1946-05-01	11.9
1947-01-01	
1947-02-01	12.7
1947-03-01	13.5
1947-04-01	11.4
1948-01-01	
1948-03-01	6.5
1948-04-01	19.9
1948-05-01	23.7
1949-02-01	17
1949-03-01	25.8
1949-04-01	36.4
1949-05-01	18.7
1950-02-01	23.1
1950-03-01	25.2
1950-04-01	29.6
1950-05-01	18.8
1951-02-01	8.9
1951-03-01	13.9
1951-04-01	15.4
1951-05-01	3
1952-02-01	40
1952-03-01	47.4
1952-04-01	60.9
1953-02-01	25.4
1953-03-01	24.4
1953-04-01	27.6
1953-05-01	13.8
1954-02-01	14.8
1954-03-01	22
1954-04-01	33.2
1954-05-01	11.7
1955-02-01	16.3
1955-03-01	17.7
1955-04-01	16.3
1955-05-01	10.5
1956-02-01	26.6
1956-03-01	30.5
1956-04-01	24.5
1956-05-01	12.1
1957-02-01	15.1
1957-03-01	16.1
1957-04-01	23.7
1957-05-01	9.8
1958-02-01	13.4
1958-03-01	24.2
1958-04-01	37.5
1958-05-01	40.8
1959-02-01	8.6
1959-03-01	19.2
1959-04-01	15.8
1959-05-01	1.8
1960-02-01	10.4
1960-03-01	18.6
1960-04-01	18.8
1960-05-01	7.3
1961-02-01	8.1
1961-03-01	9.6
1961-04-01	13.1
1961-05-01	3.7
1962-02-01	13.2
1962-03-01	31.4
1962-04-01	40
1962-05-01	18.3
1963-03-01	0
1963-04-01	7.8
1963-05-01	15.9
1964-02-01	14.9
1964-03-01	12.6
1964-04-01	15.3
1964-05-01	8
1965-02-01	31.1
1965-03-01	28.7
1965-04-01	31.8
1965-05-01	22.8
1966-02-01	17.5
1966-03-01	20.7
1966-04-01	12.1
1966-05-01	0
1967-02-01	19.2
1967-03-01	19.4
1967-04-01	28.2
1967-05-01	45.3
1968-02-01	14.2
1968-03-01	15.5
1968-04-01	16.5
1968-05-01	2.9
1969-03-01	49.1
1969-04-01	52.4
1969-05-01	42.2
1970-04-01	12.2
1970-05-01	5
1971-04-01	22.6
1971-05-01	13.6
1972-04-01	7.7
1972-05-01	6.2
1973-04-01	35
1973-05-01	21.6
1974-04-01	25.9
1974-05-01	20.9
1975-04-01	34.3
1975-05-01	39.8
1976-04-01	10.8
1976-05-01	3.2
1977-04-01	6.9
1977-05-01	0
1978-04-01	42.3
1978-05-01	42.2
1979-04-01	29.8
1979-05-01	20.9
1980-04-01	28.1
1980-05-01	17.6
1981-04-01	21.1
1981-05-01	12.4
1982-04-01	29.1
1983-04-01	55.8
1983-05-01	58.3
1983-06-01	
1984-04-01	7.6
1984-05-01	0
1985-04-01	25.6
1985-05-01	8.8
1986-04-01	19
1986-05-01	0
1987-04-01	12
1987-05-01	0.6
1988-04-01	3.3
1988-05-01	0
1989-03-01	18.1
1989-04-01	22.1
1989-05-01	3.3
1990-01-01	
1990-02-01	10
1990-03-01	15.1
1990-04-01	9.1
1990-05-01	0
1990-06-01	
1990-07-01	
1991-01-01	0
1991-02-01	3.5
1991-03-01	3
1991-04-01	19.9
1991-05-01	11.1
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	7.5
1992-03-01	14.6
1992-04-01	13.3
1992-05-01	0
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	28.5
1993-03-01	41.2
1993-04-01	36.1
1993-05-01	22.5
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	7
1994-03-01	17.3
1994-04-01	13.9
1994-05-01	3
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	26.5
1995-03-01	28.1
1995-04-01	39.2
1995-05-01	23.6
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	16.5
1996-03-01	25
1996-04-01	29.3
1996-05-01	4.2
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	27.9
1997-03-01	25.4
1997-04-01	13.9
1997-05-01	0
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	18.9
1998-03-01	39.3
1998-04-01	39.4
1998-05-01	34
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	14
1999-03-01	28.5
1999-04-01	49.9
1999-05-01	17
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	21.8
2000-04-01	18.2
2000-05-01	9.5
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	11.9
2001-03-01	18.5
2001-04-01	16.8
2001-05-01	10.3
2001-06-01	
2002-01-01	
2002-02-01	20
2002-03-01	19.9
2002-04-01	21.5
2002-05-01	6.6
2002-06-01	
2003-01-01	
2003-02-01	15.3
2003-03-01	15.7
2003-04-01	9.4
2003-05-01	14.9
2003-06-01	
2004-01-01	
2004-02-01	18.1
2004-03-01	27.3
2004-04-01	19.5
2004-05-01	0.4
2004-06-01	
2005-01-01	
2005-02-01	28.5
2005-03-01	40.3
2005-04-01	48
2005-05-01	39.3
2005-06-01	
2006-01-01	
2006-02-01	14.2
2006-03-01	16.7
2006-04-01	28.1
2006-05-01	32
2006-06-01	
2007-01-01	
2007-02-01	6.4
2007-03-01	14.5
2007-04-01	9.8
2007-05-01	0
2007-06-01	
2008-01-01	
2008-02-01	22.6
2008-03-01	29.4
2008-04-01	25.9
2008-05-01	10.2
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
