Date	SWE_Inches
1948-02-01	6.5
1948-03-01	11.1
1948-04-01	23
1948-05-01	38.3
1949-02-01	8.4
1949-03-01	18.7
1949-04-01	30.6
1950-03-01	38.6
1950-04-01	45.8
1951-03-01	38.6
1951-04-01	46.2
1952-03-01	64.2
1952-04-01	76.5
1953-03-01	31.7
1953-04-01	36.5
1954-03-01	26.7
1954-04-01	41.8
1955-02-01	25.8
1955-03-01	31.8
1955-04-01	30.4
1956-02-01	59.4
1956-03-01	67.8
1956-04-01	64.6
1957-02-01	18.6
1957-03-01	28.7
1957-04-01	40.3
1958-02-01	22.7
1958-03-01	39.1
1958-04-01	56.8
1959-02-01	16.9
1959-03-01	32.5
1959-04-01	31.1
1960-02-01	9.8
1960-03-01	23.1
1960-04-01	30.4
1961-02-01	8
1961-03-01	12.2
1961-04-01	20.2
1962-02-01	13.3
1962-03-01	40.2
1962-04-01	52.1
1963-02-01	15.9
1963-03-01	21.3
1963-04-01	32.2
1964-02-01	22.4
1964-03-01	21.1
1964-04-01	23.3
1965-02-01	50.2
1965-03-01	54.5
1965-04-01	55.3
1966-02-01	30.4
1966-03-01	33.3
1966-04-01	30.9
1967-02-01	42.6
1967-03-01	41.2
1967-04-01	58.4
1967-05-01	76.9
1968-02-01	14.2
1968-03-01	24
1968-04-01	30.2
1969-03-01	78.2
1969-04-01	85.3
1969-05-01	81.9
1969-06-01	
1970-04-01	42.7
1971-04-01	51.2
1972-04-01	32.1
1973-04-01	52.1
1974-04-01	55.8
1975-04-01	45.3
1976-04-01	18.2
1977-04-01	9.4
1978-04-01	69.5
1979-04-01	42.1
1980-04-01	72.5
1981-04-01	31.9
1982-04-01	70.8
1983-04-01	83.7
1983-06-01	
1984-04-01	51.8
1985-04-01	36.4
1986-04-01	68.4
1987-04-01	19.5
1988-04-01	18.1
1989-03-01	19.6
1989-04-01	38.8
1989-05-01	38.2
1990-01-01	
1990-02-01	14.5
1990-03-01	21.1
1990-04-01	24.1
1990-05-01	18.3
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	5.4
1991-03-01	8.1
1991-04-01	32.3
1991-05-01	36.2
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	10.6
1992-03-01	20
1992-04-01	24.6
1992-05-01	18.3
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	45.3
1993-03-01	60.8
1993-04-01	64.5
1993-05-01	64.4
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	8.3
1994-03-01	19.1
1994-04-01	23.5
1994-05-01	20.7
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	47
1995-03-01	50.3
1995-04-01	86
1995-05-01	83.9
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	20.9
1996-03-01	61.5
1996-04-01	52.1
1996-05-01	57.6
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	66.8
1997-03-01	
1997-04-01	61.9
1997-05-01	61.2
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	28.3
1998-03-01	57.4
1998-04-01	61.8
1998-05-01	68.3
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	24.2
1999-03-01	29.4
1999-04-01	52.6
1999-05-01	54.2
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	22.1
2000-03-01	33.8
2000-04-01	44
2000-05-01	45
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	11.4
2001-03-01	22.3
2001-04-01	25.4
2001-05-01	29.2
2001-06-01	
2002-01-01	
2002-02-01	31.3
2002-03-01	35.1
2002-04-01	20.7
2002-05-01	38.8
2002-06-01	
2003-01-01	
2003-02-01	26.9
2003-03-01	31.2
2003-04-01	36
2003-05-01	48
2003-06-01	
2004-01-01	
2004-02-01	27.5
2004-03-01	41
2004-04-01	37.4
2004-05-01	34.2
2004-06-01	
2005-01-01	
2005-02-01	42.7
2005-03-01	49.6
2005-04-01	59.6
2005-05-01	62.7
2005-06-01	
2006-01-01	
2006-02-01	38.6
2006-03-01	52.2
2006-04-01	66.3
2006-05-01	78.6
2006-06-01	
2007-01-01	
2007-02-01	9
2007-03-01	22.2
2007-04-01	20.9
2007-05-01	18.4
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	38.1
2008-04-01	39.2
2008-05-01	36.4
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
