Sample_Name	Boulder_Height_m	Boulder_Height_SD
Sea_Level	0	0.00
RSP-16-16	1.55	0.10
RSP-16-17	1.23	0.10
RSP-16-18	1.05	0.10
RSP-16-19	1.17	0.10
RSP-16-20	1.85	0.10
RSP-16-21	0	0.00
RCH-16-24Bedrock	0	0.00
RCH-16-25Bedrock	0	0.00
RCH-16-26Bedrock	0	0.00
RCH-16-27	0.03	0.03
MCM-16-31	4	0.20
MCM-16-32	1.3	0.20
LEM-16-28	1.75	0.10
LEM-16-29	1.2	0.20
LEM-16-30	2	0.10
LEM-14-14	2.3	0.20
LEM-14-15	0.6	0.20
UCL-14-09	1.52	0.10
UCL-14-10	2.1	0.20
UCL-16-09	1.25	0.10
UCL-16-11	1.6	0.20
UCL-16-14	1.2	0.20
UCL-16-15	2	0.10
UMC-16-01	0.7	0.20
UMC-16-02	1.05	0.10
UMC-16-03	1	0.10
UMC-16-04	0.06	0.00
UMC-16-05	1.6	0.20
GP-16-07	2	0.10
GP-16-08	1.05	0.10
TM14-22	0	0.00
TM14-23	-1	0.20
TM14-24	0	0.00
TM14-25	0	0.00
A2-Bedrock	0	0.00
A6-Bedrock	0	0.00
B1-Bedrock	0	0.00
B2-Bedrock	0	0.00
MR-13-01Bedrock	0	0.00
MR-13-02Bedrock	0	0.00
MR-14-03Bedrock	0	0.00
MR-14-04Bedrock	0	0.00
MR-14-05Bedrock	0	0.00
MR-14-06Bedrock	0	0.00
MR-14-07Bedrock	0	0.00
MR-14-08Bedrock	0	0.00
MR-14-13Bedrock	0	0.00
MR-13-01Boulder	1.3	0.20
MR-13-02Boulder	0.35	0.10
MR-14-03Boulder	2.2	0.20
MR-14-04Boulder	2.4	0.20
MR-14-05Boulder	1.48	0.10
MR-14-06Boulder	1.1	0.20
MR-14-07Boulder	2	0.10
MR-14-08Boulder	0.75	0.10
C2-Boulder1	1.8	0.20
C2-Boulder2	0.75	0.10
UpLy-12-10	0.85	0.10
LoLy-11-08	2.5	0.20
TM14-01	0.46	0.10
TM14-02	1.1	0.20
TM14-03	2.5	0.20
TM14-04	0.8	0.20
TM14-05	0.82	0.10
TM14-06	1.3	0.20
TM14-07	1.2	0.20
TM14-11	0.65	0.10
TM14-12	1.43	0.10
TM14-13	0.65	0.10
TM14-15	0.87	0.10
TM14-16	0.98	0.10
TM14-17	0.80	0.10
TM14-18	1.55	0.10
LyCy-1	0.0	0.00
LyCy-2	0.0	0.00
LyCy-3	0.0	0.00
LyCy-4	0.0	0.00
LyCy-5	0.0	0.00
BL07-01	1.8	0.20
BL07-02	2.0	0.20
BL07-03	2.0	0.20
LyCy-6	0.0	0.00
LEMD-1	0.0	0.00
LEMD-2	0.0	0.00
POTD-1	0.0	0.00
TUOME-1	0.0	0.00
TUOME-2	0.0	0.00
BpCR97-8	1.0	0.50
BpCR97-9	1.0	0.50
BpCR97-13	1.0	0.50
BpCR97-14	1.0	0.50
BpCR97-15	1.0	0.50
BPCR91-11(1)	0.0	0.00
BPCR91-11(2)	0.0	0.00
BpCr95B-6(99)	0.0	0.00
BPCR96-1	1.0	0.50
BpCr96-16	0.0	0.00
BpCr96-17	1.0	0.50
BpCr95-3(99)	0.0	0.00
BPCR96-10	0.0	0.00
BPCR96-11	1.0	0.50
BpCr95B-1(99)	1.0	0.50
BpCR97-3	1.0	0.50
BpCR97-4	0.0	0.00
BpCR97-2	0.0	0.00
BpCR97-1a	1.0	0.50
BpCR97-1b	1.0	0.50
BpCr96-21	0.0	0.00
BpCr96-22	1.0	0.50
BpCr95-2(99)	0.0	0.00
HB97-1	1.0	0.50
HB97-2	1.0	0.50
HB97-3	1.0	0.50
HB97-4	1.0	0.50
HB97-5	1.0	0.50
97-31	0.0	0.00
97-32	0.0	0.00
97-33	0.0	0.00
97-35	0.0	0.00
97-36	0.0	0.00
97-37	0.0	0.00
97-38	0.0	0.00
97-39	0.0	0.00
BB-1B	1.0	0.50
97-40	0.0	0.00
97-22	3.0	1.50
97-18	1.0	0.50
97-21	1.0	0.50
97-17	1.0	0.50
97-16	0.3	0.15
97-41	0.0	0.00
