Date	SWE_Inches
1939-04-01	12.3
1940-04-01	27.2
1941-04-01	38.3
1942-04-01	27
1943-04-01	24.1
1944-04-01	24.5
1945-04-01	35.9
1946-04-01	21.6
1947-04-01	7.9
1948-04-01	14.6
1949-04-01	30.1
1950-04-01	19.5
1951-04-01	5.2
1953-02-01	20.8
1953-04-01	21
1954-02-01	11
1954-04-01	22.4
1955-02-01	14.2
1955-04-01	11.3
1956-02-01	28.7
1956-04-01	21.3
1957-02-01	10.5
1957-04-01	12.9
1958-02-01	13
1958-04-01	42.2
1959-02-01	7.5
1959-04-01	12.8
1960-02-01	8.2
1960-04-01	11.2
1961-02-01	6.9
1961-04-01	6.4
1962-02-01	12.1
1962-04-01	43
1963-04-01	10.7
1964-02-01	9
1964-04-01	7.4
1965-02-01	26
1965-04-01	20
1966-04-01	10
1966-05-01	0
1967-04-01	26.8
1967-05-01	40.9
1967-06-01	
1968-04-01	11.2
1968-05-01	0
1969-04-01	60.2
1969-05-01	44.3
1970-04-01	
1970-05-01	4.1
1971-04-01	14.4
1971-05-01	0.9
1972-04-01	8.3
1972-05-01	0
1973-04-01	38.5
1973-05-01	25.8
1974-04-01	19.2
1974-05-01	15.7
1975-04-01	32.8
1975-05-01	35.4
1976-03-01	5.9
1976-04-01	4.6
1976-05-01	0
1977-03-01	4.5
1977-04-01	2.9
1977-05-01	0
1978-03-01	39.8
1978-04-01	48.8
1978-05-01	49.2
1979-03-01	23.6
1979-04-01	25.6
1979-05-01	13.2
1980-04-01	36.1
1980-05-01	23.7
1981-03-01	
1981-04-01	
1981-05-01	1.6
1982-03-01	20.5
1982-04-01	29.4
1982-05-01	24
1983-03-01	0
1983-04-01	63.1
1983-05-01	63
1984-03-01	14
1984-04-01	4.9
1984-05-01	0
1985-03-01	15.1
1985-04-01	19.1
1985-05-01	0
1986-03-01	32.4
1986-04-01	35
1986-05-01	12.9
1987-03-01	12.5
1987-04-01	12.8
1987-05-01	0.4
1988-03-01	11.2
1988-04-01	1.4
1988-05-01	1
1989-03-01	12.9
1989-04-01	12.4
1989-05-01	0.5
1990-01-01	
1990-02-01	
1990-03-01	14.4
1990-04-01	7.9
1990-05-01	0
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	3.2
1991-04-01	22.2
1991-05-01	9.7
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	21.2
1992-04-01	18.7
1992-05-01	0
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	48.7
1993-04-01	44.3
1993-05-01	30.3
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	16
1994-04-01	9.6
1994-05-01	2
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	33.5
1995-04-01	43.6
1995-05-01	44.6
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	21.7
1996-04-01	22.7
1996-05-01	5.9
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	35.3
1997-04-01	25
1997-05-01	3.2
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	41.5
1998-04-01	41.3
1998-05-01	37.7
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	20.2
1999-04-01	15.9
1999-05-01	8.7
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	29.2
2000-04-01	26.1
2000-05-01	14.2
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	21.8
2001-04-01	20.1
2001-05-01	12.9
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	18.3
2002-04-01	20.3
2002-05-01	0.6
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	15.8
2003-04-01	10.2
2003-05-01	7.2
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	16.7
2004-05-01	0
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	39.9
2005-04-01	45.4
2005-05-01	38.2
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	21.9
2006-04-01	31
2006-05-01	32.4
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	5.9
2007-05-01	0
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	19.6
2008-05-01	2.3
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
