Date	SWE_Inches
1939-04-01	12
1940-04-01	30.5
1941-04-01	38.7
1942-04-01	32
1943-04-01	27.7
1944-04-01	25
1945-04-01	30.6
1946-04-01	22.9
1947-04-01	12.2
1948-04-01	13.1
1949-04-01	30
1950-04-01	21.3
1951-04-01	7.5
1953-02-01	20.4
1953-04-01	18.4
1954-02-01	10.9
1954-04-01	24.2
1955-02-01	16.1
1955-04-01	14.4
1956-02-01	35.4
1956-04-01	26.7
1957-02-01	11.6
1957-04-01	15.9
1958-02-01	14.5
1959-02-01	7
1959-04-01	13.2
1960-02-01	7.4
1960-04-01	13.2
1961-02-01	8.5
1961-03-01	7.7
1961-04-01	8.3
1962-02-01	13.5
1962-04-01	42.4
1963-04-01	7.4
1964-02-01	9.4
1964-04-01	9
1965-02-01	26.5
1965-04-01	23.6
1966-04-01	15.1
1966-05-01	0
1967-04-01	29
1967-05-01	39.9
1967-06-01	
1968-04-01	14.8
1968-05-01	0
1969-04-01	62.6
1969-05-01	47.8
1969-06-01	
1970-04-01	15.8
1970-05-01	6.8
1971-04-01	17.5
1971-05-01	4.3
1972-04-01	9.8
1972-05-01	2.1
1973-04-01	37.7
1973-05-01	22.6
1974-04-01	26.6
1974-05-01	19
1975-04-01	33.2
1975-05-01	35.4
1976-03-01	5.3
1976-04-01	4.5
1976-05-01	0.7
1977-03-01	5.1
1977-04-01	4.8
1977-05-01	0.1
1978-03-01	47
1978-04-01	51.5
1978-05-01	51.3
1979-03-01	22
1979-04-01	26.2
1979-05-01	15.3
1980-03-01	0
1980-04-01	35.2
1980-05-01	30.7
1981-03-01	11.3
1981-04-01	19.3
1981-05-01	2.5
1982-03-01	21.4
1982-04-01	32.9
1982-05-01	30.3
1983-03-01	0
1983-04-01	61.8
1983-05-01	61.5
1984-03-01	17.7
1984-04-01	12.5
1984-05-01	2.4
1985-03-01	17.9
1985-04-01	20.8
1985-05-01	3.6
1986-03-01	40.9
1986-04-01	38.9
1986-05-01	21.7
1987-03-01	10.4
1987-04-01	12.6
1987-05-01	0.8
1988-03-01	13.7
1988-04-01	5.9
1988-05-01	2.3
1989-03-01	12
1989-04-01	13.2
1989-05-01	1.1
1990-01-01	
1990-02-01	
1990-03-01	15.3
1990-04-01	10.8
1990-05-01	0.5
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	3.5
1991-04-01	19.9
1991-05-01	8.1
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	17.6
1992-04-01	14.8
1992-05-01	2
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	49.7
1993-04-01	47.5
1993-05-01	31.6
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	16
1994-04-01	11.3
1994-05-01	3.3
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	32.4
1995-04-01	47.9
1995-05-01	45
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	26.8
1996-04-01	26.1
1996-05-01	11.4
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	32.7
1997-04-01	23
1997-05-01	7
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	38.2
1998-04-01	40.7
1998-05-01	36.1
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	22
1999-04-01	19.6
1999-05-01	12.5
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	30.2
2000-04-01	25.5
2000-05-01	12
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	9.3
2001-03-01	18.7
2001-04-01	17.3
2001-05-01	13
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	18.4
2002-04-01	20.7
2002-05-01	6
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	15.8
2003-04-01	11.4
2003-05-01	9.6
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	16.5
2004-05-01	1.8
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	44.5
2005-05-01	35.9
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	23.3
2006-04-01	
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	12.2
2007-04-01	6.7
2007-05-01	0
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	30.1
2008-04-01	18.6
2008-05-01	7.3
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
