Date	SWE_Inches
1939-04-01	19
1940-04-01	46.4
1941-04-01	61.7
1942-04-01	47
1943-04-01	45.7
1944-04-01	34.9
1945-04-01	49.8
1947-04-01	24.3
1948-04-01	21.7
1949-04-01	39.1
1950-04-01	31.8
1951-04-01	19.8
1952-02-01	29.9
1953-02-01	26.5
1953-04-01	28.6
1954-02-01	14.5
1954-04-01	31.8
1955-02-01	21.4
1955-04-01	26.5
1956-04-01	43.5
1957-02-01	12.9
1957-04-01	26.7
1958-03-01	33.2
1959-02-01	10.6
1959-03-01	31.4
1959-04-01	28.5
1960-02-01	8.9
1960-03-01	19.3
1960-04-01	24.1
1961-02-01	12.5
1961-03-01	16
1961-04-01	18.2
1962-02-01	17
1962-04-01	54.4
1963-03-01	14.5
1963-04-01	34.7
1964-02-01	
1964-03-01	
1964-04-01	
1965-02-01	
1965-04-01	
1966-04-01	
1966-05-01	
1967-04-01	
1967-05-01	
1967-06-01	
1968-04-01	
1968-05-01	
1969-04-01	
1969-05-01	
1969-06-01	
1970-04-01	
1970-05-01	
1971-04-01	
1971-05-01	
1972-04-01	
1972-05-01	
1973-04-01	
1973-05-01	
1974-04-01	
1974-05-01	
1975-04-01	
1975-05-01	
1976-03-01	
1976-04-01	
1976-05-01	
1977-03-01	
1977-04-01	
1977-05-01	
1978-03-01	
1978-04-01	
1978-05-01	
1979-03-01	
1979-04-01	
1979-05-01	
1980-04-01	
1980-05-01	
1981-03-01	
1981-04-01	
1981-05-01	
1982-03-01	
1982-04-01	
1982-05-01	
1983-04-01	
1983-05-01	
1984-03-01	
1984-04-01	
1984-05-01	
1985-03-01	
1985-04-01	
1985-05-01	
1986-03-01	
1986-04-01	
1986-05-01	
1987-03-01	
1987-04-01	
1987-05-01	
1988-03-01	
1988-04-01	
1988-05-01	
1989-03-01	
1989-04-01	
1989-05-01	
1990-01-01	
1990-02-01	
1990-03-01	18.9
1990-04-01	19.1
1990-05-01	1.6
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	29.1
1991-05-01	22.3
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	23.3
1992-04-01	25.3
1992-05-01	9.4
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	68.5
1993-04-01	70
1993-05-01	68.3
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	19.3
1994-04-01	18.4
1994-05-01	7.9
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	45
1995-04-01	74.8
1995-05-01	76.9
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	34.5
1996-04-01	40.3
1996-05-01	31.8
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	30.7
1997-04-01	41.9
1997-05-01	29.5
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	59.7
1998-04-01	
1998-05-01	66.5
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	30.9
1999-04-01	31.9
1999-05-01	34
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	43.1
2000-05-01	44.4
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	25.9
2001-04-01	26.5
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	24.9
2002-04-01	30.1
2002-05-01	19.9
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	26
2003-04-01	22
2003-05-01	30.9
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	31.4
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	63.7
2005-04-01	62.5
2005-05-01	65.5
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	48.5
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	16.6
2007-04-01	16.3
2007-05-01	3.5
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	27.2
2008-04-01	28.1
2008-05-01	24.1
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
