Years_B1950	d18O_IceVolCorrected
11484	-8.852
11507	-9.644
11529	-9.748
11552	-9.777
11573	-9.861
11594	-9.913
11615	-9.858
11636	-9.819
11655	-9.695
11675	-9.711
11694	-9.877
11713	-9.966
11731	-9.837
11749	-9.936
11767	-9.901
11784	-10.002
11801	-10.156
11817	-10.133
11833	-10.184
11849	-10.087
11865	-9.804
11880	-9.853
11895	-10.127
11910	-10.128
11924	-10.154
11938	-10.292
11952	-10.226
11966	-10.131
11980	-10.147
11993	-9.876
12006	-10.022
12019	-9.955
12032	-9.66
12044	-9.936
12057	-9.967
12069	-9.771
12081	-9.815
12093	-9.987
12105	-10.155
12117	-10.458
12128	-10.516
12140	-10.595
12151	-10.436
12163	-10.301
12174	-10.048
12185	-9.991
12196	-9.848
12208	-9.541
12219	-9.428
12230	-9.461
12241	-9.416
12252	-9.842
12264	-10.082
12275	-10.156
12286	-10.219
12298	-9.97
12309	-9.975
12321	-9.73
12332	-9.446
12344	-9.57
12356	-9.477
12367	-9.36
12379	-9.671
12392	-9.491
12404	-9.717
12416	-9.806
12429	-9.73
12442	-10.058
12455	-10.049
12468	-9.969
12481	-9.965
12495	-10.138
12509	-10.219
12552	-10.121
12567	-9.536
12582	-9.642
12597	-9.686
12613	-9.815
12629	-9.634
12645	-9.64
12662	-9.843
12679	-10.009
12696	-10.045
12714	-10.164
12732	-10.183
12750	-10.25
12769	-10.268
12789	-10.195
12808	-10.211
12828	-10.126
12849	-9.978
12870	-9.874
12891	-9.785
12913	-9.825
12935	-9.847
12958	-9.824
12982	-9.748
13005	-9.616
13030	-9.417
13055	-9.394
13080	-9.3
13106	-9.32
13132	-9.333
13159	-9.416
13187	-9.328
13215	-9.208
13244	-9.218
13274	-9.171
13304	-9.213
13334	-9.241
13366	-9.32
13398	-9.294
13430	-9.276
13463	-9.198
13497	-8.896
13532	-9.192
13567	-9.118
13603	-9.487
13640	-9.426
13678	-9.162
13716	-9.351
13755	-9.778
13795	-9.807
13835	-9.759
13876	-9.697
13918	-9.547
13961	-9.504
14005	-9.386
14049	-9.103
14095	-9.118
14141	-9.196
14188	-9.064
14236	-8.926
14285	-8.819
14334	-8.977
14385	-8.976
14436	-8.738
14489	-9.169
14542	-9.36
14596	-9.4
14651	-9.486
14707	-9.416
14764	-9.438
14822	-9.538
14881	-9.595
14941	-9.572
15002	-9.87
15064	-10.289
15127	-10.713
15192	-11.019
15257	-11.053
15323	-11.083
15390	-11.225
15458	-11.474
15528	-11.349
15598	-11.252
15670	-11.168
15743	-11.232
15817	-11.256
15892	-11.234
15968	-11.265
16045	-11.364
16124	-11.335
16203	-11.313
16284	-11.254
16366	-11.292
16449	-11.413
16534	-11.372
16620	-11.408
16706	-11.357
16795	-11.397
16884	-11.39
16975	-11.37
17067	-11.455
17160	-11.368
17255	-11.401
17351	-11.327
17448	-11.48
17546	-11.612
17850	-11.643
17954	-11.649
18059	-11.612
18166	-11.511
18274	-11.446
18384	-11.505
18495	-11.489
18607	-11.65
18721	-11.721
18837	-11.728
18953	-11.759
19072	-11.734
19191	-11.729
19313	-11.698
19435	-11.659
19560	-11.393
19686	-11.768
19942	-11.891
20072	-11.935
20204	-11.996
20338	-11.981
20473	-11.838
20610	-11.829
20748	-11.979
20888	-12.041
21030	-12.071
21173	-12.156
21318	-12.205
21464	-12.264
21613	-12.36
21763	-12.395
21914	-12.401
22068	-12.484
22223	-12.527
22538	-12.114
22698	-12.052
22860	-12.046
23024	-11.844
23189	-11.99
23356	-12.226
23526	-12.137
23696	-12.081
24000	
25000	
26000	
27000	
28000	
29000	
29839	-11.747
29887	-11.737
29935	-11.812
29983	-11.726
30031	-11.659
30080	-11.606
30128	-11.508
30176	-11.384
30224	-11.296
30272	-11.28
30320	-11.263
30368	-11.248
30416	-11.227
30465	-11.184
30511	-11.282
30557	-11.403
30607	-11.487
30658	-11.479
30704	-11.497
30750	-11.322
30800	-11.281
30849	-11.346
30898	-11.454
30944	-11.509
30990	-11.435
31040	-11.455
31137	-11.387
31183	-11.288
31232	-11.162
31281	-11.189
31329	-11.212
31377	-11.262
31425	-11.166
31473	-11.141
31521	-11.162
31571	-11.276
31617	-11.316
31665	-11.395
31714	-11.371
31763	-11.183
31811	-11.071
31857	-10.97
31907	-10.941
31955	-10.891
32003	-11.016
32052	-10.775
32100	-10.683
32149	-10.735
32197	-10.755
32247	-10.74
32293	-10.761
32341	-10.596
32391	-10.492
32439	-10.57
32488	-10.675
32535	-10.754
32584	-10.912
32632	-11.175
32680	-11.31
32730	-11.296
32779	-11.151
32827	-11.022
32875	-10.935
32924	-10.799
32971	-10.818
33020	-10.764
33067	-10.538
33115	-10.509
33164	-10.423
33210	-10.391
33258	-10.321
33306	-10.295
33352	-10.213
33400	-10.196
33446	-10.18
33493	-10.52
33540	-10.886
33586	-11.162
