Sample_Name	PercentSnow	UncertType	Calculator	ProdRate	ScalingModel	Atmosphere	MagField	Age	Uncert	Location	Outlier	WMean	SpG	MSWD	P_MSWD	WMean_SD	Boulder_Height_m	LocationOrder	Elevation_m
C2-Boulder1	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14770	202	ULC	FALSE	13931	3	15.9796644071672	1.14847071436312e-07	528	1.8	1	3409
C2-Boulder2	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13956	332	ULC	FALSE	13931	3	15.9796644071672	1.14847071436312e-07	528	0.75	2	3417
LoLy-11-08	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14438	357	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	242	2.5	7	2742
TM14-01	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14060	236	MLC	FALSE	14060	1			236	0.46	5	2955
TM14-02	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13771	233	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	242	1.1	8	2751
TM14-03	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14701	300	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	242	2.5	9	2740
TM14-04	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13230	199	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	242	0.8	10	2743
TM14-05	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13070	312	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	242	0.82	11	2740
TM14-06	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13950	244	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	242	1.3	12	2744
TM14-07	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15562	272	TM-LC	FALSE	15562	1			272	1.2	14	2709
TM14-11	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13087	261	PD	FALSE	14020	2	29.2765065995226	6.27519125645836e-08	1001	0.65	20	2672.7
TM14-12	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15088	262	PD	FALSE	14020	2	29.2765065995226	6.27519125645836e-08	1001	1.43	21	2679.8
TM14-13	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	20986	437	PD	TRUE	14020					0.65	22	2678.9
TM14-15	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14341	226	LM	FALSE	14341	1			226	0.87	24	2638.5
TM14-16	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13000	253	LD	FALSE	13922	3	13.1630081462256	1.92034030349636e-06	519	0.98	16	2854.4
TM14-17	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14041	246	LD	FALSE	13922	3	13.1630081462256	1.92034030349636e-06	519	0.8	17	2853.5
TM14-18	0	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14799	244	LD	FALSE	13922	3	13.1630081462256	1.92034030349636e-06	519	1.55	18	2858.6
