Date	SWE_Inches
1926-03-01	15.8
1926-05-01	
1927-04-01	34
1928-04-01	20
1929-04-01	16
1930-04-01	18.4
1931-04-01	13.1
1932-04-01	41.1
1933-04-01	24
1934-04-01	18.8
1935-04-01	29.5
1936-04-01	37.5
1937-04-01	40.8
1938-04-01	40.6
1939-04-01	17.9
1939-05-01	9.6
1940-04-01	34.7
1941-04-01	39.2
1942-04-01	35.8
1943-04-01	37.5
1944-04-01	26.4
1945-04-01	39.3
1946-04-01	34.4
1947-04-01	25.6
1948-04-01	21.1
1949-04-01	26.7
1950-04-01	29.2
1951-04-01	30.1
1952-02-01	35.2
1952-04-01	46.6
1953-02-01	20.2
1953-04-01	25.1
1954-02-01	12.6
1954-04-01	30.2
1955-02-01	16.3
1955-04-01	21.2
1956-02-01	45.2
1956-04-01	45.5
1957-02-01	8.6
1957-04-01	21.9
1958-02-01	15.1
1958-04-01	37.8
1959-02-01	8.6
1959-04-01	18.4
1960-02-01	7.3
1960-04-01	21.7
1961-02-01	11.4
1961-04-01	19.8
1962-02-01	13
1962-04-01	35.8
1963-03-01	17.8
1963-04-01	26.3
1964-02-01	11.2
1964-04-01	15.7
1965-02-01	29.6
1965-04-01	35
1966-02-01	19.5
1966-04-01	22.4
1967-02-01	29.6
1967-04-01	37.8
1967-05-01	47.7
1967-06-01	
1968-02-01	12.4
1968-04-01	18.8
1969-02-01	37.5
1969-04-01	58
1969-05-01	52.9
1969-06-01	
1970-02-01	
1970-04-01	
1971-02-01	21.7
1971-04-01	25.8
1972-02-01	22.8
1972-04-01	21.1
1973-02-01	20.8
1973-04-01	31.9
1973-05-01	31.6
1974-02-01	26.8
1974-03-01	28.7
1974-04-01	36.3
1975-02-01	13.7
1975-03-01	24.3
1975-04-01	32.8
1975-06-01	
1976-02-01	5.4
1976-03-01	10
1976-04-01	11.9
1976-05-01	11.9
1977-02-01	3.5
1977-03-01	6.5
1977-04-01	7.8
1977-05-01	1.9
1978-02-01	30.4
1978-03-01	42
1978-04-01	47.4
1979-02-01	
1979-03-01	26.9
1979-04-01	32.4
1980-02-01	26.5
1980-04-01	44.7
1980-05-01	
1981-02-01	
1981-03-01	
1981-04-01	
1981-06-01	
1982-02-01	29.8
1982-03-01	34.7
1982-04-01	
1982-06-01	
1983-02-01	36
1983-03-01	
1983-04-01	
1983-06-01	
1984-02-01	29.4
1984-03-01	36.5
1984-04-01	36.7
1984-05-01	37.9
1985-02-01	20.1
1985-03-01	22.1
1985-04-01	27.8
1985-05-01	21.8
1986-02-01	18.6
1986-03-01	41.6
1986-04-01	47.7
1986-05-01	49.8
1987-02-01	5.6
1987-03-01	11.4
1987-04-01	18.5
1987-05-01	8.6
1988-02-01	21.2
1988-03-01	19.9
1988-04-01	19.7
1988-05-01	14.6
1989-02-01	17.2
1989-03-01	18.5
1989-04-01	26.3
1989-05-01	21.2
1990-01-01	
1990-02-01	4.7
1990-03-01	14.5
1990-04-01	15.2
1990-05-01	10.4
1990-06-01	
1990-07-01	
1991-01-01	0
1991-02-01	2.5
1991-03-01	4.2
1991-04-01	21.4
1991-05-01	19.8
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	9.4
1992-03-01	15.9
1992-04-01	17.8
1992-05-01	12.1
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	28.4
1993-03-01	38.2
1993-04-01	41.5
1993-05-01	42.4
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	7.1
1994-03-01	14.2
1994-04-01	17.6
1994-05-01	13.2
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	32
1995-03-01	33.4
1995-04-01	52.5
1995-05-01	57.6
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	18.3
1996-03-01	32.3
1996-04-01	37.1
1996-05-01	37.5
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	48.3
1997-03-01	43.9
1997-04-01	40.3
1997-05-01	38.4
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	20.9
1998-03-01	41.3
1998-04-01	47.2
1998-05-01	47.7
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	13.1
1999-03-01	29.2
1999-04-01	33.5
1999-05-01	34.7
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	12.9
2000-03-01	26.2
2000-04-01	28.3
2000-05-01	22.3
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	9.8
2001-03-01	17
2001-04-01	21
2001-05-01	23
2001-06-01	
2002-01-01	
2002-02-01	22.1
2002-03-01	26
2002-04-01	28.4
2002-05-01	22.5
2002-06-01	
2003-01-01	
2003-02-01	21.4
2003-03-01	22.4
2003-04-01	24.3
2003-05-01	29.3
2003-06-01	
2004-01-01	
2004-02-01	20.5
2004-03-01	32
2004-04-01	27.4
2004-05-01	18.7
2004-06-01	
2005-01-01	
2005-02-01	28.4
2005-03-01	36.5
2005-04-01	42.1
2005-05-01	42.9
2005-06-01	
2006-01-01	
2006-02-01	32.2
2006-03-01	38.5
2006-04-01	48.2
2006-05-01	54.4
2006-06-01	
2007-01-01	
2007-02-01	9.3
2007-03-01	19.1
2007-04-01	20.1
2007-05-01	16.8
2007-06-01	
2008-01-01	
2008-02-01	21.4
2008-03-01	26.5
2008-04-01	32.8
2008-05-01	26.9
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
