Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
2007-10-01	2007	10	0	r		_
2007-10-02	2007	10	0	r		_
2007-10-03	2007	10	0	r		_
2007-10-04	2007	10	0	r		_
2007-10-05	2007	10	0	r		_
2007-10-06	2007	10	0	r		_
2007-10-07	2007	10	0	r		_
2007-10-08	2007	10	0	r		_
2007-10-09	2007	10	0	r		_
2007-10-10	2007	10	0	r		_
2007-10-11	2007	10	0	r		_
2007-10-12	2007	10	0	r		_
2007-10-13	2007	10	0	r		_
2007-10-14	2007	10	0	r		_
2007-10-15	2007	10	0	r		_
2007-10-16	2007	10	0	r		_
2007-10-17	2007	10	0	r		_
2007-10-18	2007	10	0	r		_
2007-10-19	2007	10	0	r		_
2007-10-20	2007	10	0	r		_
2007-10-21	2007	10	0	r		_
2007-10-22	2007	10	0	r		_
2007-10-23	2007	10	0	r		_
2007-10-24	2007	10	0	r		_
2007-10-25	2007	10	0	r		_
2007-10-26	2007	10	0	r		_
2007-10-27	2007	10	0	r		_
2007-10-28	2007	10	0	r		_
2007-10-29	2007	10	0	r		_
2007-10-30	2007	10	0	r		_
2007-10-31	2007	10	0	r		_
2007-11-01	2007	11	0	r		_
2007-11-02	2007	11	0	r		_
2007-11-03	2007	11	0	r		_
2007-11-04	2007	11	0	r		_
2007-11-05	2007	11	0	r		_
2007-11-06	2007	11	0	r		_
2007-11-07	2007	11	0	r		_
2007-11-08	2007	11	0	r		_
2007-11-09	2007	11	0	r		_
2007-11-10	2007	11	0	r		_
2007-11-11	2007	11	0	r		_
2007-11-12	2007	11	0	r		_
2007-11-13	2007	11	0	r		_
2007-11-14	2007	11	0	r		_
2007-11-15	2007	11	0	r		_
2007-11-16	2007	11	0	r		_
2007-11-17	2007	11	0	r		_
2007-11-18	2007	11	0	r		_
2007-11-19	2007	11	0	r		_
2007-11-20	2007	11	0	r		_
2007-11-21	2007	11	0	r		_
2007-11-22	2007	11	0	r		_
2007-11-23	2007	11	0	r		_
2007-11-24	2007	11	0	r		_
2007-11-25	2007	11	0	r		_
2007-11-26	2007	11	0	r		_
2007-11-27	2007	11	0	r		_
2007-11-28	2007	11	0	r		_
2007-11-29	2007	11	0	r		_
2007-11-30	2007	11	0	r		_
2007-12-01	2007	12	0	r	2	_
2007-12-02	2007	12	0	r	2	_
2007-12-03	2007	12	0	r	2	_
2007-12-04	2007	12	0	r	2	_
2007-12-05	2007	12	1.2	r	2	_
2007-12-06	2007	12	2.5	r	8	_
2007-12-07	2007	12	2.5	r	16	_
2007-12-08	2007	12	2.5	r	15	_
2007-12-09	2007	12	2.5	r	13	_
2007-12-10	2007	12	2.5	r	12	_
2007-12-11	2007	12	2.5	r	11	_
2007-12-12	2007	12	2.5	r	10	_
2007-12-13	2007	12	2.5	r	10	_
2007-12-14	2007	12	2.5	r	9	_
2007-12-15	2007	12	2.5	r	9	_
2007-12-16	2007	12	2.5	r	8	_
2007-12-17	2007	12	2.5	r	9	_
2007-12-18	2007	12	2.5	r	34	_
2007-12-19	2007	12	4.5	r	34	_
2007-12-20	2007	12	5	r	38	_
2007-12-21	2007	12	5	r	36	_
2007-12-22	2007	12	5	r	34	_
2007-12-23	2007	12	5	r	32	_
2007-12-24	2007	12	5	r	30	_
2007-12-25	2007	12	5	r	28	_
2007-12-26	2007	12	5	r	26	_
2007-12-27	2007	12	5	r	25	_
2007-12-28	2007	12	5	r	26	_
2007-12-29	2007	12	5	r	26	_
2007-12-30	2007	12	5	r	26	_
2007-12-31	2007	12	5	r	25	_
2008-01-01	2008	1	5	r	24	_
2008-01-02	2008	1	5	r	23	_
2008-01-03	2008	1	5	r	22	_
2008-01-04	2008	1	5	r	51	_
2008-01-05	2008	1	10.2	_	65	_
2008-01-06	2008	1	12.8	_	67	_
2008-01-07	2008	1	13.8	_	61	_
2008-01-08	2008	1	16	_	64	_
2008-01-09	2008	1	17.4	_	63	_
2008-01-10	2008	1	18	_	59	_
2008-01-11	2008	1	18	_	57	_
2008-01-12	2008	1	18	_	54	_
2008-01-13	2008	1	18	r	53	_
2008-01-14	2008	1	18	r	51	_
2008-01-15	2008	1	18	r	50	_
2008-01-16	2008	1	18	r	48	_
2008-01-17	2008	1	18	r	47	_
2008-01-18	2008	1	18	r	47	_
2008-01-19	2008	1	18	_	46	_
2008-01-20	2008	1	18	r	46	_
2008-01-21	2008	1	18	r	46	_
2008-01-22	2008	1	18	r	46	_
2008-01-23	2008	1	18	r	48	_
2008-01-24	2008	1	18.8	r	58	_
2008-01-25	2008	1	19.5	r	58	_
2008-01-26	2008	1	19.6	r	56	_
2008-01-27	2008	1	20.2	r	66	_
2008-01-28	2008	1	21.2	r	71	_
2008-01-29	2008	1	22	r	72	_
2008-01-30	2008	1	22	r	72	_
2008-01-31	2008	1	22	r	75	_
2008-02-01	2008	2	22	r	77	_
2008-02-02	2008	2	22	_	78	_
2008-02-03	2008	2	22.6	r	90	_
2008-02-04	2008	2	26	r	89	_
2008-02-05	2008	2	26.6	r	85	_
2008-02-06	2008	2	26.6	_	81	_
2008-02-07	2008	2	26.7	_	78	_
2008-02-08	2008	2	26.7	r	76	_
2008-02-09	2008	2	26.7	_	74	_
2008-02-10	2008	2	26.7	_	72	_
2008-02-11	2008	2	26.7	_	70	_
2008-02-12	2008	2	26.7	_	68	_
2008-02-13	2008	2	26.7	r	65	_
2008-02-14	2008	2	26.6	r	63	_
2008-02-15	2008	2	26.5	_	63	_
2008-02-16	2008	2	26.4	r	62	_
2008-02-17	2008	2	26.3	r	60	_
2008-02-18	2008	2	26.2	r	59	_
2008-02-19	2008	2	26.1	r	58	_
2008-02-20	2008	2	26	r	60	_
2008-02-21	2008	2	25.9	r	69	_
2008-02-22	2008	2	27.3	r	79	_
2008-02-23	2008	2	28.7	r	85	_
2008-02-24	2008	2	30.4	r	99	_
2008-02-25	2008	2	32.7	_	98	_
2008-02-26	2008	2	33	_	92	_
2008-02-27	2008	2	32.75	r	87	_
2008-02-28	2008	2	31	r	84	_
2008-02-29	2008	2	31	r	80	_
2008-03-01	2008	3	31	r	76	_
2008-03-02	2008	3	31	r	75	_
2008-03-03	2008	3	31	r	74	_
2008-03-04	2008	3	31	r	73	_
2008-03-05	2008	3	31	r	72	_
2008-03-06	2008	3	31	r	71	_
2008-03-07	2008	3	31	r	71	_
2008-03-08	2008	3	31	r	69	_
2008-03-09	2008	3	31	r	68	_
2008-03-10	2008	3	31	r	67	_
2008-03-11	2008	3	31	r	66	_
2008-03-12	2008	3	31	r	64	_
2008-03-13	2008	3	31	r	63	_
2008-03-14	2008	3	30.7	r	63	_
2008-03-15	2008	3	30.4	r	64	_
2008-03-16	2008	3	30.1	r	65	_
2008-03-17	2008	3	29.8	r	65	_
2008-03-18	2008	3	29.5	_	62	_
2008-03-19	2008	3	29.3	r	61	_
2008-03-20	2008	3	29	r	59	_
2008-03-21	2008	3	28.7	_	58	_
2008-03-22	2008	3	28.2	_	57	_
2008-03-23	2008	3	27.8	_	56	_
2008-03-24	2008	3	26.7	_	55	_
2008-03-25	2008	3	25.9	_	54	_
2008-03-26	2008	3	24.7	_	52	_
2008-03-27	2008	3	24.1	_	50	_
2008-03-28	2008	3	22.7	_	50	_
2008-03-29	2008	3	22.2	_	50	_
2008-03-30	2008	3		_		_
2008-03-31	2008	3		_		_
2008-04-01	2008	4		_		_
2008-04-02	2008	4		_		_
2008-04-03	2008	4		_		_
2008-04-04	2008	4		_		_
2008-04-05	2008	4		_		_
2008-04-06	2008	4		_		_
2008-04-07	2008	4		_		_
2008-04-08	2008	4		_		_
2008-04-09	2008	4		_		_
2008-04-10	2008	4		_		_
2008-04-11	2008	4		_		_
2008-04-12	2008	4		_		_
2008-04-13	2008	4		_		_
