Date	SWE_Inches
1938-04-01	46.9
1938-06-01	
1940-04-01	39.4
1941-04-01	40.4
1942-03-01	
1942-04-01	31.9
1943-02-01	
1943-04-01	30.6
1944-02-01	
1944-03-01	
1944-04-01	21.1
1945-02-01	
1945-03-01	
1945-04-01	31
1945-05-01	30.9
1946-02-01	
1946-03-01	
1946-04-01	27.6
1947-02-01	16.7
1947-03-01	19.6
1947-04-01	20.9
1948-02-01	4
1948-03-01	7.3
1948-04-01	15.7
1948-05-01	26.2
1948-06-01	
1949-02-01	11.8
1949-04-01	25
1950-02-01	18
1950-03-01	23.8
1950-04-01	26.9
1951-02-01	14.6
1951-03-01	15.3
1951-04-01	16.5
1951-05-01	27.2
1951-06-01	
1952-02-01	34
1952-03-01	38.3
1952-04-01	48.9
1952-05-01	44.5
1953-02-01	17.8
1953-03-01	18.2
1953-04-01	19.8
1954-02-01	12.3
1954-03-01	19.8
1954-04-01	27.5
1954-05-01	27.3
1955-02-01	17.2
1955-03-01	22
1955-04-01	21.7
1955-05-01	24.5
1956-02-01	38.8
1956-03-01	46.1
1956-04-01	39.2
1956-05-01	35.4
1956-06-01	
1957-02-01	9.1
1957-03-01	14.6
1957-04-01	17.7
1957-05-01	18
1958-02-01	17.5
1958-03-01	27.4
1958-04-01	43.3
1958-05-01	47.6
1959-02-01	7.8
1959-03-01	20.6
1959-04-01	17.9
1959-05-01	4
1960-02-01	6.4
1960-03-01	14.4
1960-04-01	21.7
1961-02-01	8.7
1961-03-01	9.5
1961-04-01	13.9
1962-02-01	10.4
1962-03-01	36
1962-04-01	38.8
1962-05-01	26.9
1963-03-01	13.5
1963-04-01	22.9
1964-02-01	11.6
1964-03-01	11.6
1965-03-01	26.5
1965-04-01	14.8
1966-02-01	20.7
1966-03-01	23.2
1966-04-01	19.3
1967-04-01	41.2
1967-05-01	49.3
1968-04-01	13.5
1969-04-01	62.1
1969-06-01	
1970-03-01	22.2
1970-04-01	22.2
1971-02-01	22.4
1971-03-01	24.2
1971-04-01	24.4
1972-02-01	19
1972-03-01	20.4
1972-04-01	14.9
1973-02-01	20.2
1973-03-01	36.1
1973-04-01	38.1
1974-03-01	21.4
1974-04-01	31.8
1974-05-01	33.6
1974-06-01	
1975-02-01	10.5
1975-03-01	20.7
1975-04-01	30.6
1975-05-01	33.5
1976-03-01	3.4
1976-04-01	6.1
1977-02-01	3.1
1977-03-01	4.7
1977-04-01	6.8
1978-02-01	32.4
1978-03-01	
1978-04-01	51.1
1979-02-01	14.6
1979-03-01	24.4
1979-04-01	31.6
1979-05-01	0
1980-02-01	22.9
1980-03-01	36.6
1980-04-01	39.8
1981-03-01	13.8
1981-04-01	22.7
1982-01-01	
1982-02-01	26
1982-03-01	27.8
1982-04-01	
1983-01-01	31.1
1983-03-01	45.1
1983-04-01	61.1
1984-02-01	21.5
1984-03-01	25.9
1984-04-01	26.1
1985-02-01	14
1985-03-01	15.7
1985-04-01	21.8
1986-02-01	17.6
1986-03-01	38
1986-04-01	42.4
1987-02-01	5.5
1987-03-01	12
1987-04-01	16.3
1988-02-01	18.2
1988-03-01	17.3
1988-04-01	14.2
1989-02-01	13
1989-03-01	16.5
1989-04-01	20.1
1990-01-01	
1990-02-01	9.4
1990-03-01	13.4
1990-04-01	15.4
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	4
1991-03-01	6.1
1991-04-01	25.9
1991-05-01	24.3
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	8.7
1992-03-01	17
1992-04-01	19.8
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	31.3
1993-03-01	42.1
1993-04-01	43.9
1993-05-01	46.8
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	7
1994-03-01	16.1
1994-04-01	17.4
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	30.3
1995-03-01	27.8
1995-04-01	50.4
1995-05-01	47
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	13.9
1996-03-01	26.2
1996-04-01	29.9
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	39
1997-03-01	
1997-04-01	28.4
1997-05-01	16.4
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	23.3
1998-03-01	41.3
1998-04-01	47.6
1998-05-01	47.6
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	12.4
1999-03-01	21
1999-04-01	21.3
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	12.8
2000-03-01	32.2
2000-04-01	27
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	7.4
2001-03-01	
2001-04-01	17.7
2001-05-01	18.3
2001-06-01	
2002-01-01	
2002-02-01	16.4
2002-03-01	22.9
2002-04-01	25.6
2002-05-01	14.1
2002-06-01	
2003-01-01	
2003-02-01	18
2003-03-01	25
2003-04-01	20.7
2003-05-01	26.7
2003-06-01	
2004-01-01	
2004-02-01	13.9
2004-03-01	23.8
2004-04-01	18.4
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	31.6
2005-03-01	37.6
2005-04-01	41.2
2005-05-01	40.1
2005-06-01	
2006-01-01	
2006-02-01	21.6
2006-03-01	26
2006-04-01	40.3
2006-05-01	48.6
2006-06-01	
2007-01-01	
2007-02-01	7.1
2007-03-01	14.7
2007-04-01	14.1
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	20.2
2008-03-01	27.3
2008-04-01	27.2
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
