Percentile	Sample_Name	PercentSnow	Age_yr
0.025	C2-Boulder1	0	12963
0.159	C2-Boulder1	0	13855
0.5	C2-Boulder1	0	14791
0.841	C2-Boulder1	0	15738
0.975	C2-Boulder1	0	16663
0.025	C2-Boulder2	0	12096
0.159	C2-Boulder2	0	12977
0.5	C2-Boulder2	0	13902
0.841	C2-Boulder2	0	14841
0.975	C2-Boulder2	0	15760
0.025	LoLy-11-08	0	12571
0.159	LoLy-11-08	0	13490
0.5	LoLy-11-08	0	14452
0.841	LoLy-11-08	0	15424
0.975	LoLy-11-08	0	16372
0.025	LyCy-1	0	10182
0.159	LyCy-1	0	10752
0.5	LyCy-1	0	11538
0.841	LyCy-1	0	12371
0.975	LyCy-1	0	13187
0.025	LyCy-3	0	12577
0.159	LyCy-3	0	13615
0.5	LyCy-3	0	14695
0.841	LyCy-3	0	15777
0.975	LyCy-3	0	16820
0.025	LyCy-4	0	11405
0.159	LyCy-4	0	12442
0.5	LyCy-4	0	13529
0.841	LyCy-4	0	14620
0.975	LyCy-4	0	15673
0.025	LyCy-5	0	12955
0.159	LyCy-5	0	13934
0.5	LyCy-5	0	14953
0.841	LyCy-5	0	15975
0.975	LyCy-5	0	16962
0.025	TM14-01	0	12295
0.159	TM14-01	0	13139
0.5	TM14-01	0	14019
0.841	TM14-01	0	14903
0.975	TM14-01	0	15758
0.025	TM14-02	0	12022
0.159	TM14-02	0	12854
0.5	TM14-02	0	13724
0.841	TM14-02	0	14600
0.975	TM14-02	0	15449
0.025	TM14-03	0	12848
0.159	TM14-03	0	13747
0.5	TM14-03	0	14686
0.841	TM14-03	0	15628
0.975	TM14-03	0	16540
0.025	TM14-04	0	11567
0.159	TM14-04	0	12357
0.5	TM14-04	0	13182
0.841	TM14-04	0	14011
0.975	TM14-04	0	14812
0.025	TM14-05	0	11308
0.159	TM14-05	0	12120
0.5	TM14-05	0	12970
0.841	TM14-05	0	13825
0.975	TM14-05	0	14653
0.025	TM14-06	0	12148
0.159	TM14-06	0	13001
0.5	TM14-06	0	13896
0.841	TM14-06	0	14802
0.975	TM14-06	0	15688
0.025	TM14-07	0	13681
0.159	TM14-07	0	14637
0.5	TM14-07	0	15638
0.841	TM14-07	0	16651
0.975	TM14-07	0	17641
0.025	TM14-11	0	11380
0.159	TM14-11	0	12188
0.5	TM14-11	0	13036
0.841	TM14-11	0	13896
0.975	TM14-11	0	14734
0.025	TM14-12	0	13305
0.159	TM14-12	0	14230
0.5	TM14-12	0	15196
0.841	TM14-12	0	16170
0.975	TM14-12	0	17117
