Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1982-05-01	1982	5	15.5	_		_
1982-05-02	1982	5	14.5	_		_
1982-05-03	1982	5	13.4	_		_
1982-05-04	1982	5	12.2	_		_
1982-05-05	1982	5	10.6	_		_
1982-05-06	1982	5	9.2	_		_
1982-05-07	1982	5	7.8	_		_
1982-05-08	1982	5	6.1	_		_
1982-05-09	1982	5	5.5	_		_
1982-05-10	1982	5	5.5	_		_
1982-05-11	1982	5	5.5	_		_
1982-05-12	1982	5	5.5	_		_
1982-05-13	1982	5	4.3	_		_
1982-05-14	1982	5	2.9	_		_
1982-05-15	1982	5	2.1	_		_
1982-05-16	1982	5	1.1	_		_
1982-05-17	1982	5	1	_		_
1982-05-18	1982	5	0.8	_		_
1982-05-19	1982	5	0	_		_
1982-05-20	1982	5	0	_		_
1982-05-21	1982	5	0	_		_
1982-05-22	1982	5	0	_		_
1982-05-23	1982	5	0	_		_
1982-05-24	1982	5	0	_		_
1982-05-25	1982	5	0	_		_
1982-05-26	1982	5	0	_		_
1982-05-27	1982	5	0	_		_
1982-05-28	1982	5	0	_		_
1982-05-29	1982	5	0	_		_
1982-05-30	1982	5	0	_		_
1982-05-31	1982	5	0	_		_
1982-06-01	1982	6	0	_		_
1982-06-02	1982	6	0	_		_
1982-06-03	1982	6	0	_		_
1982-06-04	1982	6	0	_		_
1982-06-05	1982	6	0	_		_
1982-06-06	1982	6	0	_		_
1982-06-07	1982	6	0	_		_
1982-06-08	1982	6	0	_		_
1982-06-09	1982	6	0	_		_
1982-06-10	1982	6	0	_		_
1982-06-11	1982	6	0	_		_
1982-06-12	1982	6	0	_		_
1982-06-13	1982	6	0	_		_
1982-06-14	1982	6	0	_		_
1982-06-15	1982	6	0	_		_
1982-06-16	1982	6	0	_		_
1982-06-17	1982	6	0	_		_
1982-06-18	1982	6	0	_		_
1982-06-19	1982	6	0	_		_
1982-06-20	1982	6	0	_		_
1982-06-21	1982	6	0	_		_
1982-06-22	1982	6	0	_		_
