Years_B1950	Temp_C	TempCitation
50	-0.13	Marcott et al
150	-0.20	Marcott et al
250	-0.28	Marcott et al
350	-0.27	Marcott et al
450	-0.22	Marcott et al
550	-0.21	Marcott et al
650	-0.16	Marcott et al
750	-0.12	Marcott et al
850	-0.06	Marcott et al
950	-0.08	Marcott et al
1050	-0.03	Marcott et al
1150	-0.04	Marcott et al
1250	-0.05	Marcott et al
1350	-0.02	Marcott et al
1450	-0.02	Marcott et al
1550	-0.06	Marcott et al
1650	-0.10	Marcott et al
1750	-0.11	Marcott et al
1850	-0.08	Marcott et al
1950	-0.07	Marcott et al
2050	-0.05	Marcott et al
2150	-0.04	Marcott et al
2250	-0.03	Marcott et al
2350	-0.04	Marcott et al
2450	-0.02	Marcott et al
2550	-0.02	Marcott et al
2650	0.00	Marcott et al
2750	0.01	Marcott et al
2850	0.04	Marcott et al
2950	0.04	Marcott et al
3050	0.03	Marcott et al
3150	0.03	Marcott et al
3250	0.03	Marcott et al
3350	0.08	Marcott et al
3450	0.09	Marcott et al
3550	0.08	Marcott et al
3650	0.13	Marcott et al
3750	0.15	Marcott et al
3850	0.15	Marcott et al
3950	0.16	Marcott et al
4050	0.17	Marcott et al
4150	0.21	Marcott et al
4250	0.22	Marcott et al
4350	0.22	Marcott et al
4450	0.25	Marcott et al
4550	0.26	Marcott et al
4650	0.24	Marcott et al
4750	0.26	Marcott et al
4850	0.30	Marcott et al
4950	0.32	Marcott et al
5050	0.33	Marcott et al
5150	0.34	Marcott et al
5250	0.35	Marcott et al
5350	0.35	Marcott et al
5450	0.34	Marcott et al
5550	0.34	Marcott et al
5650	0.35	Marcott et al
5750	0.35	Marcott et al
5850	0.33	Marcott et al
5950	0.32	Marcott et al
6050	0.34	Marcott et al
6150	0.36	Marcott et al
6250	0.35	Marcott et al
6350	0.35	Marcott et al
6450	0.34	Marcott et al
6550	0.35	Marcott et al
6650	0.37	Marcott et al
6750	0.38	Marcott et al
6850	0.40	Marcott et al
6950	0.43	Marcott et al
7050	0.43	Marcott et al
7150	0.41	Marcott et al
7250	0.38	Marcott et al
7350	0.36	Marcott et al
7450	0.36	Marcott et al
7550	0.38	Marcott et al
7650	0.38	Marcott et al
7750	0.36	Marcott et al
7850	0.34	Marcott et al
7950	0.34	Marcott et al
8050	0.36	Marcott et al
8150	0.32	Marcott et al
8250	0.33	Marcott et al
8350	0.36	Marcott et al
8450	0.38	Marcott et al
8550	0.39	Marcott et al
8650	0.39	Marcott et al
8750	0.39	Marcott et al
8850	0.39	Marcott et al
8950	0.39	Marcott et al
9050	0.38	Marcott et al
9150	0.37	Marcott et al
9250	0.37	Marcott et al
9350	0.37	Marcott et al
9450	0.36	Marcott et al
9550	0.34	Marcott et al
9650	0.33	Marcott et al
9750	0.32	Marcott et al
9850	0.30	Marcott et al
9950	0.27	Marcott et al
10050	0.23	Marcott et al
10150	0.19	Marcott et al
10250	0.15	Marcott et al
10350	0.13	Marcott et al
10450	0.13	Marcott et al
