Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1984-11-01	1984	11	0	_		_
1984-11-02	1984	11	1	_		_
1984-11-03	1984	11	2	_		_
1984-11-04	1984	11	2.9	_		_
1984-11-05	1984	11	3.9	_		_
1984-11-06	1984	11	4	_		_
1984-11-07	1984	11	4.4	_		_
1984-11-08	1984	11	5.3	_		_
1984-11-09	1984	11	6.5	_		_
1984-11-10	1984	11	6.7	_		_
1984-11-11	1984	11	7.1	_		_
1984-11-12	1984	11	7.1	_		_
1984-11-13	1984	11	8.5	_		_
1984-11-14	1984	11	10.5	_		_
1984-11-15	1984	11	10.4	_		_
1984-11-16	1984	11	10.4	_		_
1984-11-17	1984	11	10.5	_		_
1984-11-18	1984	11	10.5	_		_
1984-11-19	1984	11	11.1	_		_
1984-11-20	1984	11	10.7	_		_
1984-11-21	1984	11	10.9	_		_
1984-11-22	1984	11	11.4	_		_
1984-11-23	1984	11	12.2	_		_
1984-11-24	1984	11	12.9	_		_
1984-11-25	1984	11	13.7	_		_
1984-11-26	1984	11	14.1	_		_
1984-11-27	1984	11	14.1	_		_
1984-11-28	1984	11	14.7	_		_
1984-11-29	1984	11	15.1	_		_
1984-11-30	1984	11	15.3	_		_
1984-12-01	1984	12	15.4	_		_
1984-12-02	1984	12	15.4	_		_
1984-12-03	1984	12	15.4	_		_
1984-12-04	1984	12	15.4	_		_
1984-12-05	1984	12	15.5	_		_
1984-12-06	1984	12	15.6	_		_
1984-12-07	1984	12	15.7	_		_
1984-12-08	1984	12	15.8	_		_
1984-12-09	1984	12	15.9	_		_
1984-12-10	1984	12	16	_		_
1984-12-11	1984	12	16.1	_		_
1984-12-12	1984	12	16.5	_		_
1984-12-13	1984	12	16.5	_		_
1984-12-14	1984	12	16.5	_		_
1984-12-15	1984	12	16.5	_		_
1984-12-16	1984	12	17.5	_		_
1984-12-17	1984	12	18.1	_		_
1984-12-18	1984	12	18	_		_
1984-12-19	1984	12	18	_		_
1984-12-20	1984	12	18	_		_
1984-12-21	1984	12	18	_		_
1984-12-22	1984	12	18.1	_		_
1984-12-23	1984	12	18.1	_		_
1984-12-24	1984	12	18.5	_		_
1984-12-25	1984	12	18.5	_		_
1984-12-26	1984	12	18.5	_		_
1984-12-27	1984	12	18.5	_		_
1984-12-28	1984	12	18.5	_		_
1984-12-29	1984	12	18.5	_		_
1984-12-30	1984	12	18.5	_		_
1984-12-31	1984	12	18.5	_		_
1985-01-01	1985	1	18.5	_		_
1985-01-02	1985	1	18.5	_		_
1985-01-03	1985	1	18.5	_		_
1985-01-04	1985	1	18.4	_		_
1985-01-05	1985	1	18.4	_		_
1985-01-06	1985	1	18.4	_		_
1985-01-07	1985	1	18.4	_		_
1985-01-08	1985	1	19.1	_		_
1985-01-09	1985	1	19.1	_		_
1985-01-10	1985	1	19	_		_
1985-01-11	1985	1	19	_		_
1985-01-12	1985	1	18.9	_		_
1985-01-13	1985	1	18.9	_		_
1985-01-14	1985	1	18.9	_		_
1985-01-15	1985	1	18.8	_		_
1985-01-16	1985	1	18.8	_		_
1985-01-17	1985	1	18.7	_		_
1985-01-18	1985	1	18.7	_		_
1985-01-19	1985	1	19.3	_		_
1985-01-20	1985	1	19.4	_		_
1985-01-21	1985	1	19.4	_		_
1985-01-22	1985	1	19.4	_		_
1985-01-23	1985	1	19.4	_		_
1985-01-24	1985	1	19.4	_		_
1985-01-25	1985	1	19.4	_		_
1985-01-26	1985	1	19.4	_		_
1985-01-27	1985	1	19.4	_		_
1985-01-28	1985	1	19.4	_		_
1985-01-29	1985	1	19.4	_		_
1985-01-30	1985	1	19.5	_		_
1985-01-31	1985	1	19.5	_		_
1985-02-01	1985	2	19.5	_		_
1985-02-02	1985	2	19.6	_		_
1985-02-03	1985	2	19.8	_		_
1985-02-04	1985	2	19.9	_		_
1985-02-05	1985	2	20.1	_		_
1985-02-06	1985	2	20.2	_		_
1985-02-07	1985	2	20.4	_		_
1985-02-08	1985	2	21.6	_		_
1985-02-09	1985	2	22.9	_		_
1985-02-10	1985	2	24.1	_		_
1985-02-11	1985	2	25.3	_		_
1985-02-12	1985	2	25.1	_		_
1985-02-13	1985	2	25.1	_		_
1985-02-14	1985	2	25.1	_		_
1985-02-15	1985	2	25.1	_		_
1985-02-16	1985	2	25.1	_		_
1985-02-17	1985	2	25.1	_		_
1985-02-18	1985	2	25.1	_		_
1985-02-19	1985	2	25.1	_		_
1985-02-20	1985	2	25.1	_		_
1985-02-21	1985	2	25.1	_		_
1985-02-22	1985	2	25.1	_		_
1985-02-23	1985	2	25	_		_
1985-02-24	1985	2	25	_		_
1985-02-25	1985	2	25	_		_
1985-02-26	1985	2	25	_		_
1985-02-27	1985	2	25	_		_
1985-02-28	1985	2	25	_		_
1985-03-01	1985	3	25.2	_		_
1985-03-02	1985	3	25.4	_		_
1985-03-03	1985	3	25.6	_		_
1985-03-04	1985	3	25.8	_		_
1985-03-05	1985	3	26	_		_
1985-03-06	1985	3	26.5	_		_
1985-03-07	1985	3	27	_		_
1985-03-08	1985	3	27.4	_		_
1985-03-09	1985	3	27.9	_		_
1985-03-10	1985	3	28.4	_		_
1985-03-11	1985	3	28.9	_		_
1985-03-12	1985	3	29.4	_		_
1985-03-13	1985	3	29.2	_		_
1985-03-14	1985	3	28.9	_		_
1985-03-15	1985	3	28.7	_		_
1985-03-16	1985	3	28.4	_		_
1985-03-17	1985	3	28.2	_		_
1985-03-18	1985	3	28	_		_
1985-03-19	1985	3	27.7	_		_
1985-03-20	1985	3	27.5	_		_
1985-03-21	1985	3	27.5	_		_
1985-03-22	1985	3	27.3	_		_
1985-03-23	1985	3	26.7	_		_
1985-03-24	1985	3	26.5	_		_
1985-03-25	1985	3	26.4	_		_
1985-03-26	1985	3	26.4	_		_
1985-03-27	1985	3	29	_		_
1985-03-28	1985	3	29.2	_		_
1985-03-29	1985	3	29.4	_		_
1985-03-30	1985	3	29.7	_		_
1985-03-31	1985	3	29.9	_		_
1985-04-01	1985	4	30.1	_		_
1985-04-02	1985	4	30.5	_		_
1985-04-03	1985	4	30.9	_		_
1985-04-04	1985	4	31.2	_		_
