Date	SWE_Inches
1948-02-01	7.9
1948-03-01	17.9
1948-04-01	30.4
1948-05-01	43.2
1949-02-01	25.1
1949-03-01	35.6
1949-04-01	46.1
1950-03-01	38.5
1950-04-01	45.1
1951-03-01	26.1
1951-04-01	36.1
1952-03-01	67.6
1952-04-01	80.5
1953-03-01	34.6
1953-04-01	38.6
1954-03-01	32.3
1954-04-01	46.2
1955-02-01	28.8
1955-03-01	36.2
1955-04-01	35.6
1956-02-01	52.9
1956-03-01	67.5
1956-04-01	56.8
1957-02-01	19.5
1957-03-01	28.7
1957-04-01	42
1958-02-01	24.2
1958-03-01	40.8
1958-04-01	59.1
1959-02-01	17.5
1959-03-01	35.8
1959-04-01	34.7
1960-02-01	11
1960-03-01	23.8
1960-04-01	29.9
1961-02-01	15.3
1961-03-01	19.6
1961-04-01	28.8
1962-02-01	14.6
1962-03-01	43.5
1962-04-01	54.9
1963-03-01	16.9
1963-04-01	28.8
1964-02-01	22.7
1964-03-01	22.4
1964-04-01	28.7
1965-02-01	46.4
1965-03-01	56
1965-04-01	55.9
1966-02-01	32.5
1966-03-01	41.6
1966-04-01	39.3
1967-02-01	40.7
1967-03-01	44.6
1967-04-01	58.9
1968-02-01	24.7
1968-03-01	32.5
1968-04-01	38.9
1969-03-01	78.3
1969-04-01	87.4
1969-05-01	86.3
1970-04-01	43.4
1971-04-01	51.1
1972-04-01	37
1973-04-01	58.6
1974-04-01	52.7
1975-04-01	59
1976-04-01	18.4
1977-04-01	10.9
1978-04-01	69.5
1979-04-01	109
1980-04-01	70.8
1981-04-01	31.1
1982-01-01	0
1982-02-01	0
1982-04-01	67.6
1983-04-01	83.8
1984-04-01	51
1985-04-01	41.4
1986-04-01	71.5
1987-04-01	24.6
1988-02-01	21.5
1988-04-01	20.2
1988-05-01	16.9
1989-02-01	21.7
1989-03-01	25.8
1989-04-01	40.5
1989-05-01	34
1990-01-01	
1990-02-01	11.9
1990-03-01	24
1990-04-01	29.3
1990-05-01	15.5
1990-06-01	
1990-07-01	
1991-01-01	0
1991-02-01	5.9
1991-03-01	7.3
1991-04-01	27.7
1991-05-01	32.5
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	14.4
1992-03-01	25.4
1992-04-01	28.4
1992-05-01	19.4
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	46.4
1993-03-01	66.6
1993-04-01	66.1
1993-05-01	67.4
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	10.1
1994-03-01	21.2
1994-04-01	25.6
1994-05-01	19.8
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	27.8
1995-03-01	49.5
1995-04-01	82.5
1995-05-01	82
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	21.4
1996-03-01	56.9
1996-04-01	50.4
1996-05-01	52.8
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	58
1997-03-01	
1997-04-01	59.4
1997-05-01	53
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	31.7
1998-03-01	64.8
1998-04-01	79.1
1998-05-01	74.7
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	31.9
1999-03-01	25.8
1999-04-01	28.5
1999-05-01	63.8
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	22
2000-03-01	43.7
2000-04-01	52
2000-05-01	46
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	6.5
2001-03-01	15.4
2001-04-01	35.7
2001-05-01	33.7
2001-06-01	
2002-01-01	
2002-02-01	29.9
2002-03-01	19.3
2002-04-01	42.3
2002-05-01	38.1
2002-06-01	
2003-01-01	
2003-02-01	27
2003-03-01	30.9
2003-04-01	35.2
2003-05-01	45.1
2003-06-01	
2004-01-01	
2004-02-01	26.7
2004-03-01	41.5
2004-04-01	19.4
2004-05-01	31.8
2004-06-01	
2005-01-01	
2005-02-01	45.2
2005-03-01	55.5
2005-04-01	62.5
2005-05-01	65.5
2005-06-01	
2006-01-01	
2006-02-01	38.2
2006-03-01	46.1
2006-04-01	64.3
2006-05-01	74.6
2006-06-01	
2007-01-01	
2007-02-01	15.1
2007-03-01	28.1
2007-04-01	29.3
2007-05-01	25.3
2007-06-01	
2008-01-01	
2008-02-01	33.4
2008-03-01	39.9
2008-04-01	39.6
2008-05-01	33.9
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
