Date	SWE_Inches
1940-04-01	37.2
1944-04-01	22.4
1945-04-01	32.9
1946-04-01	30.1
1947-04-01	20
1948-04-01	15.3
1948-05-01	21.8
1949-04-01	22.8
1950-04-01	25.1
1951-01-01	
1951-04-01	25.5
1951-05-01	26.7
1952-02-01	29.4
1952-04-01	41.9
1953-02-01	18.6
1953-04-01	18
1954-02-01	9.3
1954-04-01	27.7
1955-02-01	17.5
1955-04-01	21
1956-02-01	43
1956-04-01	40.6
1957-02-01	7
1957-03-01	13.3
1957-04-01	19.5
1958-02-01	15.9
1958-03-01	25
1958-04-01	38.1
1959-02-01	7.3
1959-03-01	18.4
1959-04-01	17.5
1960-02-01	5.8
1960-03-01	13.4
1960-04-01	16.1
1961-02-01	9.1
1961-03-01	10.6
1961-04-01	13.5
1962-03-01	31.5
1962-04-01	39.4
1963-03-01	16.8
1963-04-01	26.5
1964-02-01	10.6
1964-03-01	11
1964-04-01	12.3
1965-02-01	26
1965-03-01	27.2
1965-04-01	28
1966-02-01	20.7
1966-03-01	22.4
1966-04-01	22.2
1967-04-01	39.3
1967-05-01	50.4
1968-04-01	14.2
1969-04-01	60.8
1969-06-01	
1970-04-01	21.5
1971-04-01	22.4
1972-04-01	16.2
1973-04-01	37.3
1974-04-01	31.5
1974-05-01	34.6
1975-04-01	28.1
1975-05-01	32
1976-03-01	2.5
1976-04-01	6.2
1977-04-01	6.2
1978-04-01	49.8
1979-03-01	0
1979-04-01	33
1980-01-01	0
1980-02-01	0
1980-04-01	44.6
1981-04-01	23.6
1982-01-01	
1982-02-01	0
1982-04-01	
1983-01-01	0
1983-02-01	0
1983-03-01	41
1983-04-01	56.4
1983-05-01	0
1984-04-01	27
1985-04-01	18.4
1986-04-01	46.1
1987-04-01	15.5
1988-04-01	16.5
1989-04-01	18.8
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	13.6
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	22
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	17.6
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	41.1
1993-05-01	43.3
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	15.7
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	52
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	27.7
1996-05-01	25.6
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	30.9
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	29.2
2000-05-01	28
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	19.6
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	23.2
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	18.9
2003-05-01	26.8
2003-06-01	
2004-01-01	
2004-02-01	14
2004-03-01	25.3
2004-04-01	23.5
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	37.6
2005-04-01	43.8
2005-05-01	37.6
2005-06-01	
2006-01-01	
2006-02-01	23.7
2006-03-01	
2006-04-01	35.4
2006-05-01	45.9
2006-06-01	
2007-01-01	
2007-02-01	9
2007-03-01	
2007-04-01	12
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	24.3
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
