Date	SWE_Inches
1930-04-01	19.4
1930-05-01	
1931-03-01	
1931-04-01	3.1
1932-02-01	
1932-03-01	
1932-05-01	
1933-03-01	
1933-04-01	20.9
1934-01-01	
1934-02-01	
1934-03-01	
1934-04-01	0
1935-01-01	
1935-02-01	
1935-03-01	
1935-05-01	14.6
1936-04-01	28
1940-05-01	0
1941-02-01	
1941-03-01	
1941-04-01	30.9
1941-05-01	27.2
1942-02-01	
1942-03-01	
1942-04-01	26.9
1942-05-01	19
1943-02-01	
1943-03-01	
1943-04-01	17.4
1944-01-01	
1944-02-01	
1944-03-01	
1944-04-01	21.9
1944-06-01	
1945-02-01	
1945-03-01	
1945-04-01	19.8
1945-05-01	9
1945-06-01	
1946-02-01	
1946-03-01	
1946-04-01	17.9
1946-06-01	
1947-02-01	9.1
1947-03-01	11.3
1947-04-01	8.2
1947-05-01	0
1947-06-01	
1948-02-01	0
1948-03-01	6.3
1948-04-01	16.2
1948-05-01	22.5
1948-06-01	
1949-02-01	14.8
1949-03-01	20.7
1949-04-01	28.3
1949-05-01	9.5
1949-06-01	
1950-02-01	16.5
1950-03-01	19.2
1950-04-01	20.7
1950-05-01	0
1950-06-01	
1951-01-01	
1951-02-01	5
1951-03-01	9.4
1951-04-01	8.6
1951-06-01	
1952-01-01	
1952-02-01	35
1952-03-01	37.7
1952-04-01	49.3
1952-05-01	32.1
1952-06-01	
1953-02-01	16.9
1953-03-01	16.3
1953-04-01	13.5
1953-06-01	
1954-01-01	
1954-02-01	8.9
1954-03-01	15.5
1954-04-01	20.1
1954-05-01	2.4
1954-06-01	
1955-01-01	
1955-02-01	13.8
1955-03-01	16.3
1955-04-01	10.6
1955-05-01	0
1956-01-01	
1956-02-01	18.5
1956-03-01	22.2
1956-04-01	13
1956-05-01	5.4
1957-02-01	7.7
1957-03-01	10.6
1957-04-01	10.8
1957-05-01	10.6
1957-06-01	
1958-02-01	10.4
1958-03-01	20.9
1958-04-01	33.4
1958-05-01	29.2
1958-06-01	
1959-02-01	6.2
1959-03-01	16.5
1959-04-01	9.5
1960-02-01	6.8
1960-03-01	14.5
1960-04-01	11.5
1960-05-01	0
1960-06-01	
1961-02-01	5.5
1961-03-01	5.2
1961-04-01	7.6
1961-05-01	0
1962-02-01	9.2
1962-03-01	27
1962-04-01	34.5
1962-05-01	5.3
1963-02-01	0
1963-03-01	0
1963-04-01	4.7
1963-05-01	7.6
1963-06-01	
1964-01-01	
1964-02-01	10.2
1964-03-01	9.2
1964-04-01	10.3
1964-05-01	0
1965-02-01	20.9
1965-03-01	20.2
1965-04-01	17.9
1965-05-01	6.9
1965-06-01	
1966-02-01	11.4
1966-03-01	14.4
1966-04-01	6.2
1966-05-01	0
1966-06-01	
1967-02-01	12.3
1967-03-01	12
1967-04-01	21.6
1967-05-01	40.5
1967-06-01	
1968-02-01	9.7
1968-03-01	8.4
1968-04-01	4.3
1968-05-01	0
1969-02-01	28.2
1969-03-01	49.7
1969-04-01	53.1
1969-05-01	47.6
1969-06-01	
1970-02-01	10.5
1970-03-01	13.2
1970-04-01	11.7
1970-05-01	0.8
1970-06-01	
1971-02-01	19.7
1971-03-01	20.2
1971-04-01	16.1
1971-05-01	5.4
1972-02-01	17.1
1972-03-01	17.8
1972-04-01	4.4
1972-05-01	0
1973-02-01	19.1
1973-03-01	28.9
1973-04-01	38.5
1973-05-01	24.2
1974-02-01	15.5
1974-03-01	16.4
1974-04-01	21.3
1974-05-01	14.7
1974-06-01	
1975-02-01	9.6
1975-03-01	18.5
1975-04-01	30.3
1975-05-01	34.8
1975-06-01	
1976-02-01	3.5
1976-03-01	9.4
1976-04-01	9.8
1976-05-01	2
1976-06-01	
1977-02-01	3.6
1977-03-01	4.3
1977-04-01	5.5
1978-01-01	7.8
1978-02-01	20.6
1978-03-01	32.8
1978-04-01	41.5
1978-05-01	37.9
1978-06-01	
1979-02-01	12.9
1979-03-01	25.3
1979-04-01	29.8
1979-05-01	18.8
1980-02-01	11.6
1980-03-01	21.6
1980-04-01	28.4
1980-05-01	15.2
1981-02-01	7
1981-03-01	12.4
1981-04-01	20
1981-05-01	3.3
1982-02-01	19.8
1982-03-01	16.6
1982-04-01	29.6
1982-05-01	0
1983-02-01	29.5
1983-03-01	45.6
1983-04-01	54.7
1983-05-01	56
1984-02-01	9.2
1984-03-01	14.7
1984-04-01	7.8
1984-05-01	2
1985-02-01	11.8
1985-03-01	13.3
1985-04-01	18.5
1985-05-01	0
1986-02-01	10.3
1986-03-01	20.5
1986-04-01	16.1
1986-05-01	11.5
1987-02-01	4.6
1987-03-01	11.2
1987-04-01	10
1987-05-01	0
1988-02-01	13.2
1988-03-01	10.8
1988-04-01	3.6
1988-05-01	1.7
1989-02-01	10.1
1989-03-01	13.2
1989-04-01	12.7
1989-05-01	0
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	13.8
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	21.1
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	12.8
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	37.4
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	7.5
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	45.4
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	16
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	14
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	37.9
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	15.2
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	17.5
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
