Years_B1950	CO2_ppm	Core	IceCoreCitation
214	280.4	EDC	Lemieux-Dudon; Monin
339	274.9	EDC	Lemieux-Dudon; Monin
348	277.9	EDC	Lemieux-Dudon; Monin
454	279.1	EDC	Lemieux-Dudon; Monin
464	281.9	EDC	Lemieux-Dudon; Monin
553	277.7	EDC	Lemieux-Dudon; Monin
618	281.1	EDC	Lemieux-Dudon; Monin
721	282.2	EDC	Lemieux-Dudon; Monin
817	280.1	EDC	Lemieux-Dudon; Monin
922	278.4	EDC	Lemieux-Dudon; Monin
1004	276.6	EDC	Lemieux-Dudon; Monin
1094	279.1	EDC	Lemieux-Dudon; Monin
1185	277.7	EDC	Lemieux-Dudon; Monin
1259	278.7	EDC	Lemieux-Dudon; Monin
1366	277.4	EDC	Lemieux-Dudon; Monin
1476	279.2	EDC	Lemieux-Dudon; Monin
1570	280.0	EDC	Lemieux-Dudon; Monin
1648	278.9	EDC	Lemieux-Dudon; Monin
1750	278.7	EDC	Lemieux-Dudon; Monin
1824	278.0	EDC	Lemieux-Dudon; Monin
1941	276.9	EDC	Lemieux-Dudon; Monin
2058	276.7	EDC	Lemieux-Dudon; Monin
2136	276.7	EDC	Lemieux-Dudon; Monin
2213	277.6	EDC	Lemieux-Dudon; Monin
2338	277.9	EDC	Lemieux-Dudon; Monin
2444	273.9	EDC	Lemieux-Dudon; Monin
2547	278.9	EDC	Lemieux-Dudon; Monin
2623	275.3	EDC	Lemieux-Dudon; Monin
2740	274.7	EDC	Lemieux-Dudon; Monin
2814	276.3	EDC	Lemieux-Dudon; Monin
2906	274.6	EDC	Lemieux-Dudon; Monin
3068	276.3	EDC	Lemieux-Dudon; Monin
3124	273.1	EDC	Lemieux-Dudon; Monin
3217	274.0	EDC	Lemieux-Dudon; Monin
3343	275.0	EDC	Lemieux-Dudon; Monin
3473	273.4	EDC	Lemieux-Dudon; Monin
3552	273.0	EDC	Lemieux-Dudon; Monin
3644	271.5	EDC	Lemieux-Dudon; Monin
3743	275.4	EDC	Lemieux-Dudon; Monin
3822	274.9	EDC	Lemieux-Dudon; Monin
3943	271.7	EDC	Lemieux-Dudon; Monin
4039	271.6	EDC	Lemieux-Dudon; Monin
4140	272.8	EDC	Lemieux-Dudon; Monin
4197	271.5	EDC	Lemieux-Dudon; Monin
4361	271.1	EDC	Lemieux-Dudon; Monin
4416	269.1	EDC	Lemieux-Dudon; Monin
4517	269.8	EDC	Lemieux-Dudon; Monin
4615	271.5	EDC	Lemieux-Dudon; Monin
4760	270.7	EDC	Lemieux-Dudon; Monin
4814	269.3	EDC	Lemieux-Dudon; Monin
4917	268.6	EDC	Lemieux-Dudon; Monin
5060	269.8	EDC	Lemieux-Dudon; Monin
5136	267.6	EDC	Lemieux-Dudon; Monin
5217	265.3	EDC	Lemieux-Dudon; Monin
5344	265.2	EDC	Lemieux-Dudon; Monin
5432	267.6	EDC	Lemieux-Dudon; Monin
5554	265.9	EDC	Lemieux-Dudon; Monin
5646	265.5	EDC	Lemieux-Dudon; Monin
5741	260.7	EDC	Lemieux-Dudon; Monin
5790	266.7	EDC	Lemieux-Dudon; Monin
5927	265.5	EDC	Lemieux-Dudon; Monin
6067	263.2	EDC	Lemieux-Dudon; Monin
6105	262.7	EDC	Lemieux-Dudon; Monin
6202	261.2	EDC	Lemieux-Dudon; Monin
6337	261.1	EDC	Lemieux-Dudon; Monin
6417	259.4	EDC	Lemieux-Dudon; Monin
6499	262.1	EDC	Lemieux-Dudon; Monin
6613	262.9	EDC	Lemieux-Dudon; Monin
6688	258.1	EDC	Lemieux-Dudon; Monin
6766	257.6	EDC	Lemieux-Dudon; Monin
6895	262.3	EDC	Lemieux-Dudon; Monin
6994	263.0	EDC	Lemieux-Dudon; Monin
7087	260.7	EDC	Lemieux-Dudon; Monin
7176	258.4	EDC	Lemieux-Dudon; Monin
7297	260.1	EDC	Lemieux-Dudon; Monin
7396	260.4	EDC	Lemieux-Dudon; Monin
7486	259.7	EDC	Lemieux-Dudon; Monin
7581	259.2	EDC	Lemieux-Dudon; Monin
7675	260.8	EDC	Lemieux-Dudon; Monin
7780	259.6	EDC	Lemieux-Dudon; Monin
7873	259.3	EDC	Lemieux-Dudon; Monin
