Percentile	Sample_Name	PercentSnow	Age_yr
0.025	C2-Boulder1	0	14240
0.159	C2-Boulder1	0	14495
0.5	C2-Boulder1	0	14784
0.841	C2-Boulder1	0	15098
0.975	C2-Boulder1	0	15420
0.025	C2-Boulder2	0	13132
0.159	C2-Boulder2	0	13500
0.5	C2-Boulder2	0	13899
0.841	C2-Boulder2	0	14318
0.975	C2-Boulder2	0	14741
0.025	LoLy-11-08	0	13646
0.159	LoLy-11-08	0	14037
0.5	LoLy-11-08	0	14452
0.841	LoLy-11-08	0	14876
0.975	LoLy-11-08	0	15295
0.025	LyCy-1	0	10550
0.159	LyCy-1	0	11012
0.5	LyCy-1	0	11500
0.841	LyCy-1	0	11992
0.975	LyCy-1	0	12470
0.025	LyCy-3	0	13485
0.159	LyCy-3	0	14078
0.5	LyCy-3	0	14695
0.841	LyCy-3	0	15315
0.975	LyCy-3	0	15914
0.025	LyCy-4	0	12132
0.159	LyCy-4	0	12816
0.5	LyCy-4	0	13528
0.841	LyCy-4	0	14244
0.975	LyCy-4	0	14937
0.025	LyCy-5	0	14000
0.159	LyCy-5	0	14465
0.5	LyCy-5	0	14952
0.841	LyCy-5	0	15443
0.975	LyCy-5	0	15919
0.025	TM14-01	0	13465
0.159	TM14-01	0	13735
0.5	TM14-01	0	14019
0.841	TM14-01	0	14308
0.975	TM14-01	0	14591
0.025	TM14-02	0	13131
0.159	TM14-02	0	13419
0.5	TM14-02	0	13724
0.841	TM14-02	0	14036
0.975	TM14-02	0	14340
0.025	TM14-03	0	14011
0.159	TM14-03	0	14340
0.5	TM14-03	0	14686
0.841	TM14-03	0	15035
0.975	TM14-03	0	15376
0.025	TM14-04	0	12665
0.159	TM14-04	0	12922
0.5	TM14-04	0	13187
0.841	TM14-04	0	13445
0.975	TM14-04	0	13690
0.025	TM14-05	0	12265
0.159	TM14-05	0	12610
0.5	TM14-05	0	12972
0.841	TM14-05	0	13335
0.975	TM14-05	0	13683
0.025	TM14-06	0	13276
0.159	TM14-06	0	13572
0.5	TM14-06	0	13893
0.841	TM14-06	0	14232
0.975	TM14-06	0	14575
0.025	TM14-07	0	14986
0.159	TM14-07	0	15293
0.5	TM14-07	0	15632
0.841	TM14-07	0	15996
0.975	TM14-07	0	16370
0.025	TM14-11	0	12401
0.159	TM14-11	0	12703
0.5	TM14-11	0	13035
0.841	TM14-11	0	13380
0.975	TM14-11	0	13718
0.025	TM14-12	0	14590
0.159	TM14-12	0	14881
0.5	TM14-12	0	15195
0.841	TM14-12	0	15519
0.975	TM14-12	0	15840
0.025	TM14-13	0	20025
0.159	TM14-13	0	20519
0.5	TM14-13	0	21057
0.841	TM14-13	0	21628
0.975	TM14-13	0	22219
0.025	TM14-15	0	13878
0.159	TM14-15	0	14115
0.5	TM14-15	0	14366
0.841	TM14-15	0	14623
0.975	TM14-15	0	14878
0.025	TM14-16	0	12331
0.159	TM14-16	0	12607
0.5	TM14-16	0	12902
0.841	TM14-16	0	13208
0.975	TM14-16	0	13513
0.025	TM14-17	0	13534
0.159	TM14-17	0	13783
0.5	TM14-17	0	14046
0.841	TM14-17	0	14317
0.975	TM14-17	0	14588
0.025	TM14-18	0	14311
0.159	TM14-18	0	14565
0.5	TM14-18	0	14834
0.841	TM14-18	0	15111
0.975	TM14-18	0	15386
0.025	UpLy-12-10	0	12470
0.159	UpLy-12-10	0	12761
0.5	UpLy-12-10	0	13086
0.841	UpLy-12-10	0	13409
0.975	UpLy-12-10	0	13714
0.025	C2-Boulder1	10	14244
0.159	C2-Boulder1	10	14504
0.5	C2-Boulder1	10	14796
0.841	C2-Boulder1	10	15104
0.975	C2-Boulder1	10	15399
0.025	C2-Boulder2	10	13133
0.159	C2-Boulder2	10	13504
0.5	C2-Boulder2	10	13905
0.841	C2-Boulder2	10	14328
0.975	C2-Boulder2	10	14757
0.025	LoLy-11-08	10	13627
0.159	LoLy-11-08	10	14020
0.5	LoLy-11-08	10	14437
0.841	LoLy-11-08	10	14864
0.975	LoLy-11-08	10	15284
0.025	LyCy-1	10	10748
0.159	LyCy-1	10	11230
0.5	LyCy-1	10	11736
0.841	LyCy-1	10	12249
0.975	LyCy-1	10	12748
0.025	LyCy-3	10	13753
0.159	LyCy-3	10	14359
0.5	LyCy-3	10	14990
0.841	LyCy-3	10	15624
0.975	LyCy-3	10	16237
0.025	LyCy-4	10	12381
0.159	LyCy-4	10	13082
0.5	LyCy-4	10	13813
0.841	LyCy-4	10	14550
0.975	LyCy-4	10	15265
0.025	LyCy-5	10	14237
0.159	LyCy-5	10	14710
0.5	LyCy-5	10	15203
0.841	LyCy-5	10	15699
0.975	LyCy-5	10	16179
0.025	TM14-01	10	13463
0.159	TM14-01	10	13733
0.5	TM14-01	10	14017
0.841	TM14-01	10	14308
0.975	TM14-01	10	14595
0.025	TM14-02	10	13122
0.159	TM14-02	10	13403
0.5	TM14-02	10	13703
0.841	TM14-02	10	14014
0.975	TM14-02	10	14320
0.025	TM14-03	10	14012
0.159	TM14-03	10	14344
0.5	TM14-03	10	14692
