Percentile	Sample_Name	PercentSnow	Age_yr
0.025	C2-Boulder1	0	14240
0.159	C2-Boulder1	0	14495
0.5	C2-Boulder1	0	14784
0.841	C2-Boulder1	0	15098
0.975	C2-Boulder1	0	15420
0.025	C2-Boulder2	0	13132
0.159	C2-Boulder2	0	13500
0.5	C2-Boulder2	0	13899
0.841	C2-Boulder2	0	14318
0.975	C2-Boulder2	0	14741
0.025	LoLy-11-08	0	13646
0.159	LoLy-11-08	0	14037
0.5	LoLy-11-08	0	14452
0.841	LoLy-11-08	0	14876
0.975	LoLy-11-08	0	15295
0.025	LyCy-1	0	10550
0.159	LyCy-1	0	11012
0.5	LyCy-1	0	11500
0.841	LyCy-1	0	11992
0.975	LyCy-1	0	12470
0.025	LyCy-3	0	13485
0.159	LyCy-3	0	14078
0.5	LyCy-3	0	14695
0.841	LyCy-3	0	15315
0.975	LyCy-3	0	15914
0.025	LyCy-4	0	12132
0.159	LyCy-4	0	12816
0.5	LyCy-4	0	13528
0.841	LyCy-4	0	14244
0.975	LyCy-4	0	14937
0.025	LyCy-5	0	14000
0.159	LyCy-5	0	14465
0.5	LyCy-5	0	14952
0.841	LyCy-5	0	15443
0.975	LyCy-5	0	15919
0.025	TM14-01	0	13465
0.159	TM14-01	0	13735
0.5	TM14-01	0	14019
0.841	TM14-01	0	14308
0.975	TM14-01	0	14591
0.025	TM14-02	0	13131
0.159	TM14-02	0	13419
0.5	TM14-02	0	13724
0.841	TM14-02	0	14036
0.975	TM14-02	0	14340
0.025	TM14-03	0	14011
0.159	TM14-03	0	14340
0.5	TM14-03	0	14686
0.841	TM14-03	0	15035
0.975	TM14-03	0	15376
0.025	TM14-04	0	12665
0.159	TM14-04	0	12922
0.5	TM14-04	0	13187
0.841	TM14-04	0	13445
0.975	TM14-04	0	13690
0.025	TM14-05	0	12265
0.159	TM14-05	0	12610
0.5	TM14-05	0	12972
0.841	TM14-05	0	13335
0.975	TM14-05	0	13683
0.025	TM14-06	0	13276
0.159	TM14-06	0	13572
0.5	TM14-06	0	13893
0.841	TM14-06	0	14232
0.975	TM14-06	0	14575
0.025	TM14-07	0	14986
0.159	TM14-07	0	15293
0.5	TM14-07	0	15632
0.841	TM14-07	0	15996
0.975	TM14-07	0	16370
0.025	TM14-11	0	12401
0.159	TM14-11	0	12703
0.5	TM14-11	0	13035
0.841	TM14-11	0	13380
0.975	TM14-11	0	13718
0.025	TM14-12	0	14590
0.159	TM14-12	0	14881
0.5	TM14-12	0	15195
0.841	TM14-12	0	15519
0.975	TM14-12	0	15840
0.025	TM14-13	0	20025
0.159	TM14-13	0	20519
0.5	TM14-13	0	21057
0.841	TM14-13	0	21628
0.975	TM14-13	0	22219
0.025	TM14-15	0	13878
0.159	TM14-15	0	14115
0.5	TM14-15	0	14366
0.841	TM14-15	0	14623
0.975	TM14-15	0	14878
0.025	TM14-16	0	12331
0.159	TM14-16	0	12607
0.5	TM14-16	0	12902
0.841	TM14-16	0	13208
0.975	TM14-16	0	13513
0.025	TM14-17	0	13534
0.159	TM14-17	0	13783
0.5	TM14-17	0	14046
0.841	TM14-17	0	14317
0.975	TM14-17	0	14588
0.025	TM14-18	0	14311
0.159	TM14-18	0	14565
0.5	TM14-18	0	14834
0.841	TM14-18	0	15111
0.975	TM14-18	0	15386
0.025	UpLy-12-10	0	12470
0.159	UpLy-12-10	0	12761
0.5	UpLy-12-10	0	13086
0.841	UpLy-12-10	0	13409
0.975	UpLy-12-10	0	13714
0.025	C2-Boulder1	100	14474
0.159	C2-Boulder1	100	14791
0.5	C2-Boulder1	100	15133
0.841	C2-Boulder1	100	15478
0.975	C2-Boulder1	100	15826
0.025	C2-Boulder2	100	14441
0.159	C2-Boulder2	100	14892
0.5	C2-Boulder2	100	15371
0.841	C2-Boulder2	100	15883
0.975	C2-Boulder2	100	16434
0.025	LoLy-11-08	100	13644
0.159	LoLy-11-08	100	14042
0.5	LoLy-11-08	100	14465
0.841	LoLy-11-08	100	14898
0.975	LoLy-11-08	100	15329
0.025	LyCy-1	100	13036
0.159	LyCy-1	100	13684
0.5	LyCy-1	100	14376
0.841	LyCy-1	100	15088
0.975	LyCy-1	100	15797
0.025	LyCy-3	100	15908
0.159	LyCy-3	100	16676
0.5	LyCy-3	100	17492
0.841	LyCy-3	100	18331
0.975	LyCy-3	100	19168
0.025	LyCy-4	100	14331
0.159	LyCy-4	100	15186
0.5	LyCy-4	100	16093
0.841	LyCy-4	100	17023
0.975	LyCy-4	100	17945
0.025	LyCy-5	100	16155
0.159	LyCy-5	100	16769
0.5	LyCy-5	100	17431
0.841	LyCy-5	100	18118
0.975	LyCy-5	100	18806
0.025	TM14-01	100	14975
0.159	TM14-01	100	15370
0.5	TM14-01	100	15796
0.841	TM14-01	100	16265
0.975	TM14-01	100	16772
0.025	TM14-02	100	13673
0.159	TM14-02	100	14037
0.5	TM14-02	100	14417
0.841	TM14-02	100	14798
0.975	TM14-02	100	15171
0.025	TM14-03	100	14026
0.159	TM14-03	100	14359
0.5	TM14-03	100	14710
