Date	SWE_Inches
1939-04-01	11.6
1940-04-01	27.2
1941-04-01	60
1942-04-01	32.7
1943-04-01	26.7
1944-04-01	26.3
1945-04-01	32.4
1946-04-01	21.9
1947-04-01	9.1
1948-04-01	14.4
1949-04-01	30.5
1950-04-01	19.4
1951-04-01	5
1953-02-01	21.5
1953-04-01	17.3
1954-02-01	13.2
1954-04-01	25.4
1955-02-01	15.2
1955-04-01	12.7
1956-02-01	34.6
1956-04-01	20.5
1957-02-01	11.4
1957-04-01	14.6
1958-02-01	13.7
1959-02-01	7
1959-04-01	13.7
1960-02-01	7.6
1960-04-01	10.6
1961-02-01	7.1
1961-03-01	4.6
1961-04-01	7.5
1962-02-01	12.7
1962-04-01	46.4
1963-04-01	11
1964-02-01	7.9
1964-04-01	6.9
1965-02-01	26.6
1965-04-01	21.7
1966-04-01	11.7
1966-05-01	0
1967-05-01	42.3
1967-06-01	
1968-04-01	13.1
1968-05-01	0
1969-04-01	64.7
1969-05-01	45.6
1970-04-01	14
1970-05-01	5
1971-04-01	17.2
1971-05-01	4.6
1972-04-01	6.9
1972-05-01	2.1
1973-04-01	40.3
1973-05-01	19.9
1974-04-01	25.8
1974-05-01	18.9
1975-04-01	34.5
1975-05-01	33.3
1976-03-01	6.1
1976-04-01	3.5
1976-05-01	0.7
1977-03-01	3.8
1977-04-01	3
1977-05-01	0.1
1978-03-01	49
1978-04-01	70
1978-05-01	70.4
1979-03-01	24.6
1979-04-01	25.9
1979-05-01	12.8
1980-03-01	0
1980-04-01	38.9
1980-05-01	28.3
1981-03-01	13.4
1981-04-01	18.8
1981-05-01	2.4
1982-03-01	27.2
1982-04-01	31.3
1982-05-01	26
1983-03-01	0
1983-04-01	79.4
1983-05-01	75.5
1984-03-01	17.7
1984-04-01	6.8
1984-05-01	1.1
1985-03-01	15.8
1985-04-01	19.4
1985-05-01	0
1986-03-01	55.9
1986-04-01	48.5
1986-05-01	18.2
1987-03-01	9.2
1987-04-01	11.5
1987-05-01	0.2
1988-03-01	14.3
1988-04-01	3.7
1988-05-01	1.2
1989-03-01	13.3
1989-04-01	12.5
1989-05-01	0.4
1990-01-01	
1990-02-01	
1990-03-01	16.3
1990-04-01	10.6
1990-05-01	0
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	3.1
1991-04-01	21.2
1991-05-01	4.9
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	19.1
1992-04-01	16.9
1992-05-01	0.8
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	58.2
1993-04-01	60.7
1993-05-01	33.3
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	17
1994-04-01	9.2
1994-05-01	2.5
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	34.3
1995-04-01	53.7
1995-05-01	49
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	24.2
1996-04-01	27.1
1996-05-01	7.5
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	23.7
1997-04-01	27
1997-05-01	5.1
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	41.4
1998-04-01	46.6
1998-05-01	50.6
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	23.3
1999-04-01	19.1
1999-05-01	9.1
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	43.2
2000-04-01	32.4
2000-05-01	7.4
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	21.2
2001-04-01	23.7
2001-05-01	10.7
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	20.2
2002-04-01	16.4
2002-05-01	3.2
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	14.2
2003-04-01	9
2003-05-01	7.2
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	27
2004-04-01	16.4
2004-05-01	2.1
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	44.6
2005-04-01	48.7
2005-05-01	39.4
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	23.3
2006-04-01	36.5
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	12.5
2007-04-01	6.7
2007-05-01	0
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	32
2008-04-01	27.1
2008-05-01	3.5
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
