Date	SWE_Inches
1961-04-01	10.8
1965-02-01	27.5
1965-03-01	23.7
1965-04-01	20.6
1965-05-01	
1966-02-01	17.5
1966-03-01	19.1
1966-04-01	11
1967-02-01	17.9
1967-03-01	15.5
1967-04-01	22.3
1967-05-01	
1968-02-01	12.7
1968-03-01	12.4
1968-04-01	13.6
1968-05-01	
1969-02-01	23.8
1969-03-01	46.1
1969-04-01	53
1969-05-01	
1970-02-01	12.4
1970-03-01	15
1970-04-01	11
1970-05-01	
1971-02-01	24.7
1971-03-01	25
1971-04-01	18.1
1971-05-01	
1972-02-01	20.6
1972-03-01	21.4
1972-04-01	5.1
1972-05-01	
1973-02-01	20.8
1973-03-01	34.7
1973-04-01	36
1973-05-01	
1974-02-01	15.8
1974-03-01	18
1974-04-01	22.1
1974-05-01	
1975-02-01	11
1975-03-01	27.7
1975-04-01	37.4
1975-05-01	
1976-02-01	1.4
1976-03-01	5
1976-04-01	4.4
1976-05-01	
1977-02-01	4
1977-03-01	4.6
1977-04-01	5.4
1977-05-01	
1978-02-01	27.8
1978-03-01	41.8
1978-04-01	42.5
1978-05-01	40.3
1979-01-01	0
1979-02-01	14.4
1979-03-01	27.4
1979-04-01	28.7
1979-05-01	23.1
1980-02-01	15.6
1980-03-01	28.5
1980-04-01	31
1980-05-01	20.2
1981-02-01	14.5
1981-03-01	15
1981-04-01	20.9
1981-05-01	9.3
1982-02-01	17.8
1982-03-01	13.6
1982-04-01	28.6
1982-05-01	11.5
1983-02-01	32.5
1983-03-01	43.3
1983-04-01	61.2
1983-05-01	63.9
1983-06-01	
1984-02-01	12.4
1984-03-01	16.7
1984-04-01	10.3
1984-05-01	0.6
1985-02-01	13.4
1985-03-01	16
1985-04-01	22.2
1985-05-01	0.9
1986-03-01	31.7
1986-04-01	26.2
1986-05-01	4.8
1987-02-01	6.4
1987-03-01	12.1
1987-04-01	14.5
1987-05-01	0
1988-02-01	15.4
1988-03-01	11.9
1988-04-01	2.5
1988-05-01	0
1989-02-01	16
1989-03-01	18.5
1989-04-01	15.6
1989-05-01	0
1990-01-01	
1990-02-01	7.9
1990-03-01	13.9
1990-04-01	8.7
1990-05-01	0
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	4.5
1991-03-01	2.5
1991-04-01	22.4
1991-05-01	10.2
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	8
1992-03-01	17.2
1992-04-01	16.5
1992-05-01	0
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	34.8
1993-03-01	45.4
1993-04-01	44
1993-05-01	24.1
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	7.9
1994-03-01	18.6
1994-04-01	10.3
1994-05-01	3.3
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	33.3
1995-03-01	31
1995-04-01	41.7
1995-05-01	36.4
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	18
1996-03-01	25.9
1996-04-01	27.9
1996-05-01	10.9
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	28.2
1997-03-01	29.4
1997-04-01	18.4
1997-05-01	0.5
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	20.9
1998-03-01	43.6
1998-04-01	43.6
1998-05-01	38.8
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	29.1
1999-03-01	29.1
1999-04-01	28.1
1999-05-01	22
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	9.6
2000-03-01	27.6
2000-04-01	26.2
2000-05-01	6.8
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	13.3
2001-03-01	19.4
2001-04-01	18.4
2001-05-01	13.8
2001-06-01	
2002-01-01	
2002-02-01	17.8
2002-03-01	17.9
2002-04-01	20.8
2002-05-01	6
2002-06-01	
2003-01-01	
2003-02-01	15.8
2003-03-01	18.1
2003-04-01	15.4
2003-05-01	18.2
2003-06-01	
2004-01-01	
2004-02-01	20.8
2004-03-01	43.9
2004-04-01	20.3
2004-05-01	0.8
2004-06-01	
2005-01-01	
2005-02-01	35.2
2005-03-01	40.8
2005-04-01	61.6
2005-05-01	39.6
2005-06-01	
2006-01-01	
2006-02-01	16
2006-03-01	17
2006-04-01	29.1
2006-05-01	26.1
2006-06-01	
2007-01-01	
2007-02-01	8.7
2007-03-01	19.3
2007-04-01	12
2007-05-01	4.9
2007-06-01	
2008-01-01	
2008-02-01	22.4
2008-03-01	31.8
2008-04-01	27.2
2008-05-01	9.5
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
