Date	SWE_Inches
1930-04-01	25.8
1930-05-01	
1930-06-01	
1931-04-01	16.8
1931-05-01	
1932-04-01	50.3
1933-05-01	
1934-03-01	
1934-04-01	23.4
1935-02-01	
1935-04-01	34.1
1935-05-01	44.5
1936-02-01	
1936-03-01	
1936-04-01	41.4
1936-05-01	35.3
1936-06-01	
1937-02-01	
1937-03-01	
1937-04-01	52.1
1937-05-01	52.6
1938-02-01	
1938-03-01	
1938-04-01	58.1
1938-05-01	64.5
1938-06-01	
1939-02-01	
1939-03-01	
1939-04-01	22.2
1939-05-01	12.2
1940-03-01	
1940-04-01	47.4
1940-05-01	49
1941-02-01	
1941-03-01	
1941-04-01	56
1941-05-01	62.7
1942-02-01	
1942-03-01	
1942-04-01	45.6
1942-05-01	48
1943-02-01	
1943-03-01	
1943-04-01	49.5
1943-05-01	50.9
1944-02-01	
1944-03-01	
1944-04-01	30
1944-05-01	32.1
1945-02-01	
1945-03-01	
1945-04-01	50.2
1945-05-01	50
1945-06-01	
1946-02-01	
1946-03-01	
1946-04-01	39.7
1946-05-01	45
1946-06-01	
1947-02-01	23.9
1947-03-01	27.9
1947-04-01	31.2
1947-05-01	27.5
1947-06-01	
1948-02-01	5.8
1948-03-01	10.2
1948-04-01	22.9
1948-05-01	34.2
1948-06-01	
1949-02-01	15.3
1949-03-01	25.5
1949-04-01	37.8
1949-05-01	44
1949-06-01	
1950-02-01	24.2
1950-03-01	31.8
1950-04-01	38.7
1950-05-01	44.4
1950-06-01	
1951-01-01	
1951-02-01	17.8
1951-03-01	22.8
1951-04-01	24
1951-05-01	17
1952-01-01	
1952-02-01	49.7
1952-03-01	55
1952-04-01	65.9
1952-05-01	64.5
1952-06-01	
1953-02-01	24.2
1953-03-01	24.6
1953-04-01	27.4
1953-05-01	22.5
1953-06-01	
1954-01-01	
1954-02-01	15
1954-03-01	25.7
1954-04-01	38.8
1954-05-01	45.9
1954-06-01	
1955-01-01	
1955-02-01	22.3
1955-03-01	27.1
1955-04-01	28.6
1955-05-01	30.5
1955-06-01	
1956-01-01	
1956-02-01	51.4
1956-03-01	48.9
1956-04-01	47.9
1956-05-01	47.2
1957-01-01	
1957-02-01	12.4
1957-03-01	23.3
1957-04-01	28.7
1957-05-01	29.3
1958-02-01	21.3
1958-03-01	35.9
1958-04-01	53.5
1958-05-01	47.5
1958-06-01	
1959-02-01	10.2
1959-03-01	27.2
1959-04-01	26.2
1959-05-01	14.2
1960-02-01	9.8
1960-03-01	22.5
1960-04-01	27.2
1960-05-01	16.9
1961-02-01	14.6
1961-03-01	15
1961-04-01	20.5
1961-05-01	13.3
1962-02-01	16
1962-03-01	39.9
1962-04-01	49.8
1962-05-01	38.8
1963-02-01	8.3
1963-03-01	17.4
1963-04-01	27.8
1963-05-01	39.8
1964-02-01	16.6
1964-03-01	16.2
1964-04-01	22.5
1964-05-01	19
1964-06-01	
1965-01-01	
1965-02-01	33.2
1965-03-01	35.5
1965-04-01	36.4
1965-05-01	35.2
1965-06-01	
1966-01-01	
1966-02-01	32.2
1966-03-01	30.1
1966-04-01	31
1966-05-01	20.7
1967-02-01	39
1967-03-01	40.9
1967-04-01	54.7
1967-05-01	68
1967-06-01	
1968-02-01	17.5
1968-03-01	20.8
1968-04-01	20.8
1968-05-01	15.4
1969-02-01	56.4
1969-03-01	78.5
1969-04-01	81.9
1969-05-01	83.9
1969-06-01	
1970-02-01	26.3
1970-03-01	31.7
1970-04-01	31.5
1970-05-01	33.6
1970-06-01	
1971-01-01	
1971-02-01	30.2
1971-03-01	31.5
1971-04-01	34.9
1971-05-01	31.2
1972-01-01	
1972-02-01	25.1
1972-03-01	26.6
1972-04-01	21.4
1972-05-01	21.2
1973-01-01	
1973-02-01	28.3
1973-03-01	45.6
1973-04-01	47.3
1973-05-01	41.3
1973-06-01	
1974-02-01	28.6
1974-03-01	30
1974-04-01	44.5
1974-05-01	44.4
1974-06-01	
1975-02-01	14.1
1975-03-01	27.7
1975-04-01	39.6
1975-05-01	45.2
1975-06-01	
1976-02-01	3
1976-03-01	8.8
1976-04-01	13
1976-05-01	10.1
1976-06-01	
1977-02-01	3.9
1977-03-01	9.4
1977-04-01	11.6
1978-01-01	22.8
1978-02-01	41.6
1978-03-01	
1978-04-01	69.9
1978-06-01	
1979-02-01	18.7
1979-03-01	32.8
1979-04-01	38.4
1979-05-01	35.8
1980-02-01	32.3
1980-03-01	50.7
1980-04-01	57.6
1980-05-01	55
1981-02-01	17.1
1981-03-01	19.9
1981-04-01	29.7
1982-01-01	
1982-02-01	36.8
1982-03-01	40.7
1982-04-01	54.5
1982-06-01	
1983-01-01	31.1
1983-02-01	43.5
1983-03-01	58.5
1983-04-01	77.1
1983-05-01	78.4
1984-02-01	29.5
1984-03-01	35.4
1984-04-01	36.8
1984-05-01	32.9
1985-01-01	17.8
1985-02-01	19.8
1985-03-01	23.5
1985-04-01	36.5
1985-05-01	23.9
1986-02-01	24.8
1986-03-01	54.4
1986-04-01	64.5
1987-02-01	6.2
1987-03-01	15.8
1987-04-01	21.2
1987-05-01	6.6
1988-02-01	23.2
1988-03-01	23.3
1988-04-01	20
1988-05-01	17
1989-02-01	17.2
1989-03-01	21.4
1989-04-01	28.9
1989-05-01	17.8
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	19.5
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	34.9
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	26.4
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	55.3
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	20.5
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	68.4
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	38.9
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	43.8
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	59.4
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	30.1
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	39.7
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
