Date	SWE_Inches
1937-04-01	41
1938-04-01	51.6
1939-04-01	20.5
1940-04-01	26.7
1941-04-01	40.2
1942-04-01	34.4
1943-04-01	24.7
1944-04-01	26.3
1945-04-01	29.2
1946-04-01	31.4
1947-04-01	10.4
1948-02-01	0
1948-03-01	6.2
1948-04-01	19.2
1948-05-01	21.3
1949-02-01	18
1949-03-01	28.4
1949-04-01	40.5
1950-03-01	26.3
1950-04-01	27
1951-03-01	15.6
1951-04-01	11.6
1952-03-01	52.6
1952-04-01	67.1
1953-03-01	24.8
1953-04-01	26.6
1954-03-01	24.6
1954-04-01	34.4
1955-02-01	15.6
1955-03-01	18.2
1955-04-01	14.5
1956-02-01	30.7
1956-03-01	32.9
1956-04-01	26.6
1957-02-01	13.4
1957-03-01	19
1957-04-01	21.9
1958-02-01	14.9
1958-03-01	25.4
1958-04-01	48.2
1959-02-01	8.8
1959-03-01	21.2
1959-04-01	13.6
1960-02-01	11.4
1960-03-01	19.4
1960-04-01	14.1
1961-02-01	4.6
1961-04-01	7.2
1962-02-01	13
1962-03-01	40.2
1962-04-01	44
1963-03-01	0
1963-04-01	8.8
1964-02-01	15.2
1964-03-01	12.8
1964-04-01	15.3
1965-02-01	32.4
1965-03-01	32
1965-04-01	32.1
1966-02-01	20.1
1966-03-01	22.9
1966-04-01	11.1
1967-02-01	19
1967-03-01	19.4
1967-04-01	28.7
1968-02-01	14
1968-03-01	17
1968-04-01	19.4
1969-03-01	50.9
1969-04-01	58.7
1969-05-01	47.6
1970-04-01	12.2
1971-04-01	25.6
1972-04-01	6.1
1973-04-01	42.2
1974-04-01	27.6
1975-04-01	41
1976-04-01	5.9
1978-04-01	49.7
1979-04-01	29.8
1980-04-01	37.2
1981-04-01	20.4
1982-01-01	0
1982-02-01	0
1982-04-01	30.5
1983-04-01	61.1
1984-04-01	11.5
1985-04-01	31.1
1986-04-01	30
1987-01-01	0
1987-04-01	11.3
1988-02-01	15.3
1988-04-01	1.9
1988-05-01	0
1989-02-01	16.4
1989-03-01	17.8
1989-04-01	19.7
1989-05-01	2.3
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	8.5
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	23.9
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	16.8
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	41.8
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	12.8
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	24.1
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	19.4
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	43.9
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	26
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	19
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
