Date	SWE_Inches
1950-04-01	24.6
1951-04-01	26.8
1952-05-01	54.2
1953-02-01	18.3
1953-04-01	18.6
1954-02-01	11.8
1954-04-01	32.7
1955-02-01	17.5
1955-04-01	24.3
1956-02-01	42.8
1956-04-01	46.7
1957-02-01	8.4
1957-03-01	18.1
1957-04-01	22.8
1958-02-01	13.9
1958-03-01	23.8
1958-04-01	35
1959-02-01	9.5
1959-03-01	20.2
1959-04-01	20.3
1960-03-01	14.5
1960-04-01	17.5
1961-02-01	10.3
1961-04-01	14.8
1962-02-01	11.4
1962-04-01	39.5
1963-03-01	20.2
1963-04-01	28.5
1964-02-01	12.4
1964-03-01	11.7
1964-04-01	15.9
1965-02-01	26.9
1965-03-01	31.9
1965-04-01	33.4
1966-02-01	21.1
1966-03-01	22.6
1966-04-01	24
1967-03-01	41.8
1967-04-01	53.6
1967-05-01	59.7
1968-03-01	17.7
1968-04-01	16.8
1969-03-01	61.3
1969-04-01	65.8
1969-05-01	66.8
1969-06-01	
1970-03-01	24.4
1970-04-01	28.1
1971-02-01	27.2
1971-03-01	26.9
1971-04-01	28.8
1972-03-01	17
1972-04-01	15.7
1973-03-01	27.1
1973-04-01	35.5
1974-04-01	42.7
1974-05-01	47.4
1975-02-01	6.6
1975-03-01	12.8
1975-04-01	23.2
1975-05-01	32.1
1976-02-01	0.5
1976-03-01	5.9
1976-04-01	10.8
1976-05-01	13.3
1977-02-01	4
1977-03-01	7.3
1977-04-01	9.2
1978-02-01	27.9
1978-03-01	
1978-04-01	48.5
1979-02-01	16
1979-03-01	27.8
1979-04-01	35.6
1980-01-01	0
1980-02-01	27.4
1980-03-01	42.7
1980-04-01	50.7
1981-03-01	14.2
1982-02-01	29.5
1982-03-01	35.9
1982-04-01	
1983-01-01	0
1983-02-01	0
1983-03-01	55.3
1983-04-01	63
1984-02-01	25
1984-03-01	31.6
1984-04-01	34.3
1985-02-01	18.7
1985-03-01	22.8
1985-04-01	29.9
1986-02-01	20.3
1986-03-01	47.1
1986-04-01	51.3
1987-02-01	3.3
1987-03-01	11.1
1987-04-01	15.8
1988-02-01	20.2
1988-03-01	20.9
1988-04-01	20.2
1989-02-01	15.8
1989-03-01	15.9
1989-04-01	20.6
1990-01-01	
1990-02-01	8.8
1990-03-01	13.8
1990-04-01	17.4
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	1.3
1991-03-01	3.6
1991-04-01	22.1
1991-05-01	23.4
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	9.4
1992-03-01	15.5
1992-04-01	19.7
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	31.9
1993-03-01	45.6
1993-04-01	49.9
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	6.3
1994-03-01	14.3
1994-04-01	17.2
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	31.6
1995-03-01	33.5
1995-04-01	52.1
1995-05-01	48.4
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	14.1
1996-03-01	27.8
1996-04-01	35.4
1996-05-01	35.1
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	47.1
1997-03-01	
1997-04-01	
1997-05-01	41.9
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	38.5
1998-04-01	
1998-05-01	46.4
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	9.3
1999-03-01	18.8
1999-04-01	16.8
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	11.9
2000-03-01	34.2
2000-04-01	27.1
2000-05-01	30.6
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	5.8
2001-03-01	31.4
2001-04-01	18.1
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	21.6
2002-03-01	23
2002-04-01	26.6
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	17.6
2003-03-01	22.3
2003-04-01	
2003-05-01	27.2
2003-06-01	
2004-01-01	
2004-02-01	16.6
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	29.7
2005-03-01	35.7
2005-04-01	37
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	41.1
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	12.6
2007-04-01	
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	19.2
2008-03-01	28.2
2008-04-01	
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
