Depth_cm	Original_Age_yrBP	Original_230Th_Normalized_Flux_gcm2ka	MarineCal13Age	MarineCal13_230Th_Normalized_Flux_gcm2ka
0.5	1050	0.40	725	0.58
100.5	3011	0.47	2748	0.45
200.5	4992	0.54	4771	0.53
300.5	6972	0.71	6794	0.69
400.5	8954	0.72	8816	0.71
500.5	10934	0.68	10839	0.67
600.5	12915	1.07	12862	1.05
610.5	13099	0.86	13064	0.78
620.5	13285	0.74	13267	0.68
630.5	13470	0.84	13469	0.77
640.5	13654	0.91	13671	0.83
650.5	13840	0.96	13874	0.88
660.5	14025	0.95	14076	0.87
670.5	14210	0.87	14278	0.79
680.5	14394	0.85	14480	0.78
690.5	14579	0.73	14683	0.67
700.5	14764	0.94	14885	0.86
720.5	15134	0.70	15290	0.64
740.5	15504	0.56	15704	0.50
760.5	16229	0.27	16583	0.22
780.5	20182	0.15	20664	0.14
800.5	22182	0.14	24745	0.07
820.5	24182	0.16	28826	0.08
840.5	26182	0.17	32907	0.08
860.5	28182	0.18	36988	0.09
880.5	30182	0.19	41069	0.09
900.5	32182	0.14	45150	0.07
920.5	34182	0.18	49231	0.09
940.5	36182	0.19	53312	0.10
952.5	38182	0.25	55761	0.20
