Depth_cm	Original_Age_yrBP	Original_230Th_Normalized_Flux_gcm2ka	MarineCal13Age	MarineCal13_230Th_Normalized_Flux_gcm2ka
48	1440	1.11	1453	1.10
64	1850	1.34	1858	1.35
122.5	3375	1.42	3407	1.40
148.5	4070	1.40	4096	1.42
199	5420	1.66	5433	1.67
252.5	6830	2.16	6849	2.15
258.5	6960	1.87	6976	1.92
302	7550	2.90	7576	2.86
348	8170	2.18	8209	2.14
453	9540	2.38	9608	2.33
475.5	9630	4.23	9684	5.04
529.5	10230	4.87	10452	3.81
553.5	10640	3.96	10866	3.92
583	11205	4.23	11409	4.40
589	11320	3.71	11520	3.86
616	11830	5.03	12017	5.16
630.5	12110	4.35	12284	4.56
647.5	12300	4.82	12597	2.92
663.5	12730	4.38	12892	6.39
682.5	13100	2.35	13242	2.48
695.5	13300	2.73	13481	2.28
703.5	13500	2.59	13628	3.51
715.5	13730	2.60	13849	2.70
732.5	14050	2.88	14162	2.95
733	14065	2.66	14172	4.33
739	14179	4.48	14282	4.62
744	14476	5.69	14578	5.71
745.5	14600	5.03	14707	4.82
745.5	14600	6.00	14707	5.75
748.5	14863	4.84	14966	4.91
751	15079	6.19	15182	6.20
752	15160	2.95	15268	2.77
757	15596	4.90	15700	4.95
760.5	15900	2.88	16002	2.90
764	16199	2.14	16304	2.12
768	16540	1.36	16649	1.35
772	16888	1.15	16994	1.16
780	17578	0.61	17685	0.61
784	17920	0.65	18030	0.64
796	18900	0.56	19065	0.53
811.5	20290	0.41	20403	0.42
844	23090	0.63	23208	0.63
863	24730	0.74	24847	0.74
884	26540	0.52	26660	0.52
