Sample_Name	Scaling	Latitude_DD	Longitude_DD	Elevation_m	Pressure_hPa	Pressure_or_Elevation	Sample_Thickness_cm	Bulk_Density_gcm3	Shielding_Factor	Erosion_Rate_mmkyr	Conc_10Be	10Be_Standardization	Conc_26Al	26Al_Standardization	Attenuation_Length_gcm2	Depth_to_Top_of_Sample_gcm2	Year_Collected_AD	Latitude_Uncertainty	Longitude_Uncertainty	Elevation_Uncertainty	Pressure_Uncertainty	Thickness_Uncertainty	Density_Uncertainty	Shielding_Uncertainty	Erosion_Rate_Uncertainty	Conc_10Be_Uncertainty	Conc_26Al_Uncertainty	Attenuation_Length_Uncertainty	Depth_to_Top_of_Sample_Uncertainty	Year_Collected_Uncertainty
C2-Boulder1	SA	37.7993	-119.2155	3409		Elevation	3.5	2.780	0.98934	1	600030	07KNSTD	0	None	144.3186	0	2012	2.70E-05	3.39E-05	5.0		0.7	0.030	0.01	1	8020	0	15	0	0
C2-Boulder2	SA	37.7996	-119.2155	3417		Elevation	4.5	2.780	0.99062	1	564290	07KNSTD	0	None	162.4138	0	2012	2.70E-05	3.40E-05	5.0		0.9	0.030	0.01	1	13150	0	15	0	0
UpLy-12-10	SA	37.7990	-119.2160	3400		Elevation	3.0	2.780	0.99130	1	535090	07KNSTD	0	None	152.9453	0	2012	2.60E-05	3.46E-05	5.0		0.6	0.030	0.01	1	8240	0	15	0	0
TM14-01	SA	37.7780	-119.2611	2955		Elevation	2.0	2.780	0.97533	0	432180	07KNSTD	0	None	136.4620	0	2014	2.70E-05	3.37E-05	5.0		0.4	0.030	0.01	0	7210	0	15	0	0
LoLy-11-08	SA	37.8005	-119.2635	2742		Elevation	2.0	2.780	0.96136	1	377210	07KNSTD	0	None	143.0508	0	2011	2.70E-05	3.38E-05	5.0		0.4	0.030	0.01	1	9140	0	15	0	0
TM14-02	SA	37.7913	-119.2622	2751		Elevation	5.0	2.780	0.97027	0	361270	07KNSTD	0	None	162.1859	0	2014	5.50E-05	6.81E-05	5.0		1.0	0.030	0.01	0	6060	0	15	0	0
TM14-03	SA	37.7945	-119.2623	2740		Elevation	4.0	2.780	0.96830	0	385360	07KNSTD	0	None	154.9657	0	2014	4.50E-05	5.71E-05	5.0		0.8	0.030	0.01	0	7810	0	15	0	0
TM14-04	SA	37.7974	-119.2626	2743		Elevation	0.5	2.780	0.96691	0	358220	07KNSTD	0	None	152.4697	0	2014	2.70E-05	3.36E-05	5.0		0.1	0.030	0.01	0	5350	0	15	0	0
TM14-05	SA	37.8010	-119.2634	2740		Elevation	0.5	2.780	0.96491	0	351970	07KNSTD	0	None	154.6653	0	2014	4.40E-05	5.70E-05	5.0		0.1	0.030	0.01	0	8330	0	15	0	0
TM14-06	SA	37.8054	-119.2657	2744		Elevation	0.5	2.780	0.96464	1	370770	07KNSTD	0	None	160.0402	0	2014	2.60E-05	3.46E-05	5.0		0.1	0.030	0.01	1	6350	0	15	0	0
TM14-07	SA	37.8647	-119.3066	2709		Elevation	4.0	2.667	0.99850	1	411860	07KNSTD	0	None	152.1977	0	2014	2.70E-05	3.45E-05	5.0		0.8	0.011	0.01	1	7050	0	15	0	0
TM14-11	SA	37.8802	-119.3929	2672.7		Elevation	2.0	2.667	0.99523	1	341560	07KNSTD	0	None	146.0568	0	2014	2.60E-05	3.38E-05	2.0		0.4	0.011	0.01	1	6690	0	15	0	0
TM14-12	SA	37.8803	-119.3935	2679.8		Elevation	3.0	2.667	0.99949	1	394770	07KNSTD	0	None	152.0743	0	2014	2.70E-05	3.37E-05	2.0		0.6	0.011	0.01	1	6710	0	15	0	0
TM14-13	SA	37.8807	-119.3933	2678.9		Elevation	2.5	2.667	0.98287	1	555020	07KNSTD	0	None	138.1154	0	2014	2.70E-05	3.38E-05	2.0		0.5	0.011	0.01	1	11250	0	15	0	0
TM14-15	SA	37.9007	-119.4005	2638.5		Elevation	2.5	2.780	0.99694	0	367840	07KNSTD	0	None	150.0159	0	2014	2.70E-05	3.35E-05	2.0		0.5	0.030	0.01	0	5740	0	15	0	0
TM14-16	SA	37.8820	-119.3461	2854.4		Elevation	3.0	2.780	0.99540	0	382900	07KNSTD	0	None	146.8097	0	2014	2.70E-05	3.36E-05	2.0		0.6	0.030	0.01	0	7380	0	15	0	0
TM14-17	SA	37.8839	-119.3453	2853.5		Elevation	1.5	2.780	0.99934	0	418720	07KNSTD	0	None	157.5909	0	2014	2.80E-05	3.36E-05	2.0		0.3	0.030	0.01	0	7290	0	15	0	0
TM14-18	SA	37.8841	-119.3452	2858.6		Elevation	2.0	2.780	0.99421	0	440290	07KNSTD	0	None	144.6238	0	2014	2.60E-05	3.46E-05	2.0		0.4	0.030	0.01	0	7210	0	15	0	0
BpCR97-8	SA	37	118	2481		Elevation	4.0	2.7	0.9900	1	0	07KNSTD	0	None	168.0	0	1997	5.00E-01	5.00E-01	10.0		0.8	0.05	0.01	1	0	0	15	0	0
BpCR97-9	SA	37.2548	118.5712	2451		Elevation	3.0	2.65	0.9293	1	0	07KNSTD	0	None	145.0	0	1997	5.00E-05	5.00E-05	10.0		0.6	0.05	0.01	1	0	0	15	0	0
BpCR97-13	SA	37.2547	118.5756	2414		Elevation	2.0	2.65	0.9899	1	0	07KNSTD	0	None	170.0	0	1997	5.00E-05	5.00E-05	10.0		0.4	0.05	0.01	1	0	0	15	0	0
BpCR97-14	SA	37.25345	118.5714	2481		Elevation	1.0	2.65	0.9899	1	0	07KNSTD	0	None	171.0	0	1997	5.00E-05	5.00E-05	10.0		0.2	0.05	0.01	1	0	0	15	0	0
BpCR97-15	SA	37.2573	118.5767	2384		Elevation	1.5	2.75	0.9899	1	0	07KNSTD	0	None	168.0	0	1997	5.00E-05	5.00E-05	10.0		0.3	0.05	0.01	1	0	0	15	0	0
BPCR91-11(1)	SA	37.251	118.578	2460		Elevation	3.0	2.85	0.9900	1	0	07KNSTD	0	None	168.0	0	1991	5.00E-04	5.00E-04	10.0		0.6	0.05	0.01	1	0	0	15	0	0
BPCR91-11(2)	SA	37.251	118.578	2460		Elevation	3.0	2.85	0.9900	1	0	07KNSTD	0	None	168.0	0	1991	5.00E-04	5.00E-04	10.0		0.6	0.05	0.01	1	0	0	15	0	0
BpCr95B-6(99)	SA	37.25	118.59	2755		Elevation	1.5	2.65	0.9684	1	0	07KNSTD	0	None	163.0	0	1995	5.00E-03	5.00E-03	10.0		0.3	0.05	0.01	1	0	0	15	0	0
BPCR96-1	SA	37.2116	118.5996	2688		Elevation	2.0	2.7	0.9600	1	0	07KNSTD	0	None	174.0	0	1996	5.00E-05	5.00E-05	10.0		0.4	0.05	0.01	1	0	0	15	0	0
BpCr96-16	SA	37.2148	118.6098	2786		Elevation	2.0	2.7	0.9348	1	0	07KNSTD	0	None	163.0	0	1996	5.00E-05	5.00E-05	10.0		0.4	0.05	0.01	1	0	0	15	0	0
BpCr96-17	SA	37.2148	118.6098	2786		Elevation	4.0	2.7	0.9468	1	0	07KNSTD	0	None	173.0	0	1996	5.00E-05	5.00E-05	10.0		0.8	0.05	0.01	1	0	0	15	0	0
BpCr95-3(99)	SA	37.17	118.57	3011		Elevation	2.0	2.7	0.9681	1	0	07KNSTD	0	None	170.0	0	1995	5.00E-03	5.00E-03	10.0		0.4	0.05	0.01	1	0	0	15	0	0
BPCR96-10	SA	37.1877	118.6201	3163		Elevation	3.0	2.8	0.9785	1	0	07KNSTD	0	None	166.0	0	1996	5.00E-05	5.00E-05	10.0		0.6	0.05	0.01	1	0	0	15	0	0
BPCR96-11	SA	37.1877	118.6201	3163		Elevation	2.0	2.9	0.9792	1	0	07KNSTD	0	None	172.0	0	1996	5.00E-05	5.00E-05	10.0		0.4	0.05	0.01	1	0	0	15	0	0
BpCr95B-1(99)	SA	37.23	118.61	3047		Elevation	2.5	2.65	0.9897	1	0	07KNSTD	0	None	167.0	0	1995	5.00E-03	5.00E-03	10.0		0.5	0.05	0.01	1	0	0	15	0	0
BpCR97-3	SA	37	118	3274		Elevation	4.0	2.65	0.8866	1	0	07KNSTD	0	None	141.0	0	1997	5.00E-01	5.00E-01	10.0		0.8	0.05	0.01	1	0	0	15	0	0
BpCR97-4	SA	37	118	3274		Elevation	4.0	2.65	0.9121	1	0	07KNSTD	0	None	145.0	0	1997	5.00E-01	5.00E-01	10.0		0.8	0.05	0.01	1	0	0	15	0	0
BpCR97-2	SA	37.235	118.6666	3341		Elevation	4.0	2.65	0.9512	1	0	07KNSTD	0	None	175.0	0	1997	5.00E-04	5.00E-04	10.0		0.8	0.05	0.01	1	0	0	15	0	0
BpCR97-1a	SA	37.235	118.6666	3341		Elevation	1.0	2.65	0.9479	1	0	07KNSTD	0	None	175.0	0	1997	5.00E-04	5.00E-04	10.0		0.2	0.05	0.01	1	0	0	15	0	0
BpCR97-1b	SA	37.235	118.6666	3341		Elevation	3.5	2.65	0.9271	1	0	07KNSTD	0	None	148.0	0	1997	5.00E-04	5.00E-04	10.0		0.7	0.05	0.01	1	0	0	15	0	0
BpCr96-21	SA	37.2398	118.6829	3487		Elevation	2.5	2.7	0.9775	1	0	07KNSTD	0	None	153.0	0	1996	5.00E-05	5.00E-05	10.0		0.5	0.05	0.01	1	0	0	15	0	0
BpCr96-22	SA	37.2392	118.6832	3487		Elevation	2.5	2.65	0.9898	1	0	07KNSTD	0	None	168.0	0	1996	5.00E-05	5.00E-05	10.0		0.5	0.05	0.01	1	0	0	15	0	0
BpCr95-2(99)	SA	37.15	118.57	3502		Elevation	4.0	2.6	0.9176	1	0	07KNSTD	0	None	176.0	0	1995	5.00E-03	5.00E-03	10.0		0.8	0.05	0.01	1	0	0	15	0	0
HB97-1	SA	37.2694	118.7125	3481		Elevation	2.0	2.75	0.9897	1	0	07KNSTD	0	None	158.0	0	1997	5.00E-05	5.00E-05	10.0		0.4	0.05	0.01	1	0	0	15	0	0
HB97-2	SA	37.2677	118.7135	3487		Elevation	1.5	2.75	0.9897	1	0	07KNSTD	0	None	159.0	0	1997	5.00E-05	5.00E-05	10.0		0.3	0.05	0.01	1	0	0	15	0	0
HB97-3	SA	37.2677	118.7135	3487		Elevation	2.0	2.75	1.0000	1	0	07KNSTD	0	None	170.0	0	1997	5.00E-05	5.00E-05	10.0		0.4	0.05	0.01	1	0	0	15	0	0
HB97-4	SA	37.2692	118.6954	3636		Elevation	1.5	2.75	0.9583	1	0	07KNSTD	0	None	144.0	0	1997	5.00E-05	5.00E-05	10.0		0.3	0.05	0.01	1	0	0	15	0	0
HB97-5	SA	37.2626	118.6823	3597		Elevation	1.5	2.75	0.9677	1	0	07KNSTD	0	None	165.0	0	1997	5.00E-05	5.00E-05	10.0		0.3	0.05	0.01	1	0	0	15	0	0
