Sample_Name	Scaling	Latitude_DD	Longitude_DD	Elevation_m	Pressure_hPa	Pressure_or_Elevation	Sample_Thickness_cm	Bulk_Density_gcm3	Shielding_Factor	Erosion_Rate_mmkyr	Conc_10Be	10Be_Standardization	Conc_26Al	26Al_Standardization	Attenuation_Length_gcm2	Depth_to_Top_of_Sample_gcm2	Year_Collected_AD	Latitude_Uncertainty	Longitude_Uncertainty	Elevation_Uncertainty	Pressure_Uncertainty	Thickness_Uncertainty	Density_Uncertainty	Shielding_Uncertainty	Erosion_Rate_Uncertainty	Conc_10Be_Uncertainty	Conc_26Al_Uncertainty	Attenuation_Length_Uncertainty	Depth_to_Top_of_Sample_Uncertainty	Year_Collected_Uncertainty
C2-Boulder1	SA	37.7993	-119.2155	3409		Elevation	3.5	2.780	0.98934	1	600030	07KNSTD	0	None	144.3186	0	2012	2.70E-05	3.39E-05	5.0		0.7	0.030	0.01	1	8020	0	15	0	0
C2-Boulder2	SA	37.7996	-119.2155	3417		Elevation	4.5	2.780	0.99062	1	564290	07KNSTD	0	None	162.4138	0	2012	2.70E-05	3.40E-05	5.0		0.9	0.030	0.01	1	13150	0	15	0	0
UpLy-12-10	SA	37.7990	-119.2160	3400		Elevation	3.0	2.780	0.99130	1	535090	07KNSTD	0	None	152.9453	0	2012	2.60E-05	3.46E-05	5.0		0.6	0.030	0.01	1	8240	0	15	0	0
TM14-01	SA	37.7780	-119.2611	2955		Elevation	2.0	2.780	0.97533	0	432180	07KNSTD	0	None	136.4620	0	2014	2.70E-05	3.37E-05	5.0		0.4	0.030	0.01	0	7210	0	15	0	0
LoLy-11-08	SA	37.8005	-119.2635	2742		Elevation	2.0	2.780	0.96136	1	377210	07KNSTD	0	None	143.0508	0	2011	2.70E-05	3.38E-05	5.0		0.4	0.030	0.01	1	9140	0	15	0	0
TM14-02	SA	37.7913	-119.2622	2751		Elevation	5.0	2.780	0.97027	0	361270	07KNSTD	0	None	162.1859	0	2014	5.50E-05	6.81E-05	5.0		1.0	0.030	0.01	0	6060	0	15	0	0
TM14-03	SA	37.7945	-119.2623	2740		Elevation	4.0	2.780	0.96830	0	385360	07KNSTD	0	None	154.9657	0	2014	4.50E-05	5.71E-05	5.0		0.8	0.030	0.01	0	7810	0	15	0	0
TM14-04	SA	37.7974	-119.2626	2743		Elevation	0.5	2.780	0.96691	0	358220	07KNSTD	0	None	152.4697	0	2014	2.70E-05	3.36E-05	5.0		0.1	0.030	0.01	0	5350	0	15	0	0
TM14-05	SA	37.8010	-119.2634	2740		Elevation	0.5	2.780	0.96491	0	351970	07KNSTD	0	None	154.6653	0	2014	4.40E-05	5.70E-05	5.0		0.1	0.030	0.01	0	8330	0	15	0	0
TM14-06	SA	37.8054	-119.2657	2744		Elevation	0.5	2.780	0.96464	1	370770	07KNSTD	0	None	160.0402	0	2014	2.60E-05	3.46E-05	5.0		0.1	0.030	0.01	1	6350	0	15	0	0
TM14-07	SA	37.8647	-119.3066	2709		Elevation	4.0	2.667	0.99850	1	411860	07KNSTD	0	None	152.1977	0	2014	2.70E-05	3.45E-05	5.0		0.8	0.011	0.01	1	7050	0	15	0	0
TM14-11	SA	37.8802	-119.3929	2672.7		Elevation	2.0	2.667	0.99523	1	341560	07KNSTD	0	None	146.0568	0	2014	2.60E-05	3.38E-05	2.0		0.4	0.011	0.01	1	6690	0	15	0	0
TM14-12	SA	37.8803	-119.3935	2679.8		Elevation	3.0	2.667	0.99949	1	394770	07KNSTD	0	None	152.0743	0	2014	2.70E-05	3.37E-05	2.0		0.6	0.011	0.01	1	6710	0	15	0	0
TM14-13	SA	37.8807	-119.3933	2678.9		Elevation	2.5	2.667	0.98287	1	555020	07KNSTD	0	None	138.1154	0	2014	2.70E-05	3.38E-05	2.0		0.5	0.011	0.01	1	11250	0	15	0	0
TM14-15	SA	37.9007	-119.4005	2638.5		Elevation	2.5	2.780	0.99694	0	367840	07KNSTD	0	None	150.0159	0	2014	2.70E-05	3.35E-05	2.0		0.5	0.030	0.01	0	5740	0	15	0	0
TM14-16	SA	37.8820	-119.3461	2854.4		Elevation	3.0	2.780	0.99540	0	382900	07KNSTD	0	None	146.8097	0	2014	2.70E-05	3.36E-05	2.0		0.6	0.030	0.01	0	7380	0	15	0	0
TM14-17	SA	37.8839	-119.3453	2853.5		Elevation	1.5	2.780	0.99934	0	418720	07KNSTD	0	None	157.5909	0	2014	2.80E-05	3.36E-05	2.0		0.3	0.030	0.01	0	7290	0	15	0	0
TM14-18	SA	37.8841	-119.3452	2858.6		Elevation	2.0	2.780	0.99421	0	440290	07KNSTD	0	None	144.6238	0	2014	2.60E-05	3.46E-05	2.0		0.4	0.030	0.01	0	7210	0	15	0	0
