Years_B1950	Depth_cm	SST_Gradient_UKminusTEX
7030.7	43.5	5.09
7060.9	48.5	7.13
7121.3	58.5	5.89
7151.5	63.5	6.55
7181.7	68.5	5.98
7242.1	78.5	7.23
7272.2	83.5	5.83
7302.4	88.5	8.51
7332.6	93.5	5.07
7393	103.5	6.13
7423.2	108.5	8.35
7453.4	113.5	8.09
7483.6	118.5	7.62
7513.8	123.5	5.54
7544	128.5	7.26
7574.2	133.5	7
7634.5	143.5	6.33
7719.1	157.5	8.37
7749.3	162.5	5.88
7779.5	167.5	7.9
7809.7	172.5	5.26
7870	182.5	5.53
7900.2	187.5	7.68
7930.4	192.5	4.66
7960.6	197.5	6.03
8021	207.5	6.93
8051.2	212.5	5.48
8141.8	227.5	8.18
8172	232.5	5.88
8202.2	237.5	8.18
8240.7	242.5	5.26
8371.8	259.5	3.43
8549.1	279.5	4.96
8766.4	304.5	5.56
8929	324.5	4.85
9098.9	344.5	4.75
9200.1	358.5	4.98
9349.9	384.5	4.88
9527.2	404.5	4.25
9704.6	424.5	4.17
9873.1	492.5	4.62
9952.4	502.5	4.44
10111	522.5	4.79
10248.9	547.5	5.46
10277	552.5	3.63
10310.6	558.5	3
10361.1	567.5	2.89
10392.5	573.5	4.31
10413.5	577.5	4.2
10441.9	582.5	3.8
10470.2	587.5	4.4
10555.3	602.5	2.35
10578	606.5	7.14
10640.5	617.5	5.52
10697.2	627.5	7.04
10748.6	637.5	7.33
10850.4	960.5	6.28
10918.5	972.5	8.23
10946.9	977.5	5.68
10975.2	982.5	7.54
11032	992.5	6.87
11088.7	1002.5	6.19
11117.1	1007.5	3.65
11145.5	1012.5	5.9
11173.8	1017.5	5.33
11202.2	1022.5	6.99
11259	1032.5	6.88
11309	1039.5	5.54
11330.5	1042.5	8.24
11438.2	1053.5	6.7
11475.7	1057.5	6.56
11522.6	1062.5	6.58
11616.3	1072.5	7.78
11663.1	1077.5	6.04
11710	1082.5	7.39
11756.8	1087.5	5.98
11850.6	1097.5	8.12
11897.4	1102.5	9.11
11991.1	1112.5	6.3
12084.8	1122.5	7.02
12178.5	1132.5	7.54
12272.2	1142.5	5.74
12365.9	1152.5	7.52
12412.8	1157.5	5.84
12459.6	1162.5	7.24
12506.5	1167.5	7.61
12553.4	1172.5	7.07
12581.5	1175.5	7.65
12600.2	1177.5	7.97
12693.9	1187.5	7.04
