Years_B1950	Depth_cm	Opal_percent
6789.2	3.5	44.7
6816.3	8	47.9
6840.5	12	35.2
6870.7	17	32.3
6900.9	22	30.4
6931.1	27	38.8
6961.3	32	36.7
6991.5	37	28.3
7021.7	42	28.2
7051.8	47	31.7
7082	52	38.4
7112.2	57	33.9
7142.4	62	34.5
7172.6	67	33.6
7202.8	72	39
7233	77	38.9
7263.2	82	30.3
7293.4	87	27.3
7323.6	92	33.6
7353.8	97	25
7384	102	29
7414.1	107	39.3
7444.3	112	30.2
7474.5	117	42
7504.7	122	43.5
7534.9	127	14.3
7565.1	132	39.3
7595.3	137	37.9
7625.5	142	33.9
7654.2	146.75	34.3
7682.9	151.5	31.4
7713	156.5	31.7
7743.2	161.5	33.7
7773.4	166.5	42
7803.6	171.5	37.1
7833.8	176.5	23
7864	181.5	36.8
7894.2	186.5	37
7924.4	191.5	38.8
7954.6	196.5	36
7984.8	201.5	39.7
8015	206.5	30.6
8045.2	211.5	31.8
8075.3	216.5	34.3
8105.5	221.5	24.4
8135.7	226.5	42.4
8165.9	231.5	41
8196.1	236.5	36.4
8226.3	241.5	35.4
8256.5	246.5	38.1
8300.8	251.5	39.5
8345.2	256.5	34.2
8374	259.75	30.1
8398.4	262.5	37.8
8478.2	271.5	42.8
8522.5	276.5	43.5
8566.9	281.5	38.8
8611.2	286.5	42.1
8655.5	291.5	34.7
8702.1	296.75	29.5
8739.8	301.5	40.1
8784.1	306.5	44.4
8839.5	312.75	33.2
8872.8	316.5	37.3
8919.3	321.75	40.1
8961.5	326.5	34.9
9005.8	331.5	28.9
9050.1	336.5	37.5
9081.2	342	41.5
9123.7	348	39.7
9161.4	352.25	24.3
9190.2	355.5	30.9
9247.9	373	35.3
9278.9	376.5	34.1
9323.3	381.5	38
9367.6	386.5	34.8
9411.9	391.5	29.3
9456.3	396.5	28
9500.6	401.5	30.5
9536.1	405.5	28.5
9589.3	411.5	36.3
9633.6	416.5	29.7
9678	421.5	25
9713.4	425.5	25.3
9766.6	431.5	30.9
9875.3	493.75	26
9917.4	498.5	32.6
9944	501.5	25.6
9988.3	506.5	28.4
10032.7	511.5	22.1
10077	516.5	24.3
10105.4	521.5	25.4
10133.7	526.5	31.8
10156.4	530.5	26.5
10186.5	536.5	24.8
10214.9	541.5	30
10243.3	546.5	22.3
10271.6	551.5	21.5
10305.7	557.5	24.7
10328.4	561.5	21.6
10353.9	566	25.6
10385.1	572.5	26.4
10407.8	576.5	24.9
10436.2	581.5	23.6
10464.6	586.5	32.7
10492.9	591.5	42.4
10521.3	596.5	30.5
10549.7	601.5	29.1
10606.4	611.5	25.8
10634.8	616.5	33.3
10657.5	620.5	30.2
10691.5	626.5	24.6
10719.9	631.5	30.6
10748.3	636.5	17
10844.7	959.5	37.7
10884.5	966.5	24.7
10912.8	971.5	36.4
10941.2	976.5	31.1
