Years_B1950	Depth_cm	TEXH86	SST_C	BIT_index	Branched_GDGT_conc_ppm
6825.4	9.5	0.51	17.9	0.015761758	0.676482211
6879.7	18.5	0.52	18.44	0.02322427	0.122152013
6940.1	28.5	0.512	17.99	0.026718538	0.107390448
7030.7	43.5	0.504	17.56		
7030.7	43.5	0.507	17.72		
7060.9	48.5	0.515	18.16	0.024687177	0.109450927
7091.1	53.5	0.535	19.27	0.020858988	0.954904943
7121.3	58.5	0.528	18.87	0.029982784	0.873614751
7151.5	63.5	0.5	17.34	0.023242016	1.013835674
7181.7	68.5	0.559	20.66	0.014541971	1.2318726
7242.1	78.5	0.496	17.1	0.025669581	0.006214716
7272.2	83.5	0.503	17.5		
7302.4	88.5	0.553	20.27	0.019490176	1.120756851
7332.6	93.5	0.489	16.68		
7332.6	93.5	0.489	16.68		
7393	103.5	0.484	16.44		
7393	103.5	0.493	16.93		
7423.2	108.5	0.562	20.83	0.022154441	2.171681674
7453.4	113.5	0.51	17.88	0.024351709	1.093211269
7483.6	118.5	0.516	18.2	0.025631018	0.915190727
7513.8	123.5	0.472	15.76		
7574.2	133.5	0.532	19.14	0.013563057	0.813422651
7634.5	143.5	0.523	18.62	0.027930325	0.866069767
7719.1	157.5	0.524	18.69	0.034665622	0.047140028
7749.3	162.5	0.502	17.44		
7749.3	162.5	0.488	16.62		
7779.5	167.5	0.506	17.67	0.0287724	0.017380078
7809.7	172.5	0.491	16.79		
7870	182.5	0.479	16.12		
7900.2	187.5	0.521	18.49	0.027675313	0.805548932
7930.4	192.5	0.504	17.55		
7960.6	197.5	0.528	18.89	0.023891194	0.545757784
8021	207.5	0.504	17.56	0.029396999	1.031370709
8051.2	212.5	0.478	16.08		
8141.8	227.5	0.528	18.9	0.014910896	2.466549703
8172	232.5	0.52	18.46		
8202.2	237.5	0.454	14.71	0.025271705	0.076462821
8240.7	242.5	0.491	16.84		
8371.8	259.5	0.489	16.72	0.020516021	0.626313842
8549.1	279.5	0.508	17.77	0.027715522	0.3643199
8766.4	304.5	0.514	18.11	0.013409076	0.553360094
8929	324.5	0.51	17.9		
8953.4	327.5	0.438	13.83	0.029182711	0.255056708
9098.9	344.5	0.49	16.78	0.017046815	0.572888051
