Years_B1950	Depth_cm	UK37	SST_C
6825.4	9.5	0.9	25.95
6849.6	13.5	0.828	23.75
6879.7	18.5	0.92	26.55
6909.9	23.5	0.815	23.35
6940.1	28.5	0.909	26.22
6970.3	33.5	0.778	22.23
7000.5	38.5	0.895	25.78
7030.7	43.5	0.819	23.48
7060.9	48.5	0.883	25.44
7121.3	58.5	0.847	24.34
7151.5	63.5	0.866	24.91
7181.7	68.5	0.844	24.24
7211.9	73.5	0.773	22.1
7242.1	78.5	0.879	25.31
7272.2	83.5	0.825	23.67
7302.4	88.5	0.92	26.55
7332.6	93.5	0.808	23.16
7393	103.5	0.805	23.06
7423.2	108.5	0.874	25.17
7453.4	113.5	0.872	25.1
7483.6	118.5	0.864	24.84
7513.8	123.5	0.798	22.85
7544	128.5	0.854	24.54
7574.2	133.5	0.835	23.97
7604.4	138.5	0.901	25.98
7634.5	143.5	0.809	23.19
7661.7	148	0.808	23.14
7688.9	152.5	0.776	22.19
7719.1	157.5	0.87	25.02
7749.3	162.5	0.796	22.8
7779.5	167.5	0.888	25.59
7809.7	172.5	0.798	22.84
7839.9	177.5	0.834	23.93
7870	182.5	0.798	22.85
7900.2	187.5	0.874	25.14
7930.4	192.5	0.78	22.31
7960.6	197.5	0.816	23.38
8021	207.5	0.846	24.29
8051.2	212.5	0.8	22.9
8081.4	217.5	0.927	26.77
8141.8	227.5	0.887	25.53
8172	232.5	0.811	23.25
8202.2	237.5	0.885	25.47
8240.7	242.5	0.789	22.59
8371.8	259.5	0.721	20.53
8442.7	267.5	0.739	21.05
8549.1	279.5	0.765	21.85
8766.4	304.5	0.794	22.72
8929	324.5	0.768	21.94
9098.9	344.5	0.76	21.71
9200.1	358.5	0.77	21.99
9349.9	384.5	0.761	21.72
9527.2	404.5	0.745	21.26
9704.6	424.5	0.76	21.7
9873.1	492.5	0.78	22.29
9952.4	502.5	0.772	22.07
10111	522.5	0.783	22.38
10248.9	547.5	0.814	23.32
10277	552.5	0.759	21.66
10310.6	558.5	0.745	21.23
10333.1	562.5	0.749	21.35
10361.1	567.5	0.739	21.06
10392.5	573.5	0.796	22.8
10413.5	577.5	0.79	22.6
10441.9	582.5	0.774	22.14
10470.2	587.5	0.792	22.68
10470.2	587.5	0.73	20.79
10498.6	592.5	0.72	20.5
10555.3	602.5	0.726	20.67
10578	606.5	0.839	24.09
10612.1	612.5	0.715	20.33
10640.5	617.5	0.791	22.63
10663.2	621.5	0.711	20.2
10697.2	627.5	0.836	24.01
10663.2	632.5	0.764	21.82
10748.6	637.5	0.846	24.31
10850.4	960.5	0.803	23.01
10890.1	967.5	0.776	22.19
10918.5	972.5	0.867	24.93
10946.9	977.5	0.782	22.36
10975.2	982.5	0.846	24.3
11003.6	987.5	0.757	21.62
11032	992.5	0.867	24.95
11060.4	997.5	0.769	21.97
11088.7	1002.5	0.832	23.87
11117.1	1007.5	0.749	21.38
11145.5	1012.5	0.823	23.61
11173.8	1017.5	0.801	22.94
11202.2	1022.5	0.855	24.58
11230.6	1027.5	0.805	23.07
11253.3	1031.5	0.795	22.76
11259	1032.5	0.846	24.31
11309	1039.5	0.795	22.77
11330.5	1042.5	0.878	25.27
11379.5	1047.5	0.756	21.56
11438.2	1053.5	0.821	23.53
11475.7	1057.5	0.799	22.89
11522.6	1062.5	0.799	22.88
11569.4	1067.5	0.761	21.74
11616.3	1072.5	0.825	23.68
11663.1	1077.5	0.765	21.84
11710	1082.5	0.809	23.19
11756.8	1087.5	0.761	21.73
11850.6	1097.5	0.838	24.05
11897.4	1102.5	0.867	24.93
11944.3	1107.5	0.789	22.58
11991.1	1112.5	0.814	23.33
12038	1117.5	0.791	22.64
12084.8	1122.5	0.841	24.15
12131.7	1127.5	0.766	21.87
12178.5	1132.5	0.854	24.55
12225.4	1137.5	0.762	21.77
12272.2	1142.5	0.804	23.02
12319.1	1147.5	0.797	22.83
12365.9	1152.5	0.86	24.72
12412.8	1157.5	0.807	23.12
12459.6	1162.5	0.837	24.02
12506.5	1167.5	0.826	23.7
12553.4	1172.5	0.81	23.23
12581.5	1175.5	0.826	23.69
12600.2	1177.5	0.836	24.01
12647.1	1182.5	0.716	20.36
12693.9	1187.5	0.8	22.92
12740.8	1192.5	0.841	24.14
