depth_mm	Years_B1950	McLean.d13C	McLean.d18O
12.1	10971.3	-10.57	-9.03
12.57	11007.1	-10.42	-9.8
13.04	11043.3	-9.65	-9.27
13.51	11080.1	-9.99	-9.95
14.47	11156.3	-10.23	-9.47
14.94	11194.1	-10.56	-9.37
15.41	11232.3	-10.54	-8.87
15.88	11270.8	-10.8	-9.67
16.35	11309.5	-9.91	-8.93
16.82	11348.4	-10.09	-9.42
17.29	11387.5	-9.58	-9.46
17.76	11426.8	-10.81	-9.41
18.23	11466.2	-10.24	-9.79
18.7	11505.6	-10.29	-9.28
19.17	11545.1	-10.3	-8.83
19.64	11584.7	-10.34	-9.31
20.11	11624.2	-10.49	-9.04
20.58	11663.6	-9.61	-8.61
21.05	11703	-9.31	-8.38
21.52	11742.3	-9.79	-8.6
21.99	11781.4	-9.18	-8.91
22.95	11860.8	-9.31	-9.27
23.42	11899.3	-9.2	-9.9
24.38	11977	-8.52	-9.41
24.85	12014.5	-8.37	-8.93
25.32	12051.7	-8.41	-9.26
25.79	12088.5	-9.09	-9.23
26.26	12124.8	-8.6	-9.17
26.73	12160.6	-9.16	-8.78
27.2	12196	-8.27	-8.46
27.67	12230.7	-9.29	-8.57
28.14	12265	-9.86	-8.68
28.61	12298.6	-9.21	-8.78
29.57	12365.2	-8.61	-8.86
30.04	12396.8	-8.64	-8.85
31	12458.9	-9.62	-9.01
31.47	12488.1	-8.89	-9.06
31.94	12516.5	-8.37	-9.13
32.41	12544	-7.57	-9.03
32.88	12570.7	-7.43	-8.63
33.48	12603.5	-7.52	-9.27
34.44	12653.1	-7.86	-9.1
34.91	12676.3	-8.35	-9.21
35.38	12698.7	-7.95	-9.39
35.85	12720.3	-7.83	-8.67
36.32	12741.2	-8.75	-9.47
36.79	12761.5	-9.21	-10.04
37.26	12781	-8.45	-9.82
37.73	12799.9	-9.87	-9.62
38.2	12818.2	-9.26	-9.93
38.67	12835.9	-8.76	-9.47
39.14	12853	-9.25	-9.59
39.61	12869.5	-8.89	-10.42
40.08	12885.5	-9.29	-10.08
40.55	12900.9	-9.1	-9.47
41.02	12915.9	-9.35	-9.39
41.49	12930.3	-9.62	-9.35
41.96	12944.3	-9.57	-9.34
42.43	12957.9	-9.42	-9.49
42.9	12971	-9.42	-8.53
43.37	12983.8	-9.95	-9.8
43.84	12996.1	-10.16	-9.04
44.54	13013.9	-8.94	-8.86
44.81	13020.6	-8.63	-8.71
45.08	13027.1	-9.3	-8.92
45.35	13033.6	-8.67	-8.77
45.62	13039.9	-8.6	-8.65
45.89	13046.2	-8.58	-8.64
46.16	13052.4	-8.41	-8.42
46.43	13058.5	-8.31	-8.18
46.7	13064.5	-8.35	-8.36
46.97	13070.4	-8.63	-8.51
47.24	13076.3	-8.44	-8.22
47.51	13082.1	-8.34	-8.18
47.78	13087.8	-8.28	-8.19
48.32	13099.1	-8.74	-9.2
48.59	13104.7	-8.42	-8.72
48.86	13110.2	-8.77	-8.93
49.13	13115.7	-9.16	-9.09
49.4	13121.2	-8.98	-9.02
49.67	13126.6	-9.46	-9.45
49.94	13132	-9.26	-8.82
50.21	13137.3	-8.45	-8.78
50.48	13142.6	-7.53	-8.87
50.75	13148	-8.31	-9.07
51.02	13153.2	-9.15	-9.56
51.29	13158.5	-9.02	-9.19
51.56	13163.8	-8.09	-9.05
51.83	13169.1	-8.17	-8.95
52.1	13174.3	-8.77	-8.98
52.37	13179.6	-9.57	-9.48
52.64	13184.9	-9.81	-8.97
52.91	13190.2	-7.53	-8.34
53.18	13195.5	-8.63	-8.93
53.45	13200.8	-7.96	-7.39
53.72	13206.1	-7.42	-8.56
53.99	13211.4	-9.2	-9.1
54.26	13216.7	-10.2	-9.21
54.53	13222	-10.65	-9.58
54.8	13227.3	-10.65	-9.57
55.07	13232.6	-10.65	-10.02
55.34	13238	-10.53	-9.72
55.88	13248.6	-10.31	-9.3
56.42	13259.3	-9.66	-9.36
56.69	13264.6	-9.34	-9.28
56.96	13270	-9.28	-8.79
57.23	13275.3	-9.34	-9.03
57.5	13280.7	-9.9	-9.3
57.77	13286.1	-9.97	-9.25
58.04	13291.4	-9.66	-9.58
58.31	13296.8	-9.62	-8.75
58.85	13307.5	-9.6	-8.93
59.39	13318.3	-9.76	-9.2
59.66	13323.7	-9.85	-9.09
59.93	13329.1	-9.79	-9.06
60.2	13334.5	-9.78	-9.24
60.47	13339.9	-9.73	-9.16
60.74	13345.3	-9.94	-8.74
61.01	13350.7	-9.82	-8.68
61.28	13356.1	-10.25	-8.64
61.55	13361.5	-10.3	-8.65
61.82	13366.9	-9.69	-8.79
62.09	13372.3	-9.94	-8.54
62.36	13377.8	-9.99	-8.82
62.63	13383.2	-9.81	-8.69
62.9	13388.6	-10.01	-8.65
63.44	13399.5	-10.24	-8.88
63.71	13404.9	-10.13	-8.99
63.98	13410.4	-9.97	-8.88
64.25	13415.8	-10.01	-8.83
64.52	13421.3	-9.97	-9.02
64.79	13426.7	-9.66	-9.12
65.06	13432.2	-9.56	-9.2
65.33	13437.6	-9.59	-9.32
65.6	13443.1	-9.3	-9.16
65.87	13448.5	-9.15	-8.93
66.14	13454	-8.87	-7.62
66.41	13459.5	-10.24	-9.01
66.68	13464.9	-10.5	-8.66
66.95	13470.4	-10.75	-9.41
67.22	13475.9	-10.52	-9.59
67.49	13481.3	-10.49	-9.48
67.76	13486.8	-10.57	-9.41
68.03	13492.3	-10.76	-9.71
68.3	13497.8	-10.83	-9.62
68.57	13503.3	-11.03	-10.06
68.84	13508.8	-11.21	-10.03
69.11	13514.3	-11.06	-9.75
69.38	13519.7	-11.02	-9.51
69.65	13525.2	-11.01	-9.79
69.92	13530.7	-10.66	-9.96
70.19	13536.2	-10.62	-10.11
70.46	13541.7	-10.56	-10.04
70.73	13547.2	-10.58	-9.65
71	13552.7	-10.49	-9.49
71.27	13558.3	-10.63	-9.7
