Depth_m	Age_yrsB1950	CH4_ppb
1698.035	8891.204	671.48
1700.035	8910.372	679.16
1702.034	8928.999	665.86
1704.033	8946.475	670.25
1706.032	8963.825	654.61
1708.034	8984.444	661.71
1710.036	9003.905	668.53
1712.038	9022.876	667.31
1714.041	9041.677	657.02
1716.042	9060.955	666.22
1718.085	9080.003	682.58
1720.049	9098.774	695.70
1720.049	9098.774	688.02
1720.049	9098.774	682.46
1720.049	9098.774	683.32
1722.052	9118.245	673.73
1724.051	9136.772	672.29
1726.051	9155.123	684.33
1728.053	9174.922	677.19
1730.056	9193.163	661.25
1732.059	9213.244	663.17
1734.062	9235.715	658.59
1736.065	9253.687	654.55
1738.065	9272.936	655.42
1740.066	9291.995	664.59
1742.067	9310.948	665.03
1744.608	9334.64	683.28
1746.069	9348.537	675.70
1748.07	9369.027	666.51
1750.07	9387.597	668.45
1752.073	9407.985	676.28
1754.075	9425.335	687.22
1756.075	9446.598	681.24
1758.071	9466.547	664.89
1760.074	9484.818	682.76
1762.077	9502.924	683.99
1764.076	9523.225	685.84
1766.079	9541.918	699.46
1766.079	9541.918	698.89
1768.082	9560.438	679.81
1770.084	9579.451	680.14
1772.084	9599.474	682.97
1774.087	9617.565	682.44
1776.089	9636.501	686.24
1778.09	9653.205	677.64
1780.09	9673.408	693.06
1782.092	9696.804	690.37
1784.088	9714.524	689.72
1786.089	9732.017	687.06
1788.549	9756.046	683.92
1788.549	9756.046	683.65
1790.091	9771.465	689.56
1792.092	9789.575	678.63
1794.094	9809.694	698.15
1796.09	9828.278	682.59
1798.093	9849.268	689.77
1800.094	9867.918	692.05
1802.097	9886.702	690.36
1804.328	9909.814	680.77
1806.098	9926.99	699.38
1808.603	9952.143	698.32
1810.106	9966.043	707.89
1812.106	9986.996	697.28
1814.11	10007.23	702.35
1818.114	10045.166	693.94
1820.114	10064.078	684.63
1822.079	10083.88	694.17
1824.216	10106.211	714.56
1826.119	10124.806	689.62
1828.121	10146.773	681.28
1830.12	10165.903	698.76
1832.123	10187.429	688.37
1834.128	10207.224	683.27
1836.134	10227.188	672.22
1838.101	10247.521	674.53
1840.138	10267.967	694.95
1842.139	10288.078	705.04
1844.138	10307.634	691.66
1846.14	10329.39	700.53
1848.145	10350.776	703.97
1850.149	10372.388	704.35
1852.153	10390.912	697.70
1854.155	10412.566	710.24
1856.158	10432.874	700.27
1858.162	10452.891	700.45
1860.414	10475.381	708.10
1862.667	10498.422	689.09
1864.166	10513.725	692.77
1868.174	10554.75	703.55
1870.179	10575.967	690.12
1872.183	10596.278	742.98
1876.26	10637.116	689.92
1878.194	10654.884	695.62
1880.196	10675.374	691.13
1882.198	10695.208	691.42
1884.2	10715.428	680.75
1886.206	10736.88	691.58
1888.209	10756.391	704.17
1890.214	10775.684	679.54
1892.215	10796.877	682.83
1896.223	10836.238	672.68
1898.475	10859.694	679.70
1900.227	10875.16	681.91
