Years_B1950	d13C	d18O
8770	-7.48	-6.77
8783	-7.75	-7.14
8810	-8.3	-7.52
8823	-8.51	-7.36
8832	-6.42	-6.32
8836	-7	-6.81
8844	-7.5	-6.9
8849	-7.24	-6.8
8852	-8.64	-7.21
8855	-7.76	-7.23
8857	-7.99	-7.15
8858	-6.01	-5.92
8860	-6.58	-6.26
8865	-8.28	-7.4
8869	-8.61	-7.68
8873	-7.56	-7.02
8875	-8.17	-7.26
8882	-8.1	-6.82
8884	-7.21	-6.91
8889	-6.88	-6.88
8910	-7.17	-6.84
9020	-8.18	-7.1
9146	-8.38	-7.24
9154	-8.6	-7.66
9384	-7.89	-7.65
9551	-7.53	-7.91
9616	-8.64	-8.1
9757	-10.88	-8.15
9771	-10.77	-8.02
9823	-10.94	-8.1
9906	-10.95	-8.13
9946	-10.66	-8.02
10147	-10.96	-8.5
10169	-10.97	-8.25
10291	-10.97	-8.34
10368	-10.92	-8.45
10502	-10.64	-8.48
10572	-10.33	-8.59
10667	-10.3	-8.48
10772	-10.3	-8.41
11612	-10.01	-8.53
12095	-9.95	-8.49
12157	-10.6	-8.75
12165	-10.57	-8.82
12181	-10.57	-8.88
12187	-10.68	-8.88
12227	-10.66	-8.88
12257	-10.94	-8.87
12291	-11.05	-9.06
12346	-11.22	-8.84
12382	-9.29	-8.17
12429	-7.49	-7.84
12461	-8.87	-8.34
12589	-7.99	-8.16
12704	-7.62	-7.82
12892	-7.36	-8.19
12894	-8.23	-8.92
13033	-8.24	-8.66
13063	-8.56	-8.56
13129	-8.8	-8.59
13168	-8.5	-8.74
13188	-8.56	-8.45
13204	-8.68	-8.59
13249	-8.77	-8.67
13327	-8.84	-8.19
13329	-9.22	-8.5
13343	-9.42	-8.63
13365	-9.64	-8.81
13391	-9.56	-9.14
13420	-9.27	-8.97
13460	-7.97	-8.14
13490	-7.64	-8.2
13516	-7.45	-7.75
13554	-7.91	-7.84
13568	-8.16	-8.29
13602	-8.38	-8.32
13628	-8.41	-8.72
13655	-8.69	-8.71
13681	-8.28	-8.45
13691	-6.65	-7.13
13712	-7.04	-7.45
13804	-7.32	-7.86
13861	-7.07	-7.72
14184	-8.95	-8.96
14213	-9.2	-8.6
14272	-6.9	-7.71
14371	-6.49	-8.17
14493	-6.88	-7.69
14672	-6.3	-7.7
14720	-5.92	-7.52
14756	-6.18	-7.53
14813	-6.46	-7.79
14825	-6.8	-7.69
14852	-7.31	-7.69
14856	-7.8	-8.17
14880	-7.8	-7.8
14890	-6.74	-7.65
14910	-8.56	-8.45
14920	-6.01	-7.48
14923	-7.77	-8.12
14934	-5.94	-7.38
14944	-5.83	-7.19
14950	-6.27	-7.51
14963	-6.98	-7.89
14979	-7.73	-8.09
14991	-6.66	-7.35
14996	-6.96	-7.48
15025	-7.26	-7.64
15036	-9.73	-8.9
15075	-6.71	-8.08
15162	-8.5	-8.22
15280	-9.27	-9.3
15380	-9.13	-8.42
15440	-8.96	-8.69
15437	-9.06	-8.42
15510	-9.29	-8.73
15560	-9.24	-8.37
15660	-9.32	-8.62
15730	-8.69	-8.64
15750	-9.1	-9.22
15791	-9.18	-8.97
15810	-8.78	-8.65
15870	-9.22	-8.79
15940	-9.14	-8.62
15970	-9.25	-8.52
16036	-9.26	-8.66
16080	-8.66	-8.42
16200	-8.94	-8.53
16340	-8.67	-8.97
