Date	SWE_Inches
1966-02-01	31.2
1966-03-01	37.7
1966-04-01	36.6
1967-02-01	45.7
1967-03-01	47
1967-04-01	60.6
1967-05-01	78.1
1967-06-01	
1968-02-01	22.8
1968-03-01	31.5
1968-04-01	36.1
1969-03-01	73.9
1969-04-01	83
1969-05-01	78.8
1970-04-01	43.4
1971-04-01	52.5
1972-04-01	35.2
1973-04-01	61.4
1974-04-01	60
1975-04-01	53.4
1976-04-01	18.4
1977-04-01	10.8
1978-04-01	70.3
1979-04-01	46.5
1980-04-01	69.5
1981-04-01	31.7
1982-01-01	0
1982-02-01	0
1982-04-01	77
1983-04-01	87
1983-06-01	
1984-04-01	55.5
1985-04-01	42.5
1986-04-01	73.7
1987-04-01	26.2
1988-04-01	23
1989-03-01	25
1989-04-01	40.3
1989-05-01	36.3
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	28.1
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	26.8
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	28.3
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	66.7
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	28
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	53.1
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	56
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	56.1
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	48.6
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
