NGRIP_depth_m	d18O	DustCount_PERml	Years_B2000
1346.45	-34.47		9527.3
1346.50	-34.77		9527.9
1346.55	-35.14		9529.0
1346.60	-35.18		9529.6
1346.65	-35.41		9530.1
1346.70	-35.74		9530.9
1346.75	-35.37		9531.5
1346.80	-34.64		9532.2
1346.85	-33.61		9533.0
1346.90	-33.50		9533.7
1346.95	-34.65		9534.3
1347.00	-34.98		9534.9
1347.05	-34.99		9535.7
1347.10	-35.38		9536.3
1347.15	-35.29		9536.9
1347.20	-35.12		9537.4
1347.25	-35.54		9538.0
1347.30	-35.84		9538.6
1347.35	-35.31		9539.3
1347.40	-35.17		9540.2
1347.45	-34.72		9541.3
1347.50	-34.22		9542.1
1347.55	-34.44		9542.6
1347.60	-34.74		9543.1
1347.65	-34.81		9543.8
1347.70	-34.07		9544.4
1347.75	-33.61		9545.0
1347.80	-34.87		9545.6
1347.85	-36.51		9546.1
1347.90	-36.95		9546.4
1347.95	-36.26		9546.8
1348.00	-34.69		9547.2
1348.05	-34.06		9547.6
1348.10	-34.21		9548.1
1348.15	-35.02		9548.6
1348.20	-35.99		9549.1
1348.25	-36.01		9549.7
1348.30	-35.75		9550.2
1348.35	-35.66		9550.6
1348.40	-34.63		9551.0
1348.45	-34.02		9551.8
1348.50	-33.64		9552.4
1348.55	-32.88		9552.8
1348.60	-32.15		9553.6
1348.65	-32.17		9554.6
1348.70	-32.37		9555.3
1348.75	-32.34		9555.8
1348.80	-31.88		9556.4
1348.85	-31.94		9557.2
1348.90	-32.40		9558.0
1348.95	-33.40		9558.6
1349.00	-34.20		9559.1
1349.05	-34.86		9559.8
1349.10	-35.30		9560.3
1349.15	-35.05		9560.9
1349.20	-34.67		9561.8
1349.25	-35.08		9562.5
1349.30	-35.75		9563.1
1349.35	-35.70		9563.9
1349.40	-35.21		9564.7
1349.45	-34.58		9565.3
1349.50	-33.47		9565.8
1349.55	-32.47		9566.3
1349.60	-34.11		9566.9
1349.65	-36.40		9567.5
1349.70	-36.94		9568.1
1349.75	-36.39		9568.9
1349.80	-35.49		9569.4
1349.85	-36.29		9570.0
1349.90	-37.80		9570.8
1349.95	-37.94		9571.4
1350.00	-36.26		9572.0
1350.05	-34.76		9572.4
1350.10	-34.16		9572.8
1350.15	-33.70		9573.4
1350.20	-33.32		9574.0
1350.25	-33.84		9574.6
1350.30	-34.39		9575.2
1350.35	-34.31		9575.6
1350.40	-33.93		9576.0
1350.45	-34.55		9576.8
1350.50	-35.42		9577.3
1350.55	-35.62		9577.8
1350.60	-34.53		9578.4
1350.65	-33.85		9579.3
1350.70	-34.53		9579.9
1350.75	-34.88		9580.7
1350.80	-34.65		9581.8
1350.85	-35.08		9582.5
1350.90	-35.55		9583.1
1350.95	-35.83		9583.9
1351.00	-36.49		9584.4
1351.05	-35.78		9584.9
1351.10	-34.71		9585.7
1351.15	-34.51		9586.4
1351.20	-34.09		9587.0
1351.25	-33.77		9587.7
1351.30	-34.39		9588.3
1351.35	-35.07		9588.7
1351.40	-35.43		9589.2
1351.45	-35.89		9589.8
1351.50	-36.45		9590.6
1351.55	-35.40		9591.4
1351.60	-34.42		9592.2
1351.65	-34.46		9593.0
1351.70	-34.04		9593.8
1351.75	-33.88		9594.5
1351.80	-34.13		9595.1
1351.85	-34.19		9595.8
1351.90	-34.41		9596.3
1351.95	-34.94		9596.8
1352.00	-35.35		9597.3
1352.05	-35.53		9597.8
1352.10	-35.45		9598.5
1352.15	-35.42		9599.2
1352.20	-35.75		9599.7
1352.25	-35.85		9600.3
1352.30	-35.28		9600.9
1352.35	-34.13		9601.5
1352.40	-33.25		9602.1
1352.45	-34.01		9602.7
1352.50	-35.23		9603.2
1352.55	-35.52		9603.8
1352.60	-34.86		9604.4
1352.65	-34.77		9605.0
1352.70	-35.20		9605.8
1352.75	-35.36		9606.4
1352.80	-35.76		9607.0
1352.85	-35.90		9607.8
1352.90	-34.88		9608.4
1352.95	-33.28		9608.9
1353.00	-32.20		9609.4
1353.05	-32.66		9609.8
1353.10	-33.14		9610.4
1353.15	-32.91		9611.1
1353.20	-33.59		9611.4
1353.25	-35.12		9611.7
1353.30	-35.62		9612.0
1353.35	-34.45		9612.7
1353.40	-32.91		9613.3
1353.45	-32.28		9613.7
1353.50	-32.60		9614.1
1353.55	-33.73		9614.6
1353.60	-34.37		9615.1
1353.65	-34.81		9615.7
1353.70	-35.14		9616.2
1353.75	-35.56		9616.8
1353.80	-35.88		9617.2
1353.85	-35.66		9617.5
1353.90	-35.27		9617.9
1353.95	-35.44		9618.3
1354.00	-36.11		9618.9
1354.05	-36.53		9620.0
1354.10	-35.63		9620.4
1354.15	-34.83		9620.8
1354.20	-34.73		9621.2
1354.25	-35.06		9621.5
1354.30	-35.19		9621.9
1354.35	-35.30		9622.6
1354.40	-35.44		9623.3
1354.45	-35.21		9624.1
