Age_kyr	Age_yrs_BP	Age_lower_95th	Age_upper_95th	Resv_age	Resv_lower_95	Resv_upper_95	IRD_Stack_norm	IRD_Stad_1s	IRDupperBound	IRDlowerBound
0	0	0	0	0	0	0	0.012	0.025	0.037	-0.013
0.5	500	0	1.39	250	-210	520	0.002	0.002	0.004	0
1	1000	0.86	1.51	610	130	1120	0.037	0.072	0.109	-0.035
1.5	1500	1.28	2.01	510	70	940	0.001	0.002	0.003	-0.001
2	2000	1.69	2.48	470	20	910	0.002	0.004	0.006	-0.002
2.5	2500	2.18	3.03	340	-130	770	0.017	0.029	0.046	-0.012
3	3000	2.58	3.47	300	-170	760	0	0	0	0
3.5	3500	3.14	3.95	180	-200	600	0.004	0.008	0.012	-0.004
4	4000	3.64	4.32	250	-90	600	0.011	0.022	0.033	-0.011
4.5	4500	4.1	4.78	230	-90	580	0.005	0.01	0.015	-0.005
5	5000	4.59	5.26	490	220	820	0.011	0.021	0.032	-0.01
5.5	5500	5.13	5.72	620	250	990	0.008	0.011	0.019	-0.003
6	6000	5.74	6.28	460	150	770	0.011	0.011	0.022	0
6.5	6500	6.25	6.86	410	60	750	0.016	0.019	0.035	-0.003
7	7000	6.68	7.37	410	10	750	0.009	0.011	0.02	-0.002
7.5	7500	7.22	7.83	210	-240	690	0.012	0.015	0.027	-0.003
8	8000	7.71	8.33	120	-310	540	0.008	0.014	0.022	-0.006
8.5	8500	8.23	8.8	100	-250	530	0.009	0.012	0.021	-0.003
9	9000	8.73	9.35	240	-90	570	0.017	0.018	0.035	-0.001
9.5	9500	9.22	9.85	380	-40	800	0.011	0.018	0.029	-0.007
10	10000	9.73	10.37	490	120	860	0.014	0.02	0.034	-0.006
10.5	10500	10.18	10.84	610	120	1060	0.018	0.023	0.041	-0.005
11	11000	10.66	11.34	740	280	1030	0.033	0.033	0.066	0
11.5	11500	11.17	11.85	750	470	1170	0.054	0.061	0.115	-0.007
12	12000	11.63	12.32	900	470	1340	0.069	0.085	0.154	-0.016
12.5	12500	12.06	12.72	1060	560	1550	0.059	0.083	0.142	-0.024
13	13000	12.65	13.27	790	330	1220	0.056	0.067	0.123	-0.011
13.5	13500	13.19	13.77	760	380	1190	0.068	0.078	0.146	-0.01
14	14000	13.77	14.29	630	380	900	0.06	0.072	0.132	-0.012
14.5	14500	14.24	14.78	530	400	770	0.116	0.13	0.246	-0.014
15	15000	14.76	15.36	740	410	980	0.239	0.21	0.449	0.029
15.5	15500	15.28	15.88	550	430	680	0.312	0.246	0.558	0.066
16	16000	15.78	16.38	690	450	1130	0.434	0.223	0.657	0.211
16.5	16500	16.21	16.82	1260	850	1500	0.253	0.254	0.507	-0.001
17	17000	16.69	17.28	1090	680	1630	0.29	0.312	0.602	-0.022
17.5	17500	17.15	17.73	1120	790	1680	0.162	0.223	0.385	-0.061
18	18000	17.67	18.27	1150	500	1750	0.137	0.184	0.321	-0.047
18.5	18500	18.14	18.74	1270	740	1800	0.066	0.104	0.17	-0.038
19	19000	18.69	19.26	840	380	1450	0.172	0.211	0.383	-0.039
19.5	19500	19.28	19.82	720	290	1250	0.138	0.169	0.307	-0.031
20	20000	19.78	20.41	660	130	1140	0.064	0.093	0.157	-0.029
20.5	20500	20.19	20.94	500	220	920	0.102	0.134	0.236	-0.032
21	21000	20.63	21.41	460	40	1040	0.135	0.181	0.316	-0.046
21.5	21500	21.08	21.89	400	-220	1040	0.071	0.078	0.149	-0.007
22	22000	21.53	22.35	420	-50	1010	0.079	0.083	0.162	-0.004
22.5	22500	22.08	22.86	270	-410	1030	0.095	0.157	0.252	-0.062
23	23000	22.62	23.39	310	-210	690	0.12	0.157	0.277	-0.037
23.5	23500	23.12	23.88	150	-340	780	0.15	0.174	0.324	-0.024
24	24000	23.7	24.45	60	-550	670	0.318	0.278	0.596	0.04
24.5	24500	24.13	24.98	300	-330	920	0.508	0.288	0.796	0.22
25	25000	24.6	25.6	440	-130	940	0.437	0.279	0.716	0.158
25.5	25500	25.01	26.03	630	110	1210	0.281	0.268	0.549	0.013
26	26000	25.36	26.51	880	390	1430	0.145	0.144	0.289	0.001
26.5	26500	25.94	26.96	700	150	1240	0.121	0.119	0.24	0.002
27	27000	26.42	27.44	590	160	1150	0.101	0.118	0.219	-0.017
27.5	27500	26.85	27.92	730	80	1380	0.129	0.14	0.269	-0.011
28	28000	27.5	28.4	860	-100	1730	0.039	0.052	0.091	-0.013
28.5	28500	28.08	28.98	540	-280	1200	0.054	0.076	0.13	-0.022
29	29000	28.61	29.58	390	-410	1200	0.08	0.117	0.197	-0.037
29.5	29500	29	29.98	360	-530	1260	0.116	0.187	0.303	-0.071
30	30000	29.47	30.48	300	-510	970	0.148	0.199	0.347	-0.051
30.5	30500	30.08	31.04	170	-660	1040	0.204	0.194	0.398	0.01
31	31000	30.64	31.6	370	-930	1430	0.171	0.177	0.348	-0.006
31.5	31500	31.1	32.14	590	-210	1620	0.127	0.168	0.295	-0.041
32	32000	31.62	32.73	430	80	810	0.122	0.138	0.26	-0.016
32.5	32500	32.02	33.27	400	-150	760	0.12	0.121	0.241	-0.001
33	33000	32.42	33.76	480	-220	1060	0.125	0.159	0.284	-0.034
33.5	33500	32.88	34.23	570	160	1160	0.129	0.105	0.234	0.024
34	34000	33.26	34.97	330	-830	910	0.102	0.111	0.213	-0.009
34.5	34500	33.72	35.51	330	-1230	1420	0.062	0.071	0.133	-0.009
35	35000	34.16	35.96	390	-720	1830	0.121	0.241	0.362	-0.12
35.5	35500	34.59	36.41	430	-390	1730	0.065	0.107	0.172	-0.042
36	36000	35.09	36.91	300	-890	1000	0.081	0.113	0.194	-0.032
36.5	36500	35.6	37.41	-230	-1310	780	0.055	0.067	0.122	-0.012
37	37000	36.1	37.89	-20	-1080	1430	0.074	0.073	0.147	0.001
37.5	37500	36.78	38.19	190	-300	770	0.18	0.162	0.342	0.018
38	38000	37.31	38.78	240	-420	650	0.3	0.228	0.528	0.072
38.5	38500	37.79	39.2	220	-720	990	0.497	0.299	0.796	0.198
39	39000	38.09	40.05	140	-890	1360	0.638	0.234	0.872	0.404
39.5	39500	38.49	40.45	220	-610	1360	0.47	0.268	0.738	0.202
40	40000	38.93	40.88	650	-200	1510	0.134	0.14	0.274	-0.006
40.5	40500	39.3	41.23	650	-360	1690	0.091	0.101	0.192	-0.01
41	41000	39.88	41.74	450	-830	1760	0.069	0.07	0.139	-0.001
41.5	41500	40.48	42.21	-	-	-	0.117	0.163	0.28	-0.046
42	42000	40.89	42.93	-	-	-	0.096	0.107	0.203	-0.011
42.5	42500	41.48	43.63	-	-	-	0.206	0.245	0.451	-0.039
43	43000	41.93	44.14	-	-	-	0.106	0.178	0.284	-0.072
