Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1980-11-10	1980	11	0	_		_
1980-11-11	1980	11	0.5	_		_
1980-11-12	1980	11	2	_		_
1980-11-13	1980	11	2	_		_
1980-11-14	1980	11	2	_		_
1980-11-15	1980	11	2	_		_
1980-11-16	1980	11	2	_		_
1980-11-17	1980	11	2	_		_
1980-11-18	1980	11	2	_		_
1980-11-19	1980	11	2	_		_
1980-11-20	1980	11	2	_		_
1980-11-21	1980	11	2	_		_
1980-11-22	1980	11	2	_		_
1980-11-23	1980	11	2	_		_
1980-11-24	1980	11	2	_		_
1980-11-25	1980	11	2	_		_
1980-11-26	1980	11	2	_		_
1980-11-27	1980	11	2	_		_
1980-11-28	1980	11	2	_		_
1980-11-29	1980	11	2	_		_
1980-11-30	1980	11	2	_		_
1980-12-01	1980	12	2	_		_
1980-12-02	1980	12	2	_		_
1980-12-03	1980	12	2	_		_
1980-12-04	1980	12	4.2	_		_
1980-12-05	1980	12	5.3	_		_
1980-12-06	1980	12	5.3	_		_
1980-12-07	1980	12	5.3	_		_
1980-12-08	1980	12	5.3	_		_
1980-12-09	1980	12	5.3	_		_
1980-12-10	1980	12	5.3	_		_
1980-12-11	1980	12	5.3	_		_
1980-12-12	1980	12	5.3	_		_
1980-12-13	1980	12	5.3	_		_
1980-12-14	1980	12	5.3	_		_
1980-12-15	1980	12	5.3	_		_
1980-12-16	1980	12	5.3	_		_
1980-12-17	1980	12	5.3	_		_
1980-12-18	1980	12	5.3	_		_
1980-12-19	1980	12	5.3	_		_
1980-12-20	1980	12	5.3	_		_
1980-12-21	1980	12	5.3	_		_
1980-12-22	1980	12	5.3	_		_
1980-12-23	1980	12	5.3	_		_
1980-12-24	1980	12	5.3	_		_
1980-12-25	1980	12	5.3	_		_
1980-12-26	1980	12	5.3	_		_
1980-12-27	1980	12	5.3	_		_
1980-12-28	1980	12	5.3	_		_
1980-12-29	1980	12	5.3	_		_
1980-12-30	1980	12	5.3	_		_
1980-12-31	1980	12	5.3	_		_
1981-01-01	1981	1	5.3	_		_
1981-01-02	1981	1	5.3	_		_
1981-01-03	1981	1	5.3	_		_
1981-01-04	1981	1	5.3	_		_
1981-01-05	1981	1	5.3	_		_
1981-01-06	1981	1	5.3	_		_
1981-01-07	1981	1	5.3	_		_
1981-01-08	1981	1	5.3	_		_
1981-01-09	1981	1	5.3	_		_
1981-01-10	1981	1	5.3	_		_
1981-01-11	1981	1	5.3	_		_
1981-01-12	1981	1	5.3	_		_
1981-01-13	1981	1	5.3	_		_
1981-01-14	1981	1	5.3	_		_
1981-01-15	1981	1	5.3	_		_
