Date	SWE_Inches
1946-04-01	43.4
1947-02-01	21.3
1947-03-01	23.1
1947-04-01	30
1948-02-01	6.8
1948-03-01	12.8
1948-04-01	25.8
1948-05-01	34.5
1949-02-01	16.6
1949-03-01	28.1
1949-04-01	39.7
1949-05-01	27.4
1950-02-01	30.6
1950-03-01	38.4
1950-04-01	47.1
1950-05-01	43.3
1951-02-01	12.5
1951-03-01	18.2
1951-04-01	22.3
1951-05-01	10.6
1952-02-01	54.1
1952-03-01	62.9
1952-04-01	80.6
1953-02-01	32.6
1953-03-01	31.8
1953-04-01	37.5
1954-02-01	17
1954-03-01	26.9
1954-04-01	40.3
1954-05-01	29.3
1955-02-01	25
1955-03-01	29.3
1955-04-01	27.6
1955-05-01	28.9
1956-02-01	50.6
1956-03-01	55.5
1956-04-01	56
1956-05-01	49.4
1957-02-01	19
1957-03-01	26.6
1957-04-01	37.1
1957-05-01	30.8
1958-02-01	20.3
1958-03-01	38.2
1958-04-01	54.8
1958-05-01	
1959-02-01	14.4
1959-03-01	28.5
1959-04-01	27.8
1959-05-01	14.8
1960-02-01	11.1
1960-03-01	28.2
1960-04-01	37.5
1960-05-01	23.8
1961-02-01	11.7
1961-03-01	15.2
1961-04-01	22.4
1961-05-01	14.7
1962-02-01	15.8
1962-03-01	39.7
1962-04-01	53.4
1962-05-01	37.6
1963-03-01	1.2
1963-04-01	15.5
1963-05-01	24.7
1964-02-01	19.9
1964-03-01	17.9
1964-04-01	21.6
1964-05-01	17.7
1965-02-01	44
1965-03-01	43.8
1965-04-01	47.8
1965-05-01	45
1966-02-01	27.9
1966-03-01	31.8
1966-04-01	27.4
1966-05-01	10
1967-02-01	34.6
1967-03-01	34.8
1967-04-01	47.9
1967-05-01	66
1967-06-01	
1968-02-01	17.5
1968-03-01	23
1968-04-01	29
1968-05-01	16.2
1969-03-01	60.2
1969-04-01	85.6
1969-05-01	70.1
1970-04-01	31.2
1970-05-01	27.9
1971-04-01	40.2
1971-05-01	36.4
1972-04-01	23.6
1972-05-01	21.8
1973-04-01	49.6
1973-05-01	44.6
1974-04-01	42.1
1975-04-01	48.5
1975-05-01	59.2
1976-04-01	14.2
1976-05-01	9.2
1977-04-01	11.3
1977-05-01	0
1978-04-01	80.2
1978-05-01	74.4
1979-04-01	42.2
1979-05-01	37.3
1980-04-01	53.3
1980-05-01	50.1
1981-04-01	29.5
1981-05-01	19.9
