Date	SWE_Inches
1931-02-01	12.5
1931-03-01	16.4
1931-04-01	24
1931-05-01	
1932-02-01	42
1932-03-01	48.3
1932-04-01	49.4
1932-05-01	
1933-02-01	20.8
1933-03-01	25.2
1933-04-01	30.5
1933-05-01	
1934-02-01	15.4
1934-03-01	24.8
1934-04-01	14.3
1935-02-01	23.3
1935-04-01	36
1935-05-01	44.8
1936-03-01	39.2
1937-02-01	17.6
1937-03-01	32.2
1937-04-01	36.8
1938-02-01	10.7
1938-03-01	35.9
1938-04-01	50
1939-02-01	11.4
1939-03-01	18.9
1939-04-01	23.9
1939-05-01	12.7
1940-02-01	16.7
1940-03-01	28.7
1940-04-01	37.5
1941-02-01	21.8
1941-03-01	36.4
1941-04-01	44.6
1942-02-01	25.1
1942-03-01	32
1942-04-01	36.9
1942-05-01	40.8
1943-02-01	20.4
1943-03-01	27.2
1943-04-01	32.9
1944-02-01	15.1
1944-03-01	28.8
1944-04-01	34.1
1944-05-01	37.3
1945-02-01	13.6
1945-03-01	18.3
1945-04-01	31.8
1945-05-01	26.1
1946-02-01	20.7
1946-03-01	25.7
1946-04-01	37
1946-05-01	19.7
1947-02-01	14.8
1947-03-01	17.1
1947-04-01	21.9
1947-05-01	16.9
1948-02-01	3.7
1948-03-01	8.6
1948-04-01	20.8
1948-05-01	33.6
1949-02-01	15.5
1949-03-01	22.6
1949-04-01	39.6
1949-05-01	27.4
1950-02-01	22.1
1950-03-01	28.5
1950-04-01	32.3
1950-05-01	27.2
1951-02-01	9.3
1951-03-01	14.9
1951-04-01	17.8
1951-05-01	14.4
1952-02-01	46.9
1952-03-01	51.1
1952-04-01	79.5
1952-05-01	59.6
1953-02-01	21.7
1953-03-01	23.6
1953-04-01	27.6
1953-05-01	24.5
1954-02-01	14.3
1954-03-01	22.1
1954-04-01	32.6
1954-05-01	26.1
1955-02-01	19.2
1955-03-01	22.5
1955-04-01	22.1
1955-05-01	28.5
1956-02-01	45.7
1956-03-01	33.4
1956-04-01	37.4
1956-05-01	36.9
1957-02-01	12.7
1957-03-01	20.2
1957-04-01	25.9
1957-05-01	21.4
1958-02-01	13.4
1958-03-01	25.1
