Date	SWE_Inches
1944-04-01	32.3
1944-05-01	31.8
1945-02-01	
1945-03-01	
1945-04-01	31.6
1945-05-01	12.7
1946-02-01	
1946-03-01	
1946-04-01	21.7
1946-05-01	0
1947-02-01	9.5
1947-03-01	11.3
1947-04-01	4.6
1947-05-01	0
1948-02-01	1.7
1948-03-01	7.9
1948-04-01	20.7
1948-05-01	25.8
1949-02-01	20.5
1949-03-01	30.2
1949-04-01	44.2
1949-05-01	17.1
1950-02-01	18.6
1950-03-01	24.2
1950-04-01	20.1
1950-05-01	2.9
1951-02-01	7.6
1951-03-01	10.5
1951-04-01	8.1
1951-05-01	1.8
1952-02-01	46.6
1952-03-01	48.9
1952-04-01	68.1
1952-05-01	52.3
1953-02-01	24
1953-03-01	23.2
1953-04-01	23.6
1953-05-01	3.7
1954-02-01	12.7
1954-03-01	21.8
1954-04-01	30.2
1954-05-01	10.9
1955-02-01	16.6
1955-03-01	19.4
1955-04-01	12.9
1955-05-01	11.7
1956-02-01	21.5
1956-03-01	24
1956-04-01	15.5
1956-05-01	10.6
1957-02-01	10.8
1957-03-01	12.9
1957-04-01	11.7
1957-05-01	1
1958-02-01	12.2
1958-03-01	22.8
1958-04-01	42
1958-05-01	44.7
1959-02-01	6.2
1959-03-01	20.3
1959-04-01	13.1
1959-05-01	0.4
1960-02-01	7.7
1960-03-01	17.3
1960-04-01	12.2
1960-05-01	5.4
1961-02-01	6.7
1961-03-01	6.7
1961-04-01	9.4
1961-05-01	2.3
1962-02-01	16
1962-03-01	41
1962-04-01	49.2
1962-05-01	23.4
1963-02-01	0
1963-03-01	0.2
1963-04-01	7.1
1963-05-01	11.3
1964-02-01	13.7
1964-03-01	12.2
1964-04-01	15.4
1964-05-01	4.6
1965-02-01	27.4
1965-03-01	26.3
1965-04-01	27.4
1965-05-01	24
1966-02-01	17.4
1966-03-01	22
1966-04-01	10.7
1966-05-01	0.3
1967-02-01	13.8
1967-03-01	14.1
1967-04-01	26.3
1967-05-01	49.5
1967-06-01	
1968-02-01	14.6
1968-03-01	12.7
1968-04-01	13.2
1968-05-01	0.6
1969-02-01	25.6
1969-03-01	52.8
1969-04-01	54.3
1969-05-01	42
1970-02-01	7.1
1970-03-01	11.4
1970-04-01	11.4
1970-05-01	5.2
1971-02-01	26.7
1971-03-01	26.4
1971-04-01	23.4
1971-05-01	12.8
