Date	SWE_Inches
1949-05-01	24.3
1950-04-01	33.4
1951-04-01	34.2
1952-05-01	57.9
1953-02-01	20.8
1953-04-01	24
1954-02-01	14.1
1954-04-01	33.2
1955-02-01	19.3
1955-04-01	25
1956-02-01	51.5
1956-04-01	51.9
1957-02-01	9.2
1957-04-01	24.4
1958-02-01	14.4
1958-03-01	29.5
1958-04-01	39.7
1959-02-01	9.4
1959-03-01	20
1959-04-01	19
1960-02-01	6.8
1960-03-01	18.5
1960-04-01	21.1
1961-02-01	10.2
1961-03-01	11.1
1961-04-01	17.6
1962-02-01	13.1
1962-04-01	44.1
1963-03-01	21.3
1963-04-01	29.6
1964-02-01	12.7
1964-03-01	12.3
1964-04-01	17.2
1965-02-01	36.8
1965-03-01	38.9
1965-04-01	40.5
1966-02-01	21.3
1966-03-01	24.6
1966-04-01	26.1
1967-03-01	35.9
1967-04-01	49.4
1967-05-01	56
1968-03-01	17.7
1968-04-01	17.7
1969-03-01	68
1969-04-01	71
1969-05-01	69.1
1969-06-01	
1970-03-01	27.8
1970-04-01	29.2
1971-02-01	26.1
1971-03-01	23.7
1971-04-01	30.4
1972-03-01	23
1972-04-01	19.9
1973-03-01	33.5
1973-04-01	41.6
1974-03-01	34.1
1974-04-01	41.5
1974-05-01	47.3
1975-02-01	12.1
1975-03-01	21.8
1975-04-01	31.9
1975-05-01	36.9
1976-02-01	1.8
1976-03-01	9.2
1976-04-01	13.5
1976-05-01	11.7
1977-02-01	3.4
1977-03-01	6.8
1977-04-01	9.8
1978-02-01	33.8
1978-03-01	
1978-04-01	54.6
1979-02-01	17.4
1979-03-01	30.4
1979-04-01	34.8
1979-05-01	0
1980-02-01	32.4
1980-03-01	51
1980-04-01	55.1
1981-03-01	16.3
1981-04-01	27.2
1982-01-01	0
1982-02-01	34.8
1982-03-01	38.3
1982-04-01	
1982-05-01	56.7
1983-01-01	25.3
1983-03-01	51.9
1983-04-01	65.4
1984-02-01	29.4
1984-03-01	37.8
1984-04-01	37.4
1985-02-01	19.3
1985-03-01	22.9
1985-04-01	31.1
1986-02-01	21.4
1986-03-01	49.4
1986-04-01	51.2
1987-02-01	5.7
1987-03-01	12.8
1987-04-01	18.8
1988-02-01	22.4
1988-03-01	21.1
1988-04-01	19.3
1989-02-01	15.6
1989-03-01	19.8
1989-04-01	27.8
1990-01-01	
1990-02-01	9.8
1990-03-01	15.8
1990-04-01	16.1
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	3.4
1991-03-01	5.6
1991-04-01	25
1991-05-01	24.5
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	9.8
1992-03-01	18.1
1992-04-01	20.3
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	31.9
1993-03-01	45.3
1993-04-01	48.4
1993-05-01	46
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	10.1
1994-03-01	18.3
1994-04-01	20.4
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	31.7
1995-03-01	
1995-04-01	60.1
1995-05-01	53.4
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	18.9
1996-03-01	32.8
1996-04-01	36.9
1996-05-01	37.1
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	38.3
1997-03-01	45.9
1997-04-01	46
1997-05-01	16.5
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	27.2
1998-03-01	44.9
1998-04-01	50.4
1998-05-01	51.4
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	17.3
1999-03-01	29.5
1999-04-01	31.8
1999-05-01	47.3
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	16.3
2000-03-01	
2000-04-01	31.4
2000-05-01	30.1
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	17.5
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	28.4
2002-03-01	25.3
2002-04-01	29.6
2002-05-01	24.9
2002-06-01	
2003-01-01	
2003-02-01	21.4
2003-03-01	25.7
2003-04-01	24.9
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	17.1
2004-03-01	28.9
2004-04-01	27.1
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	29.3
2005-03-01	37.6
2005-04-01	43
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	37.9
2006-04-01	50.2
2006-05-01	57.5
2006-06-01	
2007-01-01	
2007-02-01	8
2007-03-01	18.5
2007-04-01	19.6
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	22.3
2008-03-01	33.5
2008-04-01	30.8
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
