Date	SWE_Inches
1930-04-01	21.4
1931-04-01	9.7
1932-04-01	46.8
1933-04-01	18.3
1934-04-01	21.1
1935-04-01	24.2
1937-04-01	46.3
1938-04-01	50.5
1939-04-01	20.6
1940-04-01	36
1941-04-01	46.3
1942-04-01	43.4
1943-04-01	41.5
1944-04-01	32
1945-04-01	40.9
1946-04-01	43.3
1947-04-01	30.3
1948-04-01	28.1
1949-04-01	23.9
1950-04-01	34.6
1951-04-01	37.4
1952-04-01	
1952-05-01	69.2
1953-02-01	24.6
1953-04-01	28.5
1954-02-01	11.4
1954-04-01	36.1
1955-02-01	18.5
1955-04-01	26
1956-02-01	55.4
1956-04-01	52.4
1957-02-01	9.5
1957-03-01	19.7
1957-04-01	25.1
1958-02-01	12.4
1958-03-01	28.8
1958-04-01	43.7
1958-05-01	
1959-02-01	8.5
1959-03-01	23.4
1959-04-01	23.1
1960-02-01	7.1
1960-03-01	18.3
1960-04-01	22.2
1961-02-01	12
1961-03-01	13.4
1961-04-01	19.2
1962-02-01	13.6
1962-03-01	37.8
1962-04-01	44.4
1963-03-01	22.9
1963-04-01	34.8
1963-05-01	43.7
1964-02-01	12.8
1964-04-01	16.8
1965-02-01	37.3
1965-03-01	39.7
1965-04-01	40.4
1965-05-01	43.1
1966-02-01	25.2
1966-03-01	30.6
1966-04-01	30.2
1967-02-01	41.8
1967-03-01	44
1967-04-01	55.8
1967-05-01	66.3
1967-06-01	
1968-02-01	14.6
1968-03-01	19.3
1968-04-01	22.8
1969-02-01	51.7
1969-03-01	72.9
1969-04-01	80
1969-05-01	80.9
1969-06-01	
1970-02-01	25.1
1970-03-01	31.9
1970-04-01	30.6
1971-02-01	30.4
1971-03-01	31.4
1971-04-01	33.8
1972-02-01	20.8
1972-03-01	24.2
1972-04-01	21.7
1973-02-01	27.3
1973-03-01	37.8
1973-04-01	42.6
1973-05-01	42.1
1974-02-01	32.1
1974-03-01	36.7
1974-04-01	48.1
1974-05-01	53.5
1975-02-01	11.6
1975-03-01	24
1975-04-01	34.3
1975-05-01	
1975-06-01	
1976-02-01	6
1976-03-01	10
1976-04-01	13.7
1976-05-01	
1977-02-01	5.1
1977-03-01	7.7
1977-04-01	10.8
1977-05-01	
1978-02-01	34
1978-03-01	49.3
1978-04-01	59.3
1978-05-01	65.9
1979-02-01	18.8
1979-03-01	29.5
1979-04-01	
1979-05-01	
1980-02-01	29.8
1980-03-01	51.2
1980-04-01	62.5
1980-05-01	54.9
1981-02-01	15.2
1981-03-01	16.9
1981-04-01	24.9
1981-05-01	25.5
1982-02-01	35.1
1982-03-01	36.7
1982-04-01	52.2
1982-05-01	61.3
1983-02-01	41.8
1983-03-01	
1983-04-01	74
1983-05-01	75.3
1984-02-01	32.7
1984-03-01	39.6
1984-04-01	40
1984-05-01	40
1985-02-01	21.3
1985-03-01	25.5
1985-04-01	34.9
1985-05-01	29.9
1986-02-01	21.6
1986-03-01	56
1986-04-01	64.5
1986-05-01	63.5
1987-02-01	5
1987-03-01	13.2
1987-04-01	18.3
1987-05-01	16.5
1988-02-01	22.6
1988-03-01	23.4
1988-04-01	22.1
1988-05-01	23.8
1989-02-01	14.1
1989-03-01	19.8
1989-04-01	26.7
1989-05-01	23.1
1990-01-01	
1990-02-01	10.6
1990-03-01	18.1
1990-04-01	22.1
1990-05-01	19.7
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	3.3
1991-03-01	5.4
1991-04-01	24.8
1991-05-01	26.5
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	10.1
1992-03-01	
1992-04-01	22.1
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	35.1
1993-03-01	55.2
1993-04-01	59.9
1993-05-01	56.9
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	9.6
1994-03-01	16.7
1994-04-01	22.9
1994-05-01	23.9
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	37.9
1995-03-01	38.2
1995-04-01	68.1
1995-05-01	70.1
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	20.5
1996-03-01	36.1
1996-04-01	45.2
1996-05-01	47
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	45.4
1997-03-01	51.1
1997-04-01	54
1997-05-01	50.9
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	19.9
1998-03-01	42.5
1998-04-01	50.7
1998-05-01	50.4
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	13.7
1999-03-01	27.7
1999-04-01	30.9
1999-05-01	41.5
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	14.4
2000-03-01	34.3
2000-04-01	36.1
2000-05-01	37.8
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	8.7
2001-03-01	16.5
2001-04-01	22.7
2001-05-01	25
2001-06-01	
2002-01-01	
2002-02-01	28.4
2002-03-01	29.1
2002-04-01	32.5
2002-05-01	33.2
2002-06-01	
2003-01-01	
2003-02-01	20.7
2003-03-01	26.1
2003-04-01	28.5
2003-05-01	32.9
2003-06-01	
2004-01-01	
2004-02-01	22.1
2004-03-01	31.7
2004-04-01	35.2
2004-05-01	33.6
2004-06-01	
2005-01-01	
2005-02-01	37.6
2005-03-01	25.8
2005-04-01	40.9
2005-05-01	54.1
2005-06-01	
2006-01-01	
2006-02-01	33
2006-03-01	37.3
2006-04-01	45.8
2006-05-01	59.7
2006-06-01	
2007-01-01	
2007-02-01	7.5
2007-03-01	15.8
2007-04-01	19
2007-05-01	20.2
2007-06-01	
2008-01-01	
2008-02-01	23.8
2008-03-01	36.2
2008-04-01	35.5
2008-05-01	33.5
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
