Speleothem	Years_B1950	d18O
SSC01	0	-9.16
SSC01	65	-9.29
SSC01	130	-9.38
SSC01	195	-9.54
SSC01	260	-9.46
SSC01	325	-9.48
SSC01	390	-9.5
SSC01	455	-9.28
SSC01	520	-9.38
SSC01	582	-9.52
SSC01	622	-9.61
SSC01	662	-9.51
SSC01	703	-9.47
SSC01	743	-9.51
SSC01	783	-9.54
SSC01	823	-9.64
SSC01	863	-9.53
SSC01	903	-9.33
SSC01	943	-9.6
SSC01	983	-9.44
SSC01	1023	-9.37
SSC01	1064	-9.59
SSC01	1104	-9.79
SSC01	1144	-9.77
SSC01	1184	-9.49
SSC01	1224	-9.42
SSC01	1264	-9.6
SSC01	1304	-9.51
SSC01	1344	-9.5
SSC01	1384	-9.64
SSC01	1424	-9.55
SSC01	1465	-9.45
SSC01	1505	-9.58
SSC01	1545	-9.54
SSC01	1585	-9.54
SSC01	1625	-9.51
SSC01	1665	-9.4
SSC01	1705	-9.67
SSC01	1745	-9.25
SSC01	1785	-9.48
SSC01	1826	-9.93
SSC01	1866	-9.68
SSC01	1906	-9.51
SSC01	1946	-9.88
SSC01	1986	-9.53
SSC01	2026	-9.4
SSC01	2066	-9.48
SSC01	2106	-9.44
SSC01	2146	-9.87
SCH02	2332	-10.03
SCH02	2591	-9.43
SCH02	2699	-9.28
SCH02	2790	-9.27
SCH02	2882	-9.54
SCH02	2973	-9.33
SCH02	3064	-9.51
SCH02	3155	-9.62
SCH02	3247	-9.66
SCH02	3338	-9.51
SCH02	3429	-9.67
SCH02	3520	-9.48
SCH02	3611	-9.71
SCH02	3664	-10.06
SCH02	3707	-10.17
SCH02	3750	-9.83
SCH02	3793	-9.73
SCH02	3836	-9.72
SCH02	3879	-9.71
SCH02	3922	-10.19
SCH02	3965	-9.9
SCH02	4008	-9.78
SSC01	4037	-10.17
SSC01	4067	-10.13
SSC01	4096	-10.15
SSC01	4125	-10.05
SSC01	4155	-9.97
SSC01	4184	-9.86
SSC01	4213	-9.9
SSC01	4243	-9.79
SSC01	4272	-9.93
SSC01	4302	-9.98
SSC01	4331	-10.19
SSC01	4360	-9.76
SSC01	4390	-9.97
SSC01	4419	-10.03
SSC01	4448	-10.09
SSC01	4478	-9.82
SSC01	4507	-9.91
SSC01	4537	-9.84
SSC01	4566	-10
SSC01	4595	-10.06
SSC01	4625	-10.09
SSC01	4654	-10.07
SSC01	4683	-9.99
SSC01	4713	-10.01
SSC01	4742	-9.96
SSC01	4772	-9.94
SSC01	4801	-10.07
SSC01	4830	-9.95
SSC01	4860	-10.04
SSC01	4889	-9.88
SSC01	4918	-9.92
SSC01	4948	-10.06
SSC01	4977	-10.12
SSC01	5006	-10.21
SSC01	5036	-10.06
SSC01	5065	-9.96
SSC01	5095	-9.79
SSC01	5124	-9.99
SSC01	5164	-9.69
SSC01	5219	-9.77
SSC01	5274	-9.72
SSC01	5329	-9.81
SSC01	5384	-9.7
SSC01	5439	-9.72
SSC01	5493	-9.76
SSC01	5548	-9.89
SSC01	5603	-9.65
SSC01	5658	-9.74
SSC01	5713	-9.78
SSC01	5768	-9.82
SSC01	5823	-9.79
SSC01	5878	-9.65
SSC01	5933	-9.72
SSC01	5988	-9.64
SSC01	6043	-9.66
SSC01	6098	-9.6
SSC01	6153	-9.41
SSC01	6208	-9.36
SSC01	6263	-9.73
SSC01	6318	-9.95
SSC01	6373	-9.64
SSC01	6428	-9.4
SSC01	6482	-9.63
SSC01	6534	-9.84
SSC01	6585	-9.84
SSC01	6636	-9.38
SSC01	6688	-9.5
SSC01	6739	-9.39
SSC01	6790	-9.34
SSC01	6842	-9.25
SSC01	6893	-9.18
SSC01	6944	-9.27
SSC01	6995	-9.39
SSC01	7047	-9.49
SSC01	7098	-9.17
SSC01	7149	-9.08
SSC01	7201	-9.12
SSC01	7252	-9.07
SSC01	7303	-9.19
SSC01	7355	-9.53
SSC01	7406	-9.56
SSC01	7457	-9.52
SSC01	7509	-9.23
BA04	7514	-9.24
BA04	7553	-9.26
BA04	7593	-9.13
BA04	7633	-9.3
BA04	7673	-9.16
BA04	7712	-9.23
SSC01	7745	-9.76
SSC01	7796	-9.12
SSC01	7847	-9.24
SSC01	7898	-9.01
SSC01	7950	-9.11
SSC01	8001	-8.74
SSC01	8052	-8.92
SSC01	8104	-9.15
SSC01	8155	-8.95
SSC01	8206	-8.79
SSC01	8258	-9
SSC01	8309	-9.11
SSC01	8360	-9.06
SSC01	8412	-8.83
SSC01	8463	-8.91
SSC01	8514	-8.91
SSC01	8553	-8.86
SSC01	8592	-9.05
SSC01	8631	-8.73
SSC01	8670	-8.7
SSC01	8709	-8.73
SSC01	8748	-8.74
SSC01	8787	-8.69
SSC01	8826	-8.79
SSC01	8865	-8.79
SSC01	8904	-8.93
SSC01	8943	-8.9
SSC01	8982	-9.17
SSC01	9022	-8.91
SSC01	9061	-9.13
SSC01	9100	-8.85
SSC01	9139	-8.75
SSC01	9178	-8.69
SSC01	9217	-8.83
SSC01	9256	-8.95
SSC01	9295	-8.82
SSC01	9334	-8.49
SSC01	9373	-8.45
SSC01	9412	-9.01
SSC01	9451	-8.72
SSC01	9486	-8.65
SSC01	9517	-8.59
SSC01	9548	-8.69
SSC01	9579	-8.66
SSC01	9611	-8.59
SSC01	9642	-8.61
SSC01	9673	-8.67
SSC01	9704	-8.72
SSC01	9735	-8.68
SSC01	9767	-8.8
SSC01	9798	-8.62
SSC01	9829	-8.56
SSC01	9860	-8.57
SSC01	9892	-8.46
SSC01	9923	-8.56
SSC01	9954	-8.37
SSC01	9985	-8.25
