Date	SWE_Inches
1948-04-01	22.5
1949-04-01	28.5
1950-04-01	34.2
1951-04-01	30.1
1952-04-01	48.3
1953-04-01	24.9
1954-04-01	32
1955-04-01	23.4
1956-02-01	31.6
1956-04-01	39.1
1957-02-01	12
1957-04-01	23.4
1958-02-01	14.1
1958-04-01	39.9
1959-02-01	9.1
1959-04-01	20.1
1960-02-01	6.4
1960-04-01	21.3
1961-02-01	12.1
1961-04-01	15.6
1962-02-01	9.4
1962-04-01	33.2
1963-03-01	24.4
1963-04-01	28.4
1964-02-01	14.9
1964-04-01	19.8
1965-02-01	32.1
1966-04-01	24.7
1967-02-01	35.8
1967-04-01	48.5
1967-05-01	53.2
1968-02-01	16
1968-04-01	19.6
1969-02-01	46.6
1969-04-01	56.8
1969-05-01	50.9
1970-02-01	
1970-04-01	
1971-02-01	25.4
1971-04-01	28.8
1972-02-01	22.6
1972-04-01	22.1
1973-02-01	24.3
1973-04-01	38.1
1974-02-01	28.1
1974-04-01	40.4
1975-02-01	12.7
1975-04-01	29.1
1975-06-01	
1976-02-01	7.1
1976-04-01	14.6
1977-02-01	3.6
1977-03-01	7.6
1977-04-01	9.7
1978-02-01	31.5
1978-04-01	51
1979-02-01	
1979-04-01	32.1
1980-02-01	31.1
1980-04-01	47.6
1981-02-01	12.7
1981-04-01	
1982-02-01	36
1982-04-01	53
1983-02-01	38.1
1983-04-01	
1984-02-01	33.4
1984-04-01	39.7
1985-02-01	18.5
1985-04-01	30.4
1986-02-01	20.4
1986-04-01	56.1
1987-02-01	5.6
1987-04-01	16.4
1988-02-01	19.7
1988-04-01	19.1
1989-02-01	17.2
1989-03-01	22.1
1989-04-01	30.5
1989-05-01	24.6
1990-01-01	
1990-02-01	10.5
1990-03-01	16.4
1990-04-01	17.6
1990-05-01	12.9
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	4.2
1991-03-01	5.1
1991-04-01	25.1
1991-05-01	25.3
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	10.7
1992-03-01	17.3
1992-04-01	20.4
1992-05-01	12
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	34.4
1993-03-01	43.9
1993-04-01	47.7
1993-05-01	46.9
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	6.6
1994-03-01	14.6
1994-04-01	16.7
1994-05-01	11.6
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	37.6
1995-03-01	35.9
1995-04-01	58
1995-05-01	65.9
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	19.8
1996-03-01	36.4
1996-04-01	42.3
1996-05-01	42.9
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	46.4
1997-03-01	
1997-04-01	51.1
1997-05-01	42
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	21.2
1998-03-01	41.9
1998-04-01	47.9
1998-05-01	50.4
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	19.7
1999-03-01	
1999-04-01	35.7
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	14
2000-03-01	
2000-04-01	27.8
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	10.9
2001-03-01	17.1
2001-04-01	17
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	25.5
2002-03-01	
2002-04-01	33.5
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	25.7
2003-03-01	
2003-04-01	30
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	21.8
2004-03-01	
2004-04-01	29.5
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	31.8
2005-03-01	
2005-04-01	47.9
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	34.2
2006-03-01	
2006-04-01	54.2
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	7.8
2007-03-01	
2007-04-01	19.3
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	22.6
2008-03-01	
2008-04-01	32.7
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
