Date	SWE_Inches
1946-04-01	30.5
1947-04-01	22.7
1948-04-01	15.2
1948-05-01	24.6
1949-04-01	22.5
1950-04-01	26.7
1951-01-01	
1951-04-01	27.6
1952-02-01	32.4
1952-04-01	43.7
1953-02-01	16.8
1953-04-01	19.2
1954-02-01	10.3
1954-04-01	28.3
1955-02-01	16.4
1955-04-01	21.8
1956-02-01	46.8
1956-04-01	42.8
1957-02-01	8.1
1957-03-01	15.9
1957-04-01	19.9
1958-02-01	14.8
1958-03-01	25.3
1958-04-01	34.9
1959-02-01	7.9
1959-03-01	19
1959-04-01	17.7
1960-02-01	6.7
1960-03-01	15.3
1960-04-01	17.9
1961-02-01	6
1961-03-01	11.2
1961-04-01	13.7
1962-03-01	34.3
1962-04-01	40.1
1963-03-01	8.2
1963-04-01	30
1964-02-01	10.7
1964-03-01	10.6
1964-04-01	13.9
1965-02-01	27.3
1965-03-01	28.6
1965-04-01	30.5
1966-02-01	20.9
1966-03-01	23.7
1966-04-01	22.7
1967-03-01	32.7
1967-04-01	45.6
1967-05-01	55
1968-03-01	13.9
1968-04-01	14.2
1969-03-01	48.5
1969-04-01	61.7
1969-05-01	61.1
1969-06-01	
1970-03-01	23.2
1970-04-01	22.4
1971-02-01	23.6
1971-03-01	23.6
1971-04-01	24.6
1972-03-01	21
1972-04-01	17.2
1973-03-01	31.7
1973-04-01	37.9
1974-03-01	27.1
1974-04-01	33.4
1974-05-01	37.2
1974-06-01	
1975-02-01	10.7
1975-03-01	18.2
1975-04-01	27.3
1975-05-01	34.4
1976-02-01	0
1976-03-01	4
1976-04-01	8.6
1976-05-01	5.5
1977-02-01	3.2
1977-03-01	5.1
1977-04-01	7.2
1978-02-01	30.6
1978-03-01	
1978-04-01	48.6
1979-02-01	15.2
1979-03-01	25.7
1979-04-01	30.5
1979-05-01	0
1980-02-01	25.8
1980-03-01	45
1980-04-01	45.5
1981-03-01	16.6
1981-04-01	23.1
1982-01-01	
1982-02-01	25.6
1982-03-01	29.1
1982-04-01	
1982-05-01	48.5
