Date	SWE_Inches
1948-02-01	3.7
1948-03-01	9.5
1948-04-01	25.7
1948-05-01	32.7
1949-02-01	18.9
1949-03-01	28.7
1949-04-01	42.9
1950-03-01	32.5
1950-04-01	40
1951-03-01	15.7
1951-04-01	17.7
1952-03-01	63.5
1952-04-01	77.7
1953-03-01	28.2
1953-04-01	35.2
1954-03-01	26.9
1954-04-01	38.9
1955-02-01	24.3
1955-03-01	28.1
1955-04-01	27.4
1956-02-01	45.8
1956-03-01	48.8
1956-04-01	44.7
1957-02-01	15.7
1957-03-01	26.6
1957-04-01	33.2
1958-02-01	22.3
1958-03-01	36.9
1958-04-01	57.2
1959-02-01	12.2
1959-03-01	27.7
1959-04-01	24.2
1960-02-01	12.8
1960-03-01	27.2
1960-04-01	28.2
1961-02-01	10.7
1961-04-01	19
1962-02-01	15.2
1962-03-01	48.1
1962-04-01	55.5
1963-03-01	4.4
1963-04-01	12.4
1964-02-01	16.4
1964-03-01	15.5
1964-04-01	19.5
1965-02-01	41.5
1965-03-01	40.6
1965-04-01	43.4
1966-02-01	32.2
1966-03-01	37.1
1966-04-01	30
1967-02-01	29
1967-03-01	28.2
1967-04-01	43.6
1967-05-01	59.4
1968-02-01	17.9
1968-03-01	25.6
1968-04-01	29.6
1969-03-01	76.1
1969-04-01	81.4
1969-05-01	73.2
1970-04-01	22.1
1971-04-01	40.6
1972-04-01	20.8
1973-04-01	51.9
1974-04-01	40.6
1975-04-01	51.7
1976-04-01	12.2
1977-04-01	10.2
1978-04-01	67
1979-04-01	43.4
1980-04-01	52.1
1981-04-01	28
1982-01-01	0
1982-02-01	0
1982-04-01	55.4
1983-04-01	87.6
1984-04-01	30.2
1985-04-01	37.4
1986-04-01	54.7
1987-04-01	22.3
1988-04-01	10.1
1989-03-01	22.9
1989-04-01	32.7
1989-05-01	8.5
1990-01-01	
1990-02-01	9.3
1990-03-01	18.3
1990-04-01	16.7
1990-05-01	0
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	3.8
1991-03-01	2.8
1991-04-01	29.2
1991-05-01	22.1
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	8.5
1992-03-01	20.1
1992-04-01	22.9
1992-05-01	3.6
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	45
1993-03-01	64.6
1993-04-01	59.4
1993-05-01	56.7
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	10.8
1994-03-01	22.3
1994-04-01	20.3
1994-05-01	7.8
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	48.5
1995-03-01	47.3
1995-04-01	71.4
1995-05-01	74.4
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	22.9
1996-03-01	33.2
1996-04-01	40.1
1996-05-01	28.9
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	45.7
1997-03-01	40.6
1997-04-01	33.9
1997-05-01	15.5
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	29.2
1998-03-01	57.8
1998-04-01	54
1998-05-01	63.5
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	26.3
1999-03-01	41.8
1999-04-01	44
1999-05-01	40.9
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	19.3
2000-03-01	39.3
2000-04-01	40
2000-05-01	32
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	14.9
2001-03-01	27.2
2001-04-01	26
2001-05-01	25.9
2001-06-01	
2002-01-01	
2002-02-01	28.5
2002-03-01	31.7
2002-04-01	42
2002-05-01	21.7
2002-06-01	
2003-01-01	
2003-02-01	18.8
2003-03-01	20.8
2003-04-01	22.8
2003-05-01	29.3
2003-06-01	
2004-01-01	
2004-02-01	29.6
2004-03-01	41.9
2004-04-01	32
2004-05-01	8.9
2004-06-01	
2005-01-01	
2005-02-01	45.7
2005-03-01	53.8
2005-04-01	63.1
2005-05-01	55.6
2005-06-01	
2006-01-01	
2006-02-01	25.1
2006-03-01	55.3
2006-04-01	40.6
2006-05-01	58.4
2006-06-01	
2007-01-01	
2007-02-01	8.7
2007-03-01	22.7
2007-04-01	17.7
2007-05-01	1
2007-06-01	
2008-01-01	
2008-02-01	27
2008-03-01	29.1
2008-04-01	36
2008-05-01	15
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
