Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1982-11-01	1982	11	5.7	_		_
1982-11-02	1982	11	5.7	_		_
1982-11-03	1982	11	5.7	_		_
1982-11-04	1982	11	5.7	_		_
1982-11-05	1982	11	5.7	_		_
1982-11-06	1982	11	5.7	_		_
1982-11-07	1982	11	5.7	_		_
1982-11-08	1982	11	5.7	_		_
1982-11-09	1982	11	6	_		_
1982-11-10	1982	11	7.1	_		_
1982-11-11	1982	11	7.1	_		_
1982-11-12	1982	11	7.1	_		_
1982-11-13	1982	11	7.1	_		_
1982-11-14	1982	11	7.1	_		_
1982-11-15	1982	11	7.1	_		_
1982-11-16	1982	11	7.1	_		_
1982-11-17	1982	11	7.1	_		_
1982-11-18	1982	11	7.9	_		_
1982-11-19	1982	11	11.5	_		_
1982-11-20	1982	11	12.1	_		_
1982-11-21	1982	11	12	_		_
1982-11-22	1982	11	11.9	_		_
1982-11-23	1982	11	13.1	_		_
1982-11-24	1982	11	13.1	_		_
1982-11-25	1982	11	13.1	_		_
1982-11-26	1982	11	13.1	_		_
1982-11-27	1982	11	13.1	_		_
1982-11-28	1982	11	14.1	_		_
1982-11-29	1982	11	15.1	_		_
1982-11-30	1982	11	18.7	_		_
1982-12-01	1982	12	21.1	_		_
1982-12-02	1982	12	21.1	_		_
1982-12-03	1982	12	21.9	_		_
1982-12-04	1982	12	21.9	_		_
1982-12-05	1982	12	21.9	_		_
1982-12-06	1982	12	21.9	_		_
1982-12-07	1982	12	21.9	_		_
1982-12-08	1982	12	21.9	_		_
1982-12-09	1982	12	21.9	_		_
1982-12-10	1982	12	21.9	_		_
1982-12-11	1982	12	21.9	_		_
1982-12-12	1982	12	21.9	_		_
1982-12-13	1982	12	21.9	_		_
1982-12-14	1982	12	21.9	_		_
1982-12-15	1982	12	21.9	_		_
1982-12-16	1982	12	21.9	_		_
1982-12-17	1982	12	21.9	_		_
1982-12-18	1982	12	22.3	_		_
1982-12-19	1982	12	22.7	_		_
1982-12-20	1982	12	23.1	_		_
1982-12-21	1982	12	25.1	_		_
1982-12-22	1982	12	29.1	_		_
1982-12-23	1982	12	33.7	_		_
1982-12-24	1982	12	34.3	_		_
1982-12-25	1982	12	34.7	_		_
1982-12-26	1982	12	34.7	_		_
1982-12-27	1982	12	34.7	_		_
1982-12-28	1982	12	34.7	_		_
1982-12-29	1982	12	34.7	_		_
1982-12-30	1982	12	34.7	_		_
1982-12-31	1982	12	34.7	_		_
1983-01-01	1983	1	34.7	_		_
1983-01-02	1983	1	34.7	_		_
1983-01-03	1983	1	34.9	_		_
1983-01-04	1983	1	35	_		_
1983-01-05	1983	1	35	_		_
1983-01-06	1983	1	35	_		_
1983-01-07	1983	1	35	_		_
1983-01-08	1983	1	35	_		_
1983-01-09	1983	1	35	_		_
1983-01-10	1983	1	34.9	_		_
1983-01-11	1983	1	34.9	_		_
1983-01-12	1983	1	34.9	_		_
