Date	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1988-12-01	10.08			
1988-12-02	9.93			
1988-12-03	9.79			
1988-12-04	9.64			
1988-12-05	9.49			
1988-12-06	9.35			
1988-12-07	9.2			
1988-12-08	9.05			
1988-12-09	9.05			
1988-12-10	9.05			
1988-12-11	9.05			
1988-12-12	9.05			
1988-12-13	9.05			
1988-12-14	9.05			
1988-12-15	9.05			
1988-12-16	9.05			
1988-12-17	9.05			
1988-12-18	9.2			
1988-12-19	9.35			
1988-12-20	9.49			
1988-12-21	9.64			
1988-12-22	10.43			
1988-12-23	11.61			
1988-12-24	12.01			
1988-12-25	12.6			
1988-12-26	12.6			
1988-12-27	12.79			
1988-12-28	13.19			
1988-12-29	16.99			
1988-12-30	16.99			
1988-12-31	17.64			
1989-01-01	17.6			
1989-01-02	17.6			
1989-01-03	17.64			
1989-01-04	17.64			
1989-01-05	17.64			
1989-01-06	18.95			
1989-01-07	18.95			
1989-01-08	18.9			
1989-01-09	18.95			
1989-01-10	18.95			
1989-01-11	18.9			
1989-01-12	18.95			
1989-01-13	18.95			
1989-01-14	18.95			
1989-01-15	18.9			
1989-01-16	18.95			
1989-01-17	18.95			
1989-01-18	18.95			
1989-01-19	18.95			
1989-01-20	18.95			
1989-01-21	18.95			
1989-01-22	18.95			
1989-01-23	18.95			
1989-01-24	18.95			
1989-01-25	18.95			
1989-01-26	18.95			
1989-01-27	18.95			
1989-01-28	18.95			
1989-01-29	18.95			
1989-01-30	18.3			
1989-01-31	18.3			
1989-02-01	18.3			
1989-02-02	19			
1989-02-03	19.6			
1989-02-04	22.87			
1989-02-05	23.52			
1989-02-06	23.52			
1989-02-07	23.52			
1989-02-08	23.52			
1989-02-09	23.52			
1989-02-10	24.18			
1989-02-11	24.18			
1989-02-12	24.18			
1989-02-13	24.18			
1989-02-14	24.18			
1989-02-15	24.18			
1989-02-16	24.18			
1989-02-17	24.18			
1989-02-18	24.18			
1989-02-19	24.18			
1989-02-20	24.83			
1989-02-21	24.76			
1989-02-22	24.69			
1989-02-23	24.61			
1989-02-24	24.54			
1989-02-25	24.47			
1989-02-26	24.4			
1989-02-27	24.32			
1989-02-28	24.25			
1989-03-01	24.18			
1989-03-02	25.48			
1989-03-03	28.1			
1989-03-04	28.1			
1989-03-05	28.1			
1989-03-06	28.75			
1989-03-07	28.75			
1989-03-08	29.89			
1989-03-09	31.04			
1989-03-10	32.18			
1989-03-11	33.33			
1989-03-12	33.33			
1989-03-13	33.98			
1989-03-14	33.98			
1989-03-15	33.33			
1989-03-16	33.33			
1989-03-17	33.72			
1989-03-18	34.11			
1989-03-19	34.51			
1989-03-20	34.9			
1989-03-21	35.29			
1989-03-22	35.29			
1989-03-23	35.29			
1989-03-24	35.3			
1989-03-25	35.3			
1989-03-26	35.37			
1989-03-27	35.44			
1989-03-28	35.51			
1989-03-29	35.58			
1989-03-30	35.65			
1989-03-31	35.72			
1989-04-01	35.79			
1989-04-02	35.86			
1989-04-03	35.93			
1989-04-04	36			
1989-04-05	35.66			
1989-04-06	35.31			
1989-04-07	34.97			
1989-04-08	34.63			
1989-04-09	34.29			
1989-04-10	33.94			
1989-04-11	33.6			
1989-04-12	33			
1989-04-13				
1989-04-14				
1989-04-15				
1989-04-16				
1989-04-17				
1989-04-18				
1989-04-19				
1989-04-20				
1989-04-21				
1989-04-22				
1989-04-23				
1989-04-24				
1989-04-25				
1989-04-26				
1989-04-27				
1989-04-28				
1989-04-29				
1989-04-30				
1989-05-01				
1989-05-02				
1989-05-03				
1989-05-04				
1989-05-05				
1989-05-06				
1989-05-07				
1989-05-08				
1989-05-09				
1989-05-10				
1989-05-11				
1989-05-12				
1989-05-13				
1989-05-14				
1989-05-15				
1989-05-16				
1989-05-17				
1989-05-18				
1989-05-19				
1989-05-20				
1989-05-21				
1989-05-22				
1989-05-23				
1989-05-24				
1989-05-25				
1989-05-26				
1989-05-27				
1989-05-28				
1989-05-29				
1989-05-30				
1989-05-31				
1989-06-01				
1989-06-02				
1989-06-03				
1989-06-04				
1989-06-05				
1989-06-06				
1989-06-07				
1989-06-08				
1989-06-09				
1989-06-10				
1989-06-11				
1989-06-12				
1989-06-13				
1989-06-14				
1989-06-15				
1989-06-16				
1989-06-17				
1989-06-18				
1989-06-19				
1989-06-20				
1989-06-21				
1989-06-22				
1989-06-23				
1989-06-24				
1989-06-25				
1989-06-26				
1989-06-27				
1989-06-28				
1989-06-29				
1989-06-30				
1989-07-01				
1989-07-02				
1989-07-03				
1989-07-04				
1989-07-05				
1989-07-06				
1989-07-07				
1989-07-08				
1989-07-09				
1989-07-10				
1989-07-11				
1989-07-12				
1989-07-13				
1989-07-14				
1989-07-15				
1989-07-16				
1989-07-17				
1989-07-18				
1989-07-19				
1989-07-20				
1989-07-21				
1989-07-22				
1989-07-23				
1989-07-24				
1989-07-25				
1989-07-26				
1989-07-27				
1989-07-28				
1989-07-29				
1989-07-30				
1989-07-31				
1989-08-01				
1989-08-02				
1989-08-03				
1989-08-04				
1989-08-05				
1989-08-06				
1989-08-07				
1989-08-08				
1989-08-09				
1989-08-10				
1989-08-11				
1989-08-12				
1989-08-13				
1989-08-14				
1989-08-15				
1989-08-16				
1989-08-17				
1989-08-18				
1989-08-19				
1989-08-20				
1989-08-21				
1989-08-22				
1989-08-23				
1989-08-24				
1989-08-25				
1989-08-26				
1989-08-27				
1989-08-28				
1989-08-29				
1989-08-30				
1989-08-31				
1989-09-01				
1989-09-02				
1989-09-03				
1989-09-04				
1989-09-05				
1989-09-06				
1989-09-07				
1989-09-08				
1989-09-09				
1989-09-10				
1989-09-11				
1989-09-12				
1989-09-13				
1989-09-14				
1989-09-15				
1989-09-16				
1989-09-17				
1989-09-18				
1989-09-19				
1989-09-20				
1989-09-21				
1989-09-22				
1989-09-23				
1989-09-24				
1989-09-25				
1989-09-26				
1989-09-27				
1989-09-28				
1989-09-29				
1989-09-30				
1989-10-01				
1989-10-02				
1989-10-03				
1989-10-04				
1989-10-05				
1989-10-06				
1989-10-07				
1989-10-08				
1989-10-09				
1989-10-10				
1989-10-11				
1989-10-12				
1989-10-13				
1989-10-14				
1989-10-15				
1989-10-16				
1989-10-17				
1989-10-18				
1989-10-19				
1989-10-20				
1989-10-21				
1989-10-22				
1989-10-23				
1989-10-24				
1989-10-25				
1989-10-26				
1989-10-27				
1989-10-28				
1989-10-29				
1989-10-30				
1989-10-31				
1989-11-01				
1989-11-02				
1989-11-03				
1989-11-04				
1989-11-05				
1989-11-06				
1989-11-07				
1989-11-08				
1989-11-09				
1989-11-10				
1989-11-11				
1989-11-12				
1989-11-13				
1989-11-14				
1989-11-15				
1989-11-16				
1989-11-17				
1989-11-18				
1989-11-19				
1989-11-20				
1989-11-21				
1989-11-22				
1989-11-23				
1989-11-24				
1989-11-25	0			
1989-11-26	0.87			
1989-11-27	1.73			
1989-11-28	2.6			
1989-11-29	2.6			
1989-11-30	2.6			
1989-12-01	2.6			
1989-12-02	2.6			
1989-12-03	2.6			
1989-12-04	2.6			
1989-12-05	2.6			
1989-12-06	2.6			
1989-12-07	2.6			
1989-12-08	2.6			
1989-12-09	2.6			
1989-12-10	2.6			
1989-12-11	2.6			
1989-12-12	2.6			
1989-12-13	2.6			
1989-12-14	2.6			
1989-12-15	2.6			
1989-12-16	2.6			
1989-12-17	2.6			
1989-12-18	2.61			
1989-12-19	2.61			
1989-12-20	2.61			
1989-12-21	2.61			
1989-12-22	2.61			
1989-12-23	2.61			
1989-12-24	2.61			
1989-12-25	2.61			
1989-12-26	2.61			
1989-12-27	2.61			
1989-12-28	2.61			
1989-12-29	2.61			
1989-12-30	2.61			
1989-12-31	2.61			
1990-01-01				
1990-01-02	2			
1990-01-03				
1990-01-04	2			
1990-01-05	2			
1990-01-06				
1990-01-07	1.96			
1990-01-08	1.96			
1990-01-09	2.6			
1990-01-10				
1990-01-11				
1990-01-12	1.96			
1990-01-13	4.57			
1990-01-14	7.18			
1990-01-15				
1990-01-16	6.5			
1990-01-17				
1990-01-18				
1990-01-19				
1990-01-20	8.5			
1990-01-21	7.1			
1990-01-22	7.1			
1990-01-23				
1990-01-24	8.49			
1990-01-25				
1990-01-26				
1990-01-27	8.5			
1990-01-28	8.5			
1990-01-29	8.5			
1990-01-30	7.84			
1990-01-31	9.1			
1990-02-01	9.8			
1990-02-02	9.8			
1990-02-03	9.8			
1990-02-04	10.4			
1990-02-05	11.1			
1990-02-06	11.7			
1990-02-07	11.8			
1990-02-08	11.8			
1990-02-09	11.8			
1990-02-10	11.8			
1990-02-11	11.8			
1990-02-12	11.8			
1990-02-13	11.8			
1990-02-14				
1990-02-15				
