Date	SWE_Inches
1930-02-01	20.4
1930-03-01	26.1
1930-04-01	35.7
1930-05-01	
1931-02-01	16.4
1931-03-01	21.5
1931-04-01	20.8
1931-05-01	
1932-02-01	39.1
1932-03-01	53.2
1932-04-01	51.7
1932-05-01	
1933-02-01	25
1933-03-01	24.8
1933-04-01	38.1
1933-06-01	
1934-02-01	16.5
1934-03-01	25.2
1934-05-01	
1935-03-01	32.3
1935-04-01	39.9
1935-05-01	56.7
1936-03-01	53
1936-04-01	41.6
1936-05-01	50.4
1937-03-01	49.2
1937-04-01	57.1
1937-05-01	57
1938-03-01	37.4
1938-04-01	54.5
1938-05-01	50.7
1939-02-01	12.8
1939-03-01	19.5
1939-04-01	25.8
1939-05-01	9.8
1940-02-01	27.2
1940-03-01	45.2
1940-04-01	56
1940-05-01	55
1941-02-01	40.3
1941-03-01	52.7
1941-04-01	64.2
1941-05-01	70
1942-03-01	48
1942-04-01	50.4
1942-05-01	45.4
1943-03-01	41.6
1943-04-01	53.8
1943-05-01	50
1944-02-01	16.5
1944-03-01	32.5
1944-04-01	35.4
1944-05-01	41.5
1945-02-01	24
1945-03-01	35
1945-04-01	50.8
1945-05-01	55
1946-04-01	46.7
1946-05-01	45
1947-02-01	26.5
1947-03-01	30.2
1947-04-01	34.2
1947-05-01	21.2
1948-02-01	9.4
1948-03-01	16
1948-04-01	27.4
1948-05-01	42.2
1949-02-01	17.4
1949-03-01	27.2
1949-04-01	38.4
1949-05-01	33.6
1950-02-01	29.8
1950-03-01	35.6
1950-04-01	42.5
1950-05-01	31.9
1951-02-01	25.9
1951-03-01	25.9
1951-04-01	32.4
1951-05-01	29.3
1952-02-01	47.9
1952-03-01	55.8
1952-04-01	77.3
1952-05-01	74.2
1953-02-01	27.7
1953-03-01	27.6
1953-04-01	35.3
1953-05-01	36.8
1954-02-01	16.4
1954-03-01	27
1954-04-01	38.4
1954-05-01	38.6
1955-02-01	26.6
1955-03-01	31
1955-04-01	31.9
1955-05-01	40.1
1956-02-01	55
1956-03-01	59
1956-04-01	60
1956-05-01	56.8
1957-02-01	14.6
1957-03-01	24.2
1957-04-01	35.9
1957-05-01	38.9
1958-02-01	20
1958-03-01	35.9
1958-04-01	54.7
1958-05-01	67.1
1959-02-01	15.3
1959-03-01	30.7
1959-04-01	31.2
1959-05-01	29.3
1960-02-01	12.9
1960-03-01	27.1
1960-04-01	39.6
1960-05-01	31.4
1961-02-01	13.8
1961-03-01	17.2
1961-04-01	22.3
1961-05-01	21.8
1962-02-01	16.8
1962-03-01	43.8
1962-04-01	53.6
1962-05-01	40.3
1963-03-01	20
1963-04-01	25.8
1963-05-01	26.6
1964-02-01	18.9
1964-03-01	19.4
1964-04-01	22
1964-05-01	24.1
1965-02-01	30.4
1965-03-01	37.3
1965-04-01	49.1
1965-05-01	48.3
1966-02-01	31.3
1966-03-01	36.2
1966-04-01	41.8
1966-05-01	28
1967-02-01	33.8
1967-03-01	40.7
1967-04-01	52.9
1967-05-01	70
1967-06-01	
1968-02-01	17.9
1968-03-01	33.1
1968-04-01	31.4
1968-05-01	21.8
1969-02-01	56
1969-04-01	85.7
1969-05-01	88.2
1969-06-01	
1970-02-01	
1970-03-01	
1970-04-01	
1970-05-01	36.1
1971-02-01	33.9
1971-03-01	32.6
1971-04-01	40.5
1971-05-01	39.9
1972-02-01	29
1972-03-01	33.5
1972-04-01	32
1972-05-01	34
1973-02-01	28.3
1973-03-01	44.4
1973-04-01	52
1973-05-01	50.6
1974-02-01	34.6
1974-03-01	31.4
1974-04-01	49.9
1974-05-01	53.2
1975-02-01	17.6
1975-03-01	34.5
1975-04-01	47.4
1975-05-01	56.8
1975-06-01	
1976-02-01	4.3
1976-03-01	10.9
1976-04-01	14.8
1976-05-01	12
1977-02-01	5
1977-03-01	10.7
1977-04-01	13.8
1977-05-01	2
1978-02-01	41.7
1978-03-01	57.3
1978-04-01	72.6
1978-05-01	75.6
1979-02-01	
1979-03-01	38
1979-04-01	45
1979-05-01	47.6
1980-02-01	40.8
1980-03-01	48.8
1980-04-01	58.8
1980-05-01	64.2
1981-02-01	17.9
1981-03-01	
1981-04-01	
1981-05-01	31.1
1982-02-01	38.7
1982-03-01	49.6
1982-04-01	64.2
1982-05-01	71.8
1983-02-01	46.6
1983-04-01	
1983-05-01	95.5
1983-06-01	
1984-01-01	0
1984-02-01	38.1
1984-03-01	48.3
1984-04-01	52.9
1984-05-01	48.4
1985-02-01	21.6
1985-03-01	28
1985-04-01	38.1
1985-05-01	32.9
1986-02-01	28.6
1986-03-01	69.8
1986-04-01	82.7
1986-05-01	76.7
1987-02-01	8.3
1987-03-01	16.8
1987-04-01	22.1
1987-05-01	14.9
1988-02-01	23.6
1988-03-01	25.5
1988-04-01	23.5
1988-05-01	14.7
1989-02-01	20.3
1989-03-01	25.7
1989-04-01	41.6
1989-05-01	30.6
1990-01-01	
1990-02-01	13.9
