Date	SWE_Inches
1948-02-01	6.2
1948-03-01	15
1948-04-01	33.2
1948-05-01	43.9
1949-02-01	24.6
1949-03-01	35.4
1949-04-01	51.1
1950-03-01	39.7
1950-04-01	47.6
1951-03-01	23.2
1951-04-01	29.8
1952-03-01	67.7
1952-04-01	83.2
1953-03-01	32.3
1953-04-01	38.1
1954-03-01	30.9
1954-04-01	46
1955-02-01	25.6
1955-03-01	34.2
1955-04-01	32.1
1956-02-01	56.2
1956-03-01	61.6
1956-04-01	56.8
1957-02-01	19.4
1957-03-01	30.7
1957-04-01	40
1958-02-01	27
1958-03-01	44.6
1958-04-01	70.2
1959-02-01	17.6
1959-03-01	35.3
1959-04-01	34.9
1960-02-01	14.7
1960-03-01	30.3
1960-04-01	35.1
1961-02-01	13.1
1961-03-01	13.2
1961-04-01	23.3
1962-02-01	16.6
1962-03-01	51.3
1962-04-01	61.5
1963-03-01	12.6
1963-04-01	23
1964-02-01	20.2
1964-03-01	20.7
1964-04-01	25.7
1965-02-01	52.4
1965-03-01	53.7
1965-04-01	57.7
1966-02-01	34.5
1966-03-01	41.4
1966-04-01	39.6
1967-02-01	38.4
1967-03-01	36.4
1967-04-01	53.6
1967-05-01	76
1968-02-01	21
1968-03-01	29.4
1968-04-01	35.8
1969-03-01	83.3
1969-04-01	88.8
1969-05-01	85.5
1970-04-01	37.5
1971-04-01	48.8
1972-04-01	30.8
1973-04-01	57.3
1974-04-01	53.8
1975-04-01	58.2
1976-04-01	15.9
1977-04-01	12.7
1978-04-01	71.1
1979-04-01	49.3
1980-04-01	60.7
1981-04-01	31.4
1982-01-01	0
1982-02-01	0
1982-04-01	61.8
1983-04-01	82.4
1984-03-01	0
1984-04-01	48.4
1986-04-01	69
1987-04-01	20.9
1988-04-01	18
1989-03-01	23.5
1989-04-01	37.5
1989-05-01	25.9
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	22.1
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	29.4
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	26.8
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	70
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	25
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	51.5
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	56
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	66
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	51.4
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	47
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
