Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1988-12-01	1988	12	5.88	_		_
1988-12-02	1988	12	5.88	_		_
1988-12-03	1988	12	5.88	_		_
1988-12-04	1988	12	5.88	_		_
1988-12-05	1988	12	5.88	_		_
1988-12-06	1988	12	5.88	_		_
1988-12-07	1988	12	5.88	_		_
1988-12-08	1988	12	5.9	_		_
1988-12-09	1988	12	5.88	_		_
1988-12-10	1988	12	5.88	_		_
1988-12-11	1988	12	5.9	_		_
1988-12-12	1988	12	5.88	_		_
1988-12-13	1988	12	5.88	_		_
1988-12-14	1988	12	5.88	_		_
1988-12-15	1988	12	5.88	_		_
1988-12-16	1988	12	5.88	_		_
1988-12-17	1988	12	5.88	_		_
1988-12-18	1988	12	6.53	_		_
1988-12-19	1988	12	6.53	_		_
1988-12-20	1988	12	7.19	_		_
1988-12-21	1988	12	9.15	_		_
1988-12-22	1988	12	10.13	_		_
1988-12-23	1988	12	11.11	_		_
1988-12-24	1988	12	12.09	_		_
1988-12-25	1988	12	13.07	_		_
1988-12-26	1988	12	14.05	_		_
1988-12-27	1988	12	15.03	_		_
1988-12-28	1988	12	15.03	_		_
1988-12-29	1988	12	15.68	_		_
1988-12-30	1988	12	15.7	_		_
1988-12-31	1988	12	15.68	_		_
1989-01-01	1989	1	16	_		_
1989-01-02	1989	1	16	_		_
1989-01-03	1989	1	16	_		_
1989-01-04	1989	1	16	_		_
1989-01-05	1989	1	16.34	_		_
1989-01-06	1989	1	17.64	_		_
1989-01-07	1989	1	17.64	_		_
1989-01-08	1989	1	18.3	_		_
1989-01-09	1989	1	18.3	_		_
1989-01-10	1989	1	18.3	_		_
1989-01-11	1989	1	18.3	_		_
1989-01-12	1989	1	18.3	_		_
1989-01-13	1989	1	18.3	_		_
1989-01-14	1989	1	18.3	_		_
1989-01-15	1989	1	18.3	_		_
1989-01-16	1989	1	18.3	_		_
1989-01-17	1989	1	18.3	_		_
1989-01-18	1989	1	18.3	_		_
1989-01-19	1989	1	18.3	_		_
1989-01-20	1989	1	18.3	_		_
1989-01-21	1989	1	18.3	_		_
1989-01-22	1989	1	18.3	_		_
1989-01-23	1989	1	18.3	_		_
1989-01-24	1989	1	18.3	_		_
1989-01-25	1989	1	18.3	_		_
1989-01-26	1989	1	18.3	_		_
1989-01-27	1989	1	18.3	_		_
1989-01-28	1989	1	18.3	_		_
1989-01-29	1989	1	18.3	_		_
1989-01-30	1989	1	18.3	_		_
1989-01-31	1989	1	18.3	_		_
1989-02-01	1989	2	18.3	_		_
1989-02-02	1989	2	18.6	_		_
1989-02-03	1989	2	18.95	_		_
1989-02-04	1989	2	21.57	_		_
1989-02-05	1989	2	22.22	_		_
1989-02-06	1989	2	22.22	_		_
1989-02-07	1989	2	22.22	_		_
1989-02-08	1989	2	22.22	_		_
1989-02-09	1989	2	22.22	_		_
1989-02-10	1989	2	22.2	_		_
1989-02-11	1989	2	22.87	_		_
1989-02-12	1989	2	22.87	_		_
1989-02-13	1989	2	22.87	_		_
1989-02-14	1989	2	23.5	_		_
1989-02-15	1989	2	23.53	_		_
1989-02-16	1989	2	23.53	_		_
1989-02-17	1989	2	23.53	_		_
1989-02-18	1989	2	23.5	_		_
1989-02-19	1989	2	23.53	_		_
1989-02-20	1989	2	23.53	_		_
1989-02-21	1989	2	23.53	_		_
1989-02-22	1989	2	23.53	_		_
1989-02-23	1989	2	23.53	_		_
1989-02-24	1989	2	22.87	_		_
1989-02-25	1989	2	22.87	_		_
1989-02-26	1989	2	22.87	_		_
1989-02-27	1989	2	22.22	_		_
1989-02-28	1989	2	22.22	_		_
1989-03-01	1989	3	22.22	_		_
1989-03-02	1989	3	23.53	_		_
1989-03-03	1989	3	24.62	_		_
1989-03-04	1989	3	24.92	_		_
1989-03-05	1989	3	25.23	_		_
1989-03-06	1989	3	25.53	_		_
1989-03-07	1989	3	25.84	_		_
1989-03-08	1989	3	26.14	_		_
1989-03-09	1989	3	26.14	_		_
1989-03-10	1989	3	26.14	_		_
1989-03-11	1989	3	26.14	_		_
1989-03-12	1989	3	26.14	_		_
1989-03-13	1989	3	26.14	_		_
1989-03-14	1989	3	26.14	_		_
1989-03-15	1989	3	26.14	_		_
1989-03-16	1989	3	26.14	_		_
1989-03-17	1989	3	26.14	_		_
1989-03-18	1989	3	26.14	_		_
1989-03-19	1989	3	26.14	_		_
1989-03-20	1989	3	26.14	_		_
1989-03-21	1989	3	25.49	_		_
1989-03-22	1989	3	25.49	_		_
1989-03-23	1989	3	24.83	_		_
1989-03-24	1989	3	24.18	_		_
1989-03-25	1989	3	26.14	_		_
1989-03-26	1989	3	27.45	_		_
1989-03-27	1989	3	27.45	_		_
1989-03-28	1989	3	27.45	_		_
1989-03-29	1989	3	26.79	_		_
1989-03-30	1989	3	26.79	_		_
1989-03-31	1989	3	26.79	_		_
1989-04-01	1989	4	26.14	_		_
1989-04-02	1989	4	26.14	_		_
1989-04-03	1989	4	25.49	_		_
1989-04-04	1989	4	24.83	_		_
1989-04-05	1989	4	24.18	_		_
1989-04-06	1989	4	23.53	_		_
1989-04-07	1989	4	22.87	_		_
1989-04-08	1989	4	21.57	_		_
1989-04-09	1989	4	20.91	_		_
1989-04-10	1989	4	19.61	_		_
1989-04-11	1989	4	18.3	_		_
1989-04-12	1989	4	17.64	_		_
1989-04-13	1989	4	16.99	_		_
1989-04-14	1989	4	15.68	_		_
1989-04-15	1989	4	14.38	_		_
1989-04-16	1989	4	13.07	_		_
1989-04-17	1989	4	12.42	_		_
1989-04-18	1989	4	11.11	_		_
1989-04-19	1989	4	9.8	_		_
1989-04-20	1989	4	8.49	_		_
1989-04-21	1989	4	7.19	_		_
1989-04-22	1989	4	6.53	_		_
1989-04-23	1989	4	5.88	_		_
1989-04-24	1989	4	7.19	_		_
1989-04-25	1989	4	8.49	_		_
1989-04-26	1989	4	8.49	_		_
1989-04-27	1989	4	8.49	_		_
1989-04-28	1989	4	8.49	_		_
1989-04-29	1989	4	8.49	_		_
1989-04-30	1989	4	7.84	_		_
1989-05-01	1989	5	7.19	_		_
1989-05-02	1989	5	6.53	_		_
1989-05-03	1989	5	4.57	_		_
1989-05-04	1989	5	3.27	_		_
1989-05-05	1989	5	1.31	_		_
1989-05-06	1989	5	0	_		_
1989-05-07	1989	5	0	_		_
1989-05-08	1989	5	0	_		_
1989-05-09	1989	5	0	_		_
1989-05-10	1989	5	0	_		_
1989-05-11	1989	5	0	_		_
1989-05-12	1989	5	0	_		_
1989-05-13	1989	5	0	_		_
1989-05-14	1989	5	0	_		_
1989-05-15	1989	5	0	_		_
1989-05-16	1989	5	0	_		_
1989-05-17	1989	5	0	_		_
1989-05-18	1989	5	0	_		_
1989-05-19	1989	5	0	_		_
1989-05-20	1989	5	0	_		_
1989-05-21	1989	5	0	_		_
1989-05-22	1989	5	0	_		_
1989-05-23	1989	5	0	_		_
1989-05-24	1989	5	0	_		_
1989-05-25	1989	5	0	_		_
1989-05-26	1989	5	0	_		_
