Date	SWE_Inches
1938-04-01	54.5
1939-04-01	22.3
1939-05-01	7.3
1940-02-01	18.8
1940-03-01	35.7
1940-04-01	40.5
1940-05-01	32.6
1941-02-01	23.1
1941-03-01	41.3
1941-04-01	47.4
1941-05-01	44.2
1942-02-01	29.8
1942-03-01	36.3
1942-04-01	35.9
1942-05-01	40.4
1943-02-01	30.7
1943-03-01	29.1
1943-04-01	43.6
1944-02-01	14.2
1944-03-01	28.9
1944-04-01	32.7
1944-05-01	32.9
1945-02-01	17.6
1945-03-01	31.1
1945-04-01	44.4
1945-05-01	33.7
1946-02-01	24.5
1946-03-01	28.9
1946-04-01	36
1947-02-01	20.7
1947-03-01	22.7
1947-04-01	25.3
1947-05-01	11.2
1948-02-01	3.2
1948-03-01	9
1948-04-01	22
1948-05-01	33.1
1949-02-01	17.1
1949-03-01	23.7
1949-04-01	38
1949-05-01	22.4
1950-02-01	23.7
1950-03-01	30.4
1950-04-01	34.6
1950-05-01	23.8
1951-02-01	12.9
1951-03-01	16.8
1951-04-01	17.2
1951-05-01	8.2
1952-02-01	41.3
1952-03-01	48.7
1952-04-01	60.4
1952-05-01	56.4
1953-02-01	21.5
1953-03-01	22.2
1953-04-01	24.1
1953-05-01	14.3
1954-02-01	12.2
1954-03-01	22.9
1954-04-01	34.5
1954-05-01	20.9
1955-02-01	20.3
1955-03-01	23.1
1955-04-01	24.9
1955-05-01	25.7
1956-02-01	42.1
1956-03-01	44.7
1956-04-01	43.8
1956-05-01	39.6
1957-02-01	14.1
1957-03-01	21.2
1957-04-01	29.7
1957-05-01	22.9
1958-02-01	20.6
1958-03-01	31.6
1958-04-01	46
1958-05-01	55.9
1959-02-01	9.9
1959-03-01	25.8
1959-04-01	23.4
1959-05-01	8.4
1960-02-01	9.9
1960-03-01	21.7
1960-04-01	24.8
1960-05-01	14
1961-02-01	13.9
1961-03-01	13.9
1961-04-01	20.1
1961-05-01	5.6
1962-02-01	14.7
1962-03-01	39
1962-04-01	47.6
1962-05-01	30.9
1963-03-01	12.6
1963-04-01	24.9
1963-05-01	32.3
1964-02-01	16
1964-03-01	14.1
1964-04-01	15.9
1964-05-01	12.9
1965-02-01	33.9
1965-03-01	35.3
1965-04-01	39.3
1965-05-01	36
1966-02-01	29
1966-03-01	33.1
1966-04-01	27.1
1966-05-01	5.7
1967-02-01	26.2
1967-03-01	26
1967-04-01	39.4
1967-05-01	55.6
1967-06-01	
1968-02-01	12
1968-03-01	18
1968-04-01	19.8
1968-05-01	10.2
1969-02-01	45
1969-04-01	70.2
1969-05-01	72.3
1969-06-01	
1970-02-01	
1970-03-01	
1970-04-01	
1970-05-01	23.4
1971-02-01	26.6
1971-03-01	29.8
1971-04-01	32
1971-05-01	27
1972-02-01	25.8
1972-03-01	26.2
1972-04-01	19.6
1972-05-01	17.8
1973-02-01	23
1973-03-01	37.9
1973-04-01	41.5
1973-05-01	46.6
1974-02-01	26.7
1974-03-01	24.8
1974-04-01	39.2
1974-05-01	36.9
1975-02-01	16.5
1975-03-01	30
1975-04-01	42.8
1975-05-01	52.7
1975-06-01	
1976-02-01	4.5
1976-03-01	9.7
1976-04-01	14
1976-05-01	5.7
1977-02-01	4.3
1977-03-01	6.8
1977-04-01	9
1977-05-01	0
1978-02-01	35.8
1978-03-01	48.4
1978-04-01	62.1
1978-05-01	66.8
1979-02-01	
1979-03-01	29.7
1979-04-01	37.8
1979-05-01	36.6
1980-02-01	24.4
1980-03-01	46.4
1980-04-01	48.6
1980-05-01	46
1981-02-01	15.8
1981-03-01	
1981-04-01	
1981-05-01	18.5
1982-02-01	28.9
1982-03-01	34
1982-04-01	43.8
1982-05-01	50
1983-02-01	41.7
1983-04-01	
1983-05-01	89.7
1983-06-01	
1984-02-01	29.3
1984-03-01	27.2
1984-04-01	30.1
1984-05-01	25.3
1985-02-01	18.2
1985-03-01	22.6
1985-04-01	31.1
1985-05-01	22
1986-02-01	19.3
1986-03-01	49.3
1986-04-01	54.2
1986-05-01	40.1
1987-02-01	5.7
1987-03-01	12.9
1987-04-01	19.6
1987-05-01	0
1988-02-01	16.1
1988-03-01	15.2
1988-04-01	12
1988-05-01	5.6
1989-02-01	16.9
1989-03-01	20.2
1989-04-01	26.2
1989-05-01	7.4
1990-01-01	
1990-02-01	12.1
1990-03-01	19.1
1990-04-01	17.6
1990-05-01	3.7
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	3.8
1991-03-01	7.5
1991-04-01	26.3
1991-05-01	24.9
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	10.4
1992-03-01	20.1
1992-04-01	24.6
1992-05-01	3.7
1992-06-01	
1992-07-01	
