PercentSnow	Sample_Name	Age_B2010	TotalUncert	ErosionRate_gcm2ka	ScalingBeSpallation	ScalingFastMuonsBe	ScalingSlowMuonsBe	ProductionBeSpallation	ProductionMuonSpallationBe	QsBe	QmuBe	InternalUncert
0	C2-Boulder1	15.7	1.2	0.278	12.1479	4.3561	4.3561	45.5592	0.2333	0.9674	0.9827	0.324
0	C2-Boulder2	14.7	1.2	0.278	12.2136	4.3734	4.3734	45.6475	0.2326	0.9628	0.9751	0.390
0	UpLy-12-10	14.0	1.1	0.278	12.0622	4.3335	4.3335	45.6175	0.2336	0.9735	0.9865	0.299
0	LoLy-11-08	15.3	1.2	0.278	7.8460	3.1802	3.1802	29.0005	0.1735	0.9810	0.9939	0.397
0	TM14-01	14.9	1.1	0.000	9.0345	3.5149	3.5149	33.8473	0.1922	0.9801	0.9936	0.264
0	TM14-02	14.6	1.1	0.000	7.9146	3.1997	3.1997	28.8491	0.1731	0.9588	0.9770	0.299
0	TM14-03	15.5	1.2	0.000	7.8474	3.1806	3.1806	28.7432	0.1729	0.9653	0.9830	0.350
0	TM14-04	14.1	1.1	0.000	7.8595	3.1840	3.1840	29.6544	0.1755	0.9955	0.9985	0.240
0	TM14-05	14.0	1.1	0.000	7.8284	3.1752	3.1752	29.4778	0.1747	0.9956	0.9985	0.341
0	TM14-06	14.8	1.1	0.278	7.8615	3.1847	3.1847	29.5986	0.1751	0.9957	0.9985	0.313
0	TM14-07	16.6	1.3	0.270	7.6990	3.1391	3.1391	29.0905	0.1764	0.9657	0.9839	0.392
0	TM14-11	14.0	1.1	0.267	7.5070	3.0846	3.0846	28.7589	0.1750	0.9821	0.9944	0.310
0	TM14-12	16.0	1.3	0.267	7.5448	3.0955	3.0955	28.7962	0.1755	0.9744	0.9899	0.401
0	TM14-13	22.1	1.7	0.267	7.5319	3.0918	3.0918	28.3299	0.1728	0.9765	0.9924	0.667
0	TM14-15	15.2	1.1	0.000	7.3395	3.0364	3.0364	28.0287	0.1725	0.9774	0.9921	0.267
