Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	Jan_Insol_MJperM2	Feb_Insol_MJperM2	Mar_Insol_MJperM2	Apr_Insol_MJperM2	May_Insol_MJperM2	Jun_Insol_MJperM2	Jul_Insol_MJperM2	Aug_Insol_MJperM2	Sep_Insol_MJperM2	Oct_Insol_MJperM2	Nov_Insol_MJperM2	Dec_Insol_MJperM2	River_Basin	Record_Type
DAN	Dana Meadows	37.897	-119.257	9800	2990	223.12	303.20	508.88	659.80	807.54	827.72	831.21	727.46	560.80	368.89	237.21	191.30	Tuolumne	BOTH
RFM	Rafferty Meadows	37.837	-119.325	9400	2870	242.55	322.40	527.53	669.33	804.48	818.07	825.01	733.44	577.53	389.33	256.62	209.19	Tuolumne	MONTHLY
BNP	Bond Pass	38.178	-119.623	9300	2830	220.58	300.52	505.73	657.81	805.01	823.98	828.23	725.45	557.79	365.83	234.71	188.97	Tuolumne	MONTHLY
SLI	Slide Canyon	38.092	-119.430	9200	2800	178.64	246.59	421.39	556.45	686.80	707.17	707.27	615.71	467.57	301.76	190.33	151.75	Tuolumne	ONLY_DAILY
NGM	New Grace Meadow	38.150	-119.617	8900	2710	263.98	340.66	538.34	662.46	777.28	783.00	793.07	719.71	583.97	407.23	277.46	230.23	Tuolumne	MONTHLY
TUM	Tuolumne Meadows	37.873	-119.350	8600	2620	211.48	290.13	491.61	642.28	788.11	807.55	811.35	709.03	543.07	353.87	225.40	180.71	Tuolumne	BOTH
HRS	Horse Meadow	38.158	-119.662	8400	2560	180.26	234.75	381.55	493.50	587.36	592.31	599.34	541.11	419.66	282.91	189.57	156.62	Tuolumne	BOTH
WLW	Wilma Lake	38.083	-119.633	8000	2440	211.60	289.49	488.74	635.95	777.17	794.87	799.18	701.49	539.22	352.91	225.13	180.12	Tuolumne	MONTHLY
SAS	Sachse Springs	38.085	-119.837	7900	2410	249.95	329.90	532.26	664.95	788.85	797.39	806.65	725.35	580.07	396.98	264.22	216.39	Tuolumne	MONTHLY
WHW	White Wolf	37.8595	-119.6516	7900	2410	194.38	271.38	468.67	621.78	770.60	792.51	794.74	688.97	520.24	332.90	208.00	165.07	Tuolumne	ONLY_DAILY
SPF	Spotted Fawn	38.092	-119.758	7800	2380	200.66	277.89	475.19	625.27	770.34	790.37	793.52	691.37	526.13	339.94	214.28	170.69	Tuolumne	MONTHLY
HCL	Huckleberry Lake	38.102	-119.745	7800	2380	201.03	278.18	475.24	625.35	769.83	789.54	792.85	691.48	526.10	340.35	214.53	170.73	Tuolumne	MONTHLY
PDS	Paradise Meadow	38.047	-119.670	7650	2330	231.82	310.83	508.75	641.79	767.52	778.51	786.12	701.98	556.30	375.69	245.72	198.48	Tuolumne	BOTH
KRC	Kerrick Corral	38.177	-119.960	7000	2130	232.99	305.99	486.58	595.96	703.53	709.60	719.02	648.74	526.68	367.15	246.09	201.68	Tuolumne	MONTHLY
VNN	Vernon Lake	38.017	-119.717	6700	2040	198.03	274.04	466.00	607.73	742.33	759.27	763.45	670.00	514.73	334.96	211.34	167.80	Tuolumne	MONTHLY
LKB	Lower Kibbie	38.033	-119.878	6700	2040	197.34	266.84	447.62	566.67	682.75	695.36	700.31	621.22	490.29	325.80	209.10	169.92	Tuolumne	MONTHLY
UKR	Upper Kibbie Ridge	38.043	-119.887	6700	2040	220.81	297.70	491.85	626.57	753.39	765.41	772.35	686.77	539.25	360.69	234.53	189.70	Tuolumne	MONTHLY
BEM	Bell Meadow	38.167	-119.942	6500	1980	181.78	256.22	445.88	593.45	735.96	756.84	759.03	657.89	495.58	315.10	194.92	153.67	Tuolumne	MONTHLY
BHV	Beehive Meadow	37.995	-119.780	6500	1980	231.22	308.54	503.00	632.37	752.40	761.02	769.63	690.65	549.41	372.49	244.97	199.03	Tuolumne	MONTHLY
SNF	Snow Flat	37.827	-119.497	8700	2650	241.46	321.64	526.71	668.31	802.45	815.44	822.64	732.14	576.74	388.56	255.67	208.39	Merced	BOTH
STR	Ostrander Lake	37.637	-119.550	8200	2500	164.38	238.34	429.05	588.85	746.59	774.85	773.53	657.88	481.48	295.98	177.31	137.48	Merced	BOTH
