Lab_ID	Core	Composite_Core_Depth_cm	Age_14Cyr_B1950	SD_14Cyr_B1950	Start1SD_calYr	End1SD_calYr	MedianAge_calYr		Difference from Calib5
WW4886L	02-8a	60.0	585	44	542	640	600		9
WW4885L	43136	63.5	566	42	534	634	595		11
WW4887L	43136	79.5	969	42	799	868	863		-2
WW4888L	43136	123.5	1912	35	1822	1892	1859		2
WW4889L	43136	169.7	2683	37	2753	2841	2789		-8
WW4890L	43136	221.8	3196	38	3384	3449	3419		3
WW4891L	43136	250.9	3871	46	4242	4404	4302		-21
WW4892L	43136	566.6	9495	52	10663	11065	10774		-90
WW4893L	43136	607.6	9929	53	11245	11397	11343		22
WW4894L	43136	619.7	10479	58	12241	12555	12427		29
WW4895L	43136	706.5	12152	63	13940	14136	14028		-10
WW4884L	43136	717.0	12640	40	14950	15151	15042		-9
Beta 202661	43136	865.5	14810	70	17910	18112	18017		6
