CoreDepth_cm	Years_B1950	MagSus
77.0	818.9	0.4
80.0	871.1	0.1
82.0	916.5	3.0
85.0	984.6	2.0
87.0	1030.1	2.5
90.0	1098.2	3.1
95.0	1211.7	-0.9
100.0	1325.3	2.0
105.0	1438.9	1.9
107.0	1484.3	0.6
110.0	1552.4	1.1
115.0	1666.0	2.0
120.0	1779.5	5.0
125.0	1889.4	0.2
127.0	1929.9	-0.4
130.0	1990.7	0.1
135.0	2092.0	0.1
140.0	2193.3	1.0
145.0	2294.6	2.0
147.0	2335.1	1.0
159.8	2588.4	0.4
165.5	2704.5	-1.0
167.6	2746.7	-0.6
170.7	2801.5	-1.1
175.9	2864.4	4.0
181.1	2927.3	5.0
186.3	2990.2	1.9
188.4	3015.3	6.4
191.5	3053.0	55.2
196.8	3115.9	24.0
202.0	3178.8	2.1
207.2	3241.7	13.8
209.3	3266.8	7.1
212.4	3304.6	2.3
217.6	3367.4	3.1
222.8	3449.0	2.0
228.0	3607.4	17.0
230.1	3670.8	5.0
233.2	3765.8	73.0
238.4	3924.2	39.6
243.6	4082.6	3.1
248.8	4241.0	8.0
250.9	4304.0	7.0
254.1	4372.7	5.0
259.5	4487.1	2.2
260.5	4510.4	10.9
265.9	4628.5	6.3
269.1	4699.4	6.8
271.3	4746.7	11.9
276.7	4864.8	0.9
282.0	4983.0	23.0
287.4	5101.1	4.0
289.6	5148.4	39.0
292.8	5219.2	43.0
298.2	5337.4	2.0
303.5	5455.5	5.9
308.9	5573.7	4.0
311.1	5620.9	4.0
314.3	5691.8	11.0
319.7	5810.0	15.1
325.0	5928.1	2.9
330.4	6046.3	2.1
332.6	6093.5	7.0
335.8	6164.4	14.0
341.2	6282.5	2.0
346.5	6400.7	2.0
351.9	6518.8	3.1
354.0	6566.1	8.0
357.0	6637.0	11.0
360.0	6707.0	6.0
365.0	6816.9	3.0
367.0	6860.8	2.6
370.0	6926.8	13.9
375.0	7036.6	2.9
380.0	7146.5	13.5
385.0	7256.4	1.1
387.0	7300.3	3.0
390.0	7366.3	16.0
394.5	7465.2	12.1
400.0	7586.0	60.0
405.0	7683.1	-0.8
407.0	7721.4	-0.8
410.0	7778.8	-0.8
415.0	7874.4	-0.9
420.0	7970.1	127.0
425.0	8065.8	39.2
427.0	8104.0	60.5
430.0	8161.4	26.1
435.0	8257.1	33.2
440.0	8352.8	23.2
445.0	8448.4	35.2
447.0	8486.7	37.1
450.0	8544.1	25.2
455.3	8639.8	21.2
461.0	8736.8	29.0
466.8	8846.8	43.0
469.1	8890.8	74.4
472.5	8956.8	11.1
478.3	9066.7	25.0
484.0	9176.7	35.1
489.8	9286.6	21.1
492.1	9330.6	16.0
495.5	9396.6	29.0
501.3	9506.6	117.0
507.0	9616.5	18.2
512.8	9726.5	56.9
515.1	9770.5	52.5
518.5	9836.4	37.1
524.3	9946.4	196.0
530.0	10056.4	170.1
535.8	10166.3	149.0
538.1	10210.3	36.0
541.5	10276.3	28.0
547.3	10386.2	422.0
553.0	10496.2	404.0
558.1	10606.2	90.9
560.1	10648.8	217.7
565.1	10745.5	70.8
567.2	10781.7	176.9
570.2	10823.8	130.0
575.2	10894.0	404.0
580.3	10964.2	407.0
585.3	11034.3	153.0
590.4	11104.5	191.0
595.5	11174.7	125.0
600.5	11244.9	130.0
605.6	11315.1	19.1
606.6	11329.1	17.0
610.6	11628.2	123.0
612.6	11817.6	150.0
615.7	12101.8	203.0
617.7	12291.3	3.0
619.7	12477.7	0.0
620.7	12495.5	1.0
625.8	12584.5	192.0
629.8	12655.7	109.0
630.8	12673.5	175.0
634.9	12744.6	176.0
635.9	12762.4	291.0
640.9	12851.4	250.1
646.0	12940.4	397.0
651.0	13029.4	499.0
653.5	13073.9	100.0
655.0	13100.3	410.4
659.0	13170.7	51.9
664.0	13258.7	104.0
666.0	13293.9	152.0
669.0	13346.8	46.0
674.0	13434.8	44.1
679.0	13522.8	61.0
684.0	13610.9	46.0
687.0	13663.7	70.0
689.0	13698.9	129.0
694.0	13786.9	44.9
697.0	13839.7	272.3
699.0	13874.9	236.1
704.0	13963.0	130.0
707.0	14050.3	111.4
709.0	14223.7	78.1
714.0	14657.0	33.7
715.0	14743.7	5.3
719.0	14958.6	2.9
724.0	15062.6	1.0
727.0	15125.0	0.0
729.0	15166.6	0.0
734.0	15270.6	1.2
739.0	15374.6	0.9
744.0	15478.6	0.1
747.0	15541.0	1.0
749.1	15582.6	19.0
754.2	15687.0	7.0
757.3	15751.3	0.0
759.4	15794.2	1.0
764.5	15901.4	1.0
769.7	16008.6	1.9
774.8	16115.9	3.0
777.9	16180.2	12.3
780.0	16223.1	8.4
785.1	16330.3	276.1
788.2	16394.6	187.6
790.3	16437.5	268.9
795.5	16544.8	78.0
800.6	16652.0	46.0
805.8	16759.2	203.9
808.9	16823.5	134.0
810.9	16866.4	116.0
816.1	16973.7	49.0
821.2	17080.9	86.9
824.3	17145.2	24.4
826.4	17188.1	55.1
831.5	17295.3	67.9
836.7	17402.5	32.0
841.8	17509.8	117.9
844.9	17574.1	183.0
847.0	17617.0	206.0
852.0	17724.2	34.0
854.0	17766.8	55.0
857.0	17829.2	51.0
859.0	17870.8	48.0
864.0	17974.8	47.0
869.0	18078.8	60.0
874.0	18182.8	73.0
879.0	18286.8	312.0
884.0	18390.8	709.7
887.0	18453.2	559.0
907.0	18869.3	239.0
927.0	19285.3	671.0
947.0	19701.3	163.4
